Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Dát bargu 	guoská 	juo eandalii juste sámi álbmogii .
Sámi álbmogis lea vuoigatvuohta searvat proseassaide mat 	gusket 	sin boahtteáigái .
Nu lea maiddái áššis mii 	guoská 	etihkalaš standárddaid hábmemii ja eaiggátvuhtii bioteknologalaš áššiin .
8 Regionálaovddideapmi Sámedikki váldomihttomearrin regionálaovddideamis lea ealli sámi kultuvrra , giela ja servodateallima bisuheapmi ja ovddideapmi dain surggiin maidda ovttasbargošiehtadusat , mat leat Sámedikki ja fylkkagielddaid gaskka 	gusket 	.
Guovttegielalašvuođadoarjaga oktavuođas lea Sámediggi ráhkadan individuála ovttasbargošiehtadusaid juohke gielddain ja fylkkagielddain sierra go 	guoská 	dasa movt dat galget ovdánahttit , nannet ja ovddidit sámi gielaid . #ILL
Ovttasbargošiehtadusaid bokte šihttojuvvo makkár ovddasvástádus regionála eiseválddiin galgá leat go 	guoská 	sámi gillii , kultuvrii ja servodatovddideapmái .
Gielddat leat Sámedikki politihka deaŧaleamos vuolggaheddjiid searvvis go 	guoská 	servodatsurggiide nugo oahpahus , mánáidgárddit , giella , kultuvra , areálahálddašeapmi ja ealáhusat .
Sámediggi áŋgiruššá maid buoridit álgoálbmogiidda riikkaidgaskasaš riekteovdáneami Sámediggi njulge iežas riikkaidgaskasaš bargguid našunála ja riikkaidgaskasaš forain ja arenain mat 	gusket 	ON:i , davviguovllupolitihkkii , Sámi Parlamentáralaš ráđđái , Barentsovttasbargui , davviriikkaid ovttasbargui , Árktalaš ovttasbargui , Interreg ja Davit dimenšuvdna ( EU ) olahan dihte dáid mihttomeriid .
Eai leat dušše našunála áššit mat 	gusket 	sámi álbmogii Norggas .
Riikkaidgaskasaš politihkalaš proseassat 	gusket 	eanet ja eanet njuolga sámi servodahkii .
Áššit mat leat digaštallojuvvon leat vuosttažettiin leamaš áššit mat 	gusket 	davviriikkapolitihkkii , dása gullet ealáhusovdáneapmi ja minerálabohkan sámi guovlluin , Barentsovttasbargu , Arktalaš Ráđđi ja olmmošvuoigatvuođagažaldagat ja álgoálbmotáššit ON:s .
Álgoálbmogat fertejit maiddái oažžut ekonomalaš resurssaid vai sáhttet searvat friddja ja iešheanalaš aktevran riikaidgaskasaš mearridanproseassain ja ovttasbargoorgánain mat 	gusket 	davviguovlluide .
Mii beasaimet guoskevaš , riikkaidgaskasaš foras vejolašvuođa muitalit Sámedikki barggu ja oainnu birra mii 	guoská 	sápmelaččaide erenoamážit deaŧalaš áššiide ja hástalusaide , ja árktalaš guvlui oppalaččat .
ON erenoamášdieđiheaddji James Anaya bijai ovdan iežas jahkásaš raportta mii lei industriijafitnodagaid doaimmaid birra álgoálbmotguovlluin dahje dain guovlluin mat 	gusket 	álgoálbmotguovlluide .
Olmmošvuoigatvuođaráđđi ávžžuhii ON-čállingotti ráhkkanahttit dokumeantta daid vugiid birra mo searvvahit álgoálbmotáirasiid oassálastit ON vuogádahkii dain áššiin mat 	gusket 	sidjiide .
Vurdojuvvo ahte dán barggus lea njuolgga mearkkašupmi Sámediggái ja ahte Sámedikkis lea beroštus dasa , go dát 	guoská 	boahtteáiggi oassálastimii ON-orgánain ja iešheanalaš konsultašuvdnastáhtusii .
Dát ovdáneapmi dávista Sámedikki mielas ollásit ON álgoálbmotvuoigatvuođaid julggaštusa mearrádusaide , mas earret eará deattastuvvo ahte dárbbašlaš doaibmabijut galget čađahuvvot sihkkarastin dihtii álgoálbmogiid oassálastima daidda riikkaidgaskasaš proseassaide mat 	gusket 	sidjiide .
Bealit Sámedikkis , bargoaddi ja bargiidorganisašuvnnat , leat ovttasráđiid ásahan Sámedikki bargiid- ja bálkápolitihka , mii earret eará 	guoská 	oktavuhtii beliid gaskka .
Sámediggi háliida ahte stáhta eiseválddit čuvvot bures mielde Sámedikki evttohusain ja rávvagiin buot beliid oktavuođas mat 	gusket 	sámegielaid gáhttemii ja ovddideapmái ja dan šláddjivuođas mii lea rikkis gielas buot geavahanvugiid dáfus ja sániid ja dajaldagaid geavaheami dáfus sámi ealáhusaid doaimmaheamis ja eará oktavuođain .
Dásseárvu 	guoská 	buot surggiide servodagas ja galgá leat integrerejuvvon oassi Sámedikki doaimmain .
Konsulterenbargovuogit 	gusket 	buot áššesurggiide , omd. láhkabargguiguin dahje hálddahuslaš doaimmain main sáhttá dadjamuš sámiid beroštumiide njuolga .
Sámediggi lea ovttasbargan iešguđetlágan aktevrraiguin áššiid birra mat 	gusket 	sámi mánáidgárdesuorgái .
Mii ovddideimmet maiddái Sámedikki oainnu gustovaš lágaid ektui sámi mánáid ja mánáidgárddiid birra , ja makkár vásáhusat mis go 	guoská 	sámi mánáid vejolašvuođaide oažžut mánáidgárdefálaldagaid mii lea heivehuvvon mánáid sámi gillii ja kultuvrii .
Dál ii leat Sámedikki váldi ja ovddasvástádus čielggas mii 	guoská 	lága bokte mearriduvvon vuoigatvuođaide oahpahusas .
Dát leat šiehtadallojuvvon , fásta čoahkkimat , gos áigeguovdilis áššit váldojuvvojit bajás sihke mat 	gusket 	mánáidgárddiide ja vuođđooahpahussii .
Čoahkkimiid mihttomearri lea diehtojuohkin iešguđet plánaid birra ja oktasaš hástalusaid birra mat 	gusket 	oahpahussii ja ohppui .
Máhttodepartemeanta lea dieđihan ahte sii leat váldán vuhtii Sámedikki cealkámuša mielde oahpahusláhkii ja priváhtaskuvlaláhkii , mii 	guoská 	gelbbolašvuođagáibádussii sámegiela oahpahusas .
Dán vuođul lea Sámediggi 2011:s dahkan čuovvovaččat mii 	guoská 	oahppoplánaide : Máhttodepartemeanta lea bidjan johtui hábmenbarggu válljenfága oahppoplánain nuoraidskuvladásis .
Oahpahusdirektoráhtta lea 2010 rievdadan dárogiela dábálaš oahppoplána áššiide mat 	gusket 	lohkamii ja fidnoohppui .
Dan maŋŋil áigu departemeanta gulahallat Sámedikkiin ja Sámi allaskuvllain guorahallandihti lea go dárbu rievdadit láhkaásahusa mii 	guoská 	Sámi allaskuvlii .
Leat máŋga ođđa bargi boahtán geain lea nana gelbbolašvuohta , ja dat 	guoská 	buot sámi gielaide .
Guorahallan 	guoská 	giellaguovddážiidda mat ožžo vuođđodoarjaga Sámedikkis áigodagas 2006-2010 .
Lea leamaš diehtojuohkin mearriduvvon ja dohkkehuvvon sámegiel čállivuogi birra mii 	guoská 	almmolaš čujuhusaide , báikenamaide , giliide , suohkana luottaide , gáhtaide jna. .
Sámediggái bohte ohcamat mat 	gusket 	vuođđoskuvlla mánáid giellanannemii nugo lohkangursii ja leaksoveahkkái .
Sámediggi lea váldán oktavuođa Kulturdepartemeanttain go 	guoská 	boahttevaš bargui kulturpolitihkain maŋŋá 2014 .
Sámediggi deaivvada dávjá sámi kulturviesuid ovddasteddjiiguin guorahallan dihte áššiid mat 	gusket 	ásahusdieđáhusa ja áigeguovdilis áššiid čuovvoleapmái .
Bargu mii 	guoská 	eaiggátvuhtii , hálddašeapmái , doibmii ja dáláš rusttega bajásdoallamii ii leat vuos loahpahuvvon .
Departemeanta ja Samediggi leat maiddái soahpan ahte innovatiivvalaš prošeavttaiguin nugo Nuoraj-tv berre jotkojuvvot ja geavahuvvot ovdamearkan čuovvoleapmái go 	guoská 	sámegiela geavaheapmái mediain .
SNPL áigu čuovvolit geahččalanortnega evaluerema mii 	guoská 	16 jahkásaččaid jienastanvuoigatvuhtii válljejuvvon gielddain , SNPL barggu ektui vuolidit ahkeráji Sámedikki jienastanlohkui čáliheapmái .
Buohkat eai ožžon doarjaga dán ortnega bokte , go ohcciin eai lean doaimmat mat 	gusket 	mánáide , nuoraide ja vuorrasiidda .
Dasa lassin leat 3 deaivvadanbáikkis doaibmabijut mat njuolga čatnasit doaimmaide mat 	gusket 	mánáide , nuoraide ja vuorrasiidda .
Dát lea viiddiduvvon 	guoskat 	maiddái guovtti máttasámi gildii .
Erenoamážit 	guoská 	dát vuotnaguovlluide .
Guolástusdirektoráhtas maŋit áiggis leat ollu geahppánan dakkár áššit mat 	gusket 	lobihis gonagasreabbábivdui dán guovllus .
Go 	guoská 	johkabivdui , de bidjá bargolávdegoddi vuođđun fylkkamánni evttohusa ahte bisuhit bivddu otnáš dásis eanaš čázádagain .
Sámediggi lea fuolas go leat areálariiddut árbevirolaš vuotnabivdiid ja guollebiebmanealáhusa gaskka , ja go leat birasváikkuhusat go 	guoská 	earret eará dasa go nu ollu gárgidit biebmoguolit .
Guolástusdirektoráhta lea čuovvolan Sámedikki ávžžuhusa ja lea čađahan rabas gulaskuddama evttohusa ektui mii 	guoská 	bivdoeriide ja riddonjurjuid hálddašeapmái 2012:s , ja lea miehtan ahte addigoahtit buhtadusa riddonjurjuid goddima ovddas .
Sámediggái lea deaŧalaš sihkkarastit buori čovdosa boazodoalu ealáhusorganisašuvnnaide maidda konvenšuvdna 	guoská 	.
Sámedikkis leat leamaš konsultašuvnnat Eanadoallo- ja biebmodepartemeanttain divatláhkaásahusa birra mii 	guoská 	doallonjuolggadusaid rihkkumii ja láhkaásahussii bággosáhku ektui .
- Sámedikki mielas lea buorre go divatgáibádus doallonjuolggadusaid rihkkumis 	guoská 	ovttaskas siidaoasseoamasteaddjái ( - oamasteddjiide ) .
buhtadusgáibádus boazodoalus 	guoská 	njuolga dan boazodoallái geas lea ovddasvástádus , iige orohahkii nugo geavahus lea leamaš dán rádjai .
Dás fuolakeahttá bovdejuvvui Sámediggi konsultašuvnnaide mii lei dušše dan birra mii 	guoská 	mearriduvvon rievdadusa čađaheapmái .
Boazodoallohálddašeami rievdadeapmi eaktuda dan sámepolitihka joatkima man ulbmilin lea ahte mearridanváldi áššiin mat erenoamážit 	gusket 	sámi álbmogii sirdojuvvo Sámediggái .
Danne áigu SPR bargat dan ala ahte guoskevaš stáhtat čuovvolit iežaset geatnegasvuođaid mat 	guske 	sámi álbmogii .
Ruovttoluotta diehtu oasseváldiin lea leamaš ahte prográmma lea lihkostuvvan hui bures go 	guoská 	sin dárbbuide easkaálgin .
Duodjestipeandaortnet viiddiduvvui nu ahte dál 	guoská 	maiddái allaskuvlaohppui joatkkaskuvllaid lassin .
Dat go ollu nissonolbmot leat searvan sihke go 	guoská 	ásaheddjiide Romssas ja duoji fidnooahppiortnegis lea mielde ollašuhttimin mihttomeari oažžut eanet nissoniid ealáhusaide .
Guoskevaš guovllut bieggafápmohuksema várás leat seammás dakkár guovllut main eai leat stuorra teknihkalaš sisabahkkemat , dát 	guoská 	earret eará sullii 37 % Finnmárkku areálain .
Go 	guoská 	váikkuhusčielggadanprográmmaid hábmemii , de soabai Sámediggi NČE:in sánádeami meahccegeavaheami váikkuhusčielggadeami oktavuođas ja mo galgá čielggadit váikkuhusaid boazodollui .
Mii 	guoská 	Čoahkkingirjji čállit : Ellen Aina Eira // Ellen Mienna
Danne ii 	guoskka 	huksen njuolgga ovtta ge ovdalis registrerejuvvon sámi kulturmuitui .
Sámediggái lea deaŧalaš ahte minerálasearvvit ja váldeorgánat dovdet min oainnu dakkár áššiin mat 	gusket 	minerálaohcamii ja – roggamii sámi guovlluin .
Dat 	guoská 	sihke daidda hálddašanbargguide main Sámediggi oaivvilda ferte váldit buorebut vuhtii árbedieđu , ja politihkkahábmen dasa mo mii duođaštit ja gaskkustit árbedieđu .
Dát 	guoská 	erenoamážit sápmelaččaide , ja eará álgoálbmogiidda Árktisis gos dálkkádagat rivdet johtilepmosit .
Báikediđoštallan 	guoskkai 	bartaguvlui Rindal suohkanis .
Mii 	guoská 	áitojuvvon kulturmuittuide , de lea čađahuvvon báikediđoštallan Skarpdalenis Tyldalas dárkkistan , registreren ja ođđa registreren dihtii kulturmuittuid dakkár guovllus maid Saanti Sijte geavahit .
Plánaprográmma ja plánabarggu álggaheapmi 	guoská 	veaike- ja golleroggamiidda guovlluin boares Biedjovákki ruvkkiid lahka .
Ja de sáhttá doalahit plánaevttohusa dainna sávaldagain ahte addojuvvo sierralohpi duohtadit daid kulturmuittuid maidda plána 	guoská 	kulturmuitolága § 8 njealját lađđasa vuođul .
Dat 	guoská 	ohcamiidda oažžut lobi jávkadit dihto kulturmuitošlájaid dihto eavttuid vuođul .
Dasto 	gusket 	sámi mánáide sámegiela hálddašanguovllu siskkobealde sámelága njuolggadusat .
	guoská 	biebmoruovttuide ja mánáidsuodjalusásahusaide , áššis sámi mánáid goziheamis Mánáidviesus ja gelbbolašvuođa buoridanbarggus mánáidsuodjalusbálvalusas .
Danne lea Sámediggi konsulteren Justiisa- ja politiijadepartemeanttain go 	guoská 	sámi mánáid vuoigatvuođaid goziheapmái Mánáidviesus .
Sámediggi lea duhtavaš konferánssain , ja lea ožžon buriid dieđuid ruovttoluotta sihke oasseváldiin ja sáhkavuorrodolliin dan birra ahte konferánssas loktejuvvojedje guovddáš ja deaŧalaš fáttát mánáidsuodjalusa siskkobealde mat 	gusket 	sámi mánáide .
Sámediggi lea bidjan merkii ahte Nationála dearvvašvuođa- ja fuolahusplána rahpá vejolašvuođa rievdadit njuolggadusaid ja geavahusa go 	guoská 	dearvvašvuođaregistariid ja bio-báŋkkuid ovddideapmái .
Dát bargu 	guoská 	juo eandalii juste sámi álbmogii .
Sámi álbmogis lea vuoigatvuohta searvat proseassaide mat 	gusket 	sin boahtteáigái .
Nu lea maiddái áššis mii 	guoská 	etihkalaš standárddaid hábmemii ja eaiggátvuhtii bioteknologalaš áššiin .
8 Regionálaovddideapmi Sámedikki váldomihttomearrin regionálaovddideamis lea ealli sámi kultuvrra , giela ja servodateallima bisuheapmi ja ovddideapmi dain surggiin maidda ovttasbargošiehtadusat , mat leat Sámedikki ja fylkkagielddaid gaskka 	gusket 	.
Guovttegielalašvuođadoarjaga oktavuođas lea Sámediggi ráhkadan individuála ovttasbargošiehtadusaid juohke gielddain ja fylkkagielddain sierra go 	guoská 	dasa movt dat galget ovdánahttit , nannet ja ovddidit sámi gielaid . #ILL
Ovttasbargošiehtadusaid bokte šihttojuvvo makkár ovddasvástádus regionála eiseválddiin galgá leat go 	guoská 	sámi gillii , kultuvrii ja servodatovddideapmái .
Gielddat leat Sámedikki politihka deaŧaleamos vuolggaheddjiid searvvis go 	guoská 	servodatsurggiide nugo oahpahus , mánáidgárddit , giella , kultuvra , areálahálddašeapmi ja ealáhusat .
Sámediggi áŋgiruššá maid buoridit álgoálbmogiidda riikkaidgaskasaš riekteovdáneami Sámediggi njulge iežas riikkaidgaskasaš bargguid našunála ja riikkaidgaskasaš forain ja arenain mat 	gusket 	ON:i , davviguovllupolitihkkii , Sámi Parlamentáralaš ráđđái , Barentsovttasbargui , davviriikkaid ovttasbargui , Árktalaš ovttasbargui , Interreg ja Davit dimenšuvdna ( EU ) olahan dihte dáid mihttomeriid .
Eai leat dušše našunála áššit mat 	gusket 	sámi álbmogii Norggas .
Riikkaidgaskasaš politihkalaš proseassat 	gusket 	eanet ja eanet njuolga sámi servodahkii .
Áššit mat leat digaštallojuvvon leat vuosttažettiin leamaš áššit mat 	gusket 	davviriikkapolitihkkii , dása gullet ealáhusovdáneapmi ja minerálabohkan sámi guovlluin , Barentsovttasbargu , Arktalaš Ráđđi ja olmmošvuoigatvuođagažaldagat ja álgoálbmotáššit ON:s .
Álgoálbmogat fertejit maiddái oažžut ekonomalaš resurssaid vai sáhttet searvat friddja ja iešheanalaš aktevran riikaidgaskasaš mearridanproseassain ja ovttasbargoorgánain mat 	gusket 	davviguovlluide .
Mii beasaimet guoskevaš , riikkaidgaskasaš foras vejolašvuođa muitalit Sámedikki barggu ja oainnu birra mii 	guoská 	sápmelaččaide erenoamážit deaŧalaš áššiide ja hástalusaide , ja árktalaš guvlui oppalaččat .
ON erenoamášdieđiheaddji James Anaya bijai ovdan iežas jahkásaš raportta mii lei industriijafitnodagaid doaimmaid birra álgoálbmotguovlluin dahje dain guovlluin mat 	gusket 	álgoálbmotguovlluide .
Olmmošvuoigatvuođaráđđi ávžžuhii ON-čállingotti ráhkkanahttit dokumeantta daid vugiid birra mo searvvahit álgoálbmotáirasiid oassálastit ON vuogádahkii dain áššiin mat 	gusket 	sidjiide .
Vurdojuvvo ahte dán barggus lea njuolgga mearkkašupmi Sámediggái ja ahte Sámedikkis lea beroštus dasa , go dát 	guoská 	boahtteáiggi oassálastimii ON-orgánain ja iešheanalaš konsultašuvdnastáhtusii .
Dát ovdáneapmi dávista Sámedikki mielas ollásit ON álgoálbmotvuoigatvuođaid julggaštusa mearrádusaide , mas earret eará deattastuvvo ahte dárbbašlaš doaibmabijut galget čađahuvvot sihkkarastin dihtii álgoálbmogiid oassálastima daidda riikkaidgaskasaš proseassaide mat 	gusket 	sidjiide .
Bealit Sámedikkis , bargoaddi ja bargiidorganisašuvnnat , leat ovttasráđiid ásahan Sámedikki bargiid- ja bálkápolitihka , mii earret eará 	guoská 	oktavuhtii beliid gaskka .
Go galgá árvvoštallat rievdaduvvon areálageavaheami váikkuhusaid , de galget biddjojuvvot vuođđun dat Sámedikki njuolggadusat mat 	gusket 	dasa mo galgá árvvoštallat sámi beroštusaid vuhtiiváldima rievdaduvvon meahccegeavaheami oktavuođas Finnmárkkus , dannego sámi vuoigatvuođain ii galgga leat heajut riektesuodjalus guovlluin máttabealde Finnmárkku go Finnmárkkus .
Čujuhuvvo dán oktavuođas maiddái EBD aiddostahttimiidda ( EBD neahttasiiddut 03.06.2011 ) ahte vuovdima oktavuođas dakkár guovlluin mat 	gusket 	Sámi vuoigatvuođalávdegotti 2:ii galgá dahkkojuvvot čielggasin oastái ahte daidda vuoigatvuođaide mat das ležžet vuovdemihtádussii , ii gusto vuovdin , ja ahte Statskog ii sáhte váldit ovddasvástádusa dain vejolaš hehttehusain maid dát mielddisbuktá oastái boahtteáiggis .
Go 	guoská 	dan árvvoštallamii váikkuhusaid areálaid rievdaduvvon geavaheamis , de ii galgga sámi vuoigatvuođain guovlluin máttabealde Finnmárkku leat heajut riektesuodjalus go guovlluin Finnmárkkus .
Čujuhuvvo dán oktavuođas maiddái EBD aiddostahttimiidda ( EBD neahttasiiddut 03.06.2011 ) ahte vuovdima oktavuođas dakkár guovlluin mat 	gusket 	Sámi vuoigatvuođalávdegotti 2:ii galgá dahkkojuvvot čielggasin oastái ahte daidda vuoigatvuođaide mat das ležžet vuovdemihtádussii , ii gusto vuovdin , ja ahte Statskog ii sáhte váldit ovddasvástádusa dain vejolaš hehttehusain maid dát mielddisbuktá oastái boahtteáiggis .
Go 	guoská 	dan árvvoštallamii váikkuhusaid areálaid rievdaduvvon geavaheamis , de ii galgga sámi vuoigatvuođain guovlluin máttabealde Finnmárkku leat heajut riektesuodjalus go guovlluin Finnmárkkus .
Sámi skuvlaii galgá addit oahppái oadjebas čatnaseami iežas identitehtii ( Dán oktavuođas lea doaba sámi skuvla oassi oktasašskuvllas ja 	guoská 	skuvlii dahje jovkui mii čuovvu Máhttoloktema oahppoplánadahkosa – sámi ) .
Sámi skuvllas galget oahppit dovdat ahte sii ieža oassálastet ja leat eaktobiddjit mearrádusaide mat 	gusket 	sihke iežaset ja ohppiidjoavkku oahppamii .
Ferte maid juohkit eanet dieđuid stipeandaortnegiid birra oahpaheaddjistudeanttaide geain oahpus leat 30 oahppočuoggá sámegielas , go 2011:s ledje dušše 5 studeantta geat ožžo ruovttoluotta máksojuvvot 50 000 ru. dán ortnega vuođul mii lea rehkenastojuvvon 	guoskat 	olles 30 studentii , geahča juolludemiid sámi áigumušaide stáhtabušeahtas .
Sullasaš árvvoštallamiid berre dahkat go 	guoská 	stáhtabušeahta kap 2410 , poastta 73 ortnegiidda daid studeanttaid ektui geat ovttastahttet giellaoahpuid ovdaskuvlaoahpaheaddjioahpuin , vuođđoskuvlaoahpaheaddjioahpuin ja geavatlaš pedagogalaš oahpuin , ahte sii ožžot vuoliduvvot oahppoloana 50 000 ruvnnuin .
Dát 	guoská 	sihke fálaldahkii fágalaš čiekŋudeamis , vuođđogálggain , lohkamis , erenoamášpedagogihkas ja metodihkas .
Dilli mii 	guoská 	sámi oahpponeavvuide lea ain ahte buvttadeapmi eaktuda : Doarvái juolludeamit ain sáhttit ollásit ruhtadit buvttadeami ( earret eará Sámedikki politihka ektui ahte sámi oahpponeavvut galget leat nuvttá skuvlaeaiggádiidda – mii mielddisbuktá ahte márkan ii gávdno dábálaš mearkkašumiin ) Doarvái oahppan ja gelbbolaš oahpponeavvočállit Doarvái gelbbolašvuohta lágádusain vai sáhttet ráhkadit ođasmahttojuvvon ja ođđaáigásaš oahpponeavvuid kvalitehtalaččat bures ja doarvái jođánit Stuora ávki livččii stuorát prošeavttas gos digitalisere sámi oahpponeavvuid .
Dákkár resursabiras sáhttá dahkat bivnnuheabbon ja gelddolaččabun bargat skuvlii guoskevaš hástalusaiguin sihke mii 	guoská 	oahpahusa fállat , ovdánahttit oahpporesurssaid ja oahpponeavvuid .
Maŋemus áiggiid lea medias boahtán ovdan ahte dárogielat oahpponeavvut maid sihke dáru ja sámi mánát geavahit vuođđooahpahusas , leat máŋgga háve vuđolaš kvalitehtaváilivuođat mat 	gusket 	dan diehtaga mii boahtá ovdan sámi áššiid birra .
Eisseválddit fertejit muitalit lágádusaide ahte mii 	guoská 	oahpponeavvuid kvalitehtaheadjuvuhtii , galgá vuitojuvvot .
Mii 	guoská 	dasa ahte sihkarastit ahte dieđut dáruiduhttima birra gulustuvvet , de lea dehálaš ahte diet diehtojuohkin dahpahuvvo skuvlasystema čađa ja oahppaplánaid ja dábálaš oahpahusa bokte . #ILL
Sámediggi ferte dan bidjat guovddážii oahpahuspolitihkkas ja deattuhit dán politihkalaš barggus mii 	guoská 	oahpahus- ja oahppogažaldagaide boahtte jagiid .
Dat lea guovddaš hástalus skuvllaide otne ahte várra lea stuora roggi gaskkal prinsihpaid mii 	guoská 	oahpahussii , ja dan oppalaš oassái oahppoplánabuktagis ja oahppoplánas oktagasfágain ja maiddai organiseren hástalusat mat gávdnojit go eai leat doarvái ollu oahppan oahpaheaddjit , oahppoávdnasat , ja fága- ja diibmologoheiveheapmi .
Norgga eiseválddit eai sáhtte duvdit ovddasvástádusa oahpahusas mii addo sámi ohppiide čujuhusain earáide , vuolitdási plánat vuollelis systemas , dat gávdno sullásaš ovttasvástádus Norgga eiseválddiin mii 	guoská 	sámi ohppiide nugo eará ohppiide vuođđooahpahusas .
Dat lea ge duogáš dasa ahte gáibiduvvo vuđolaš guorahallan hástalusain sámi skuvllain , maiddái guovddáš eiseválddiide , mihtuin ahte bidjat johtui doaimmaid mat sihkkarastet ohppiide seamma dássásaš ja buori oahpahusa ja oahpu – dat 	guoská 	maiddai iežas gillii .
Dasa fertejit bidjat doarvái návccaid vai olahit dan mihttomeari mánáid gielalaš iešheanalaš vuoigatvuođa dihte , mii 	guoská 	sihke mánáidkonvenšuvnna ja internašunála konvenšuvdnii .
Máhttoloktema oahpahusprinsihpaid ferte čuovvut , ja skuvlaeaiggádiidda , skuvlajođiheddjiide ja oahpaheddjiide galgá addot vuođđu man bokte sii sáhttet leat dihtomielalaččat dan ovddasvástádussii ja oažžut vuđolaš bagadallama go 	guoská 	sisdollui ja viidodahkii das ahte sihkkarastit ahte sámi Čoahkkingirjji čállit : Ellen Aina Eira // Ellen Mienna
Dieđut sámi ohppiid vuoigatvuođaid birra ja njuolggadusaid birra mat 	gusket 	sámi diliide , fertejit loktejuvvon dáin oahpuin .
Mii 	guoská 	kulturskuvlii , astoáigeortnegii ja leaksoveahkkái , de berrejit dát divaštallamat gehččot ollesbeaiskuvlla ságastallama ektui .
Dát ii 	guoskka 	nu galli fylkkagildii , dilli Romssa fylkkas lea nu ahte doppe leat badjel 100 oahppi geain lea sámegiella fágan , muhto dat oahppit vázzet skuvlla iešguđege skuvllain ja sierra jahkecehkiin ja fágakodain .
Fágaide mat 	gusket 	ámmátfágaide sáhttá earret eará oažžut fágareivve duojis , fágareivve boazodoalus ja eará guovddáš oahpuin mat dárbbašuvvojit sámi servodagas .
Dát mielddisbuktá ahte ferte sihkkarastot ahte leat dohkálaš oahpaheaddjit ja bagadeaddjit joatkkaskuvlla oahpaheamis , ahte leat doarvái oahpponeavvut ja oahpporesursat , ja ahte lea eanet dutkan dakkár fáttáin mat 	gusket 	fága- ja ámmátoahpahussii .
Dát mielddisbuktá maid dan ahte mihttomearit mat 	gusket 	dasa ahte sihkkarastit dan ahte eanet gánddaid vázzet lohppii ámmátskuvllaid ovdamearkadihti Finnmárkkus lea okta dain hástalusain maid ferte lagabui iskat , ferte maid lagabui geahččat fága- ja ámmátoahpahusa kvalitehta , ja maid geahččat leago beaktil sámi servvodahkii ja maid leago olámuttos oahpu , ja maid iskat mo lea dilli fidnoohppiid sajiid ektui ja geahččat fidnoohppiid áigodaga ruhtadeami .
Lea maiddái dehálaš definere doaibmabijuid mat 	gusket 	fága- ja ámmátoahppu stáhtusii bargoeallima ja servvodaga oktavuođas .
Dasa 	guoská 	sámi ovddastupmi Ungt Entreprenørskap:as fylkkain .
Gáiddusoahpahus lea dehálaš oassi sámi skuvllas , erenoamážit soaitá dat 	guoskat 	lullisámi guvlui gos earret eará leat unnán oahpaheaddjit ja oahppit orrot bieđgguid ja guhkkálagaid .
Lullisámegieloahpahusas leat golbma beali mat 	gusket 	sidjiide geain ii leat sierra oahpaheaddji skuvllas , namalassii ieš gáiddusoahpahus , johtti oahpaheaddji ja hospiteren bargu dan skuvllas mii fállá gáiddusoahpahusa .
Dán oktavuođas ferte Sámediggi árvvoštallat mii berre mearriduvvot láhkaásahusa bokte dasa mii 	guoská 	sámi ohppiid gáiddusoahpahusfálaldahkii .
Dasa 	guoská 	metodihkka , heiveheapmi ja ovdáneapmi .
Sámedikkis lea ráddjejuvvon váikkuheapmi suohkaniid iešstivrejupmái mii 	guoská 	giliskuvllaid heaittihemiid hástalusaide .
Dasa mii 	guoská 	áigumuššii ja daid geahččaladdan doaimmaide defineren - ja ásahan dihte resursaskuvllaid sámi guovlluide , de dát strategiija ferte Sámedikki bealis buorebut guorahallojuvvot ja čanastuvvot .
Sámedikkis berre čielggaduvvon strategiija dasa mii 	guoská 	daid resursaskuvllaide mat ásahuvvojit Sámedikki doarjagiin .
Ovdal ledje ollu dárkilet mearrádusat mat 	guske 	skuvlasáhttoáiggi bajimus rádjái , dán oktavuođas lea daid maŋimus áiggiid dát dilli šaddan eanet eahpečielggas dan ektui ahte skuvlamánát šaddet geavahit dohkketmeahttun guhkes áiggi skuvlasáhtosteapmái .
Danne lea dárbbašlaš ahte Sámediggi sihkkarastá ahte VOX goziha maiddái sápmelaš rávisolbmuid dárbbu nannen ja ovddidan dihte vuođđogelbbolašvuođa sámegielas ja sámegillii oassin iežas áŋgiruššansuorggis , earret eará ferte prográmma bargoeallima vuođđogelbbolašvuođa várás ollu eanet 	guoskat 	maiddái sápmelaš rávisolbmuide .
Go 	guoská 	rávisolbmooahpahussii fylkkagieldda dásis , de lea deaŧalaš ahte sápmelaš rávisolbmot geat váldet joatkkaskuvladási gelbbolašvuođa , ožžot láhčima sámi sisdoalu ektui oahpuin ja sámegielas .
Dát 	guoská 	erenoamážit mánáide .
Gažaldagat mat 	gusket 	Sámedikki máhtto- ja bearašossodahkii ja dáláš rollii nugo muđuige olles hálddahussii maid sáhttá gohčodit Sámediggeráđi politihkalaš čállingoddin , berrejit árvvoštallojuvvot dan rolla olis mii Sámedikki oaivila mielde galgá leat oahpahus- ja oahppoáššiid ektui .
