# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# speller-regressions.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
# 
FN:ii	FN:i
EO:a	EO
stargasa		#912 - sub-marked entities accepted
gusaguobbarruohtas		#912 - sub-marked entities accepted
gáskásbieža		#912 - sub-marked entities accepted
hehpošjuolgi		#912 - sub-marked entities accepted
CV-s	CV:s	#913 - acronyms+cases 
CV'i	CV:i	#913 - acronyms+cases 
NRK:ain	NRK:in	#913 - acronyms+cases 
NRK-an	NRK:n	#913 - acronyms+cases 
CV:s		#913 - acronyms+cases 
CV:i		#913 - acronyms+cases 
NRK:in		#913 - acronyms+cases 
NRK:n		#913 - acronyms+cases 
bargomáhttuid	bargomáhtuid	#917 - no compound suggestions
bargomáhtuid		#917 - no compound suggestions
ovdanvážži	ovdanvázzi	#925 - lexicalized Actors
oddalboahtti	ovddalboahtti	#925 - lexicalized Actors
ovttaoaivildeaddji	ovttaoaivvildeaddji	#925 - lexicalized Actors
ovdanvázzi		#925 - lexicalized Actors
ovddalboahtti		#925 - lexicalized Actors
ovttaoaivvildeaddji		#925 - lexicalized Actors
Brønnøysund-registarii		#930 - proper+nouns
Aarporte-muorra		#930 - proper+nouns
Iešjohka-nieida		#930 - proper+nouns
Brønnøsund-registarii	Brønnøysund-registarii	#930 - proper+nouns
Arporte-muorra	Aarporte-muorra	#930 - proper+nouns
Iešjohka-nieda	Iešjohka-nieida	#930 - proper+nouns
TV-ráiddu		#931 - acros+nouns
cd-muorra		#931 - acros+nouns
ANC-viellja		#931 - acros+nouns
TVráiddu	TV-ráiddu	#931 - acros+nouns
cdmuorra	cd-muorra	#931 - acros+nouns
ANCviellja	ANC-viellja	#931 - acros+nouns
láidesteaddjin		#932 - derivated actors
luoitileaddji		#932 - derivated actors
lávllodeaddji		#932 - derivated actors
láidesteadjin	láidesteaddjin	#932 - derivated actors
luoitileaddi	luoitileaddji	#932 - derivated actors
lávllodeadji	lávllodeaddji	#932 - derivated actors
deháleamos		#940 - EABBO/EAMOS
reháleabbo		#940 - EABBO/EAMOS
fiidnásabbo		#940 - EABBO/EAMOS
deahttásamos		#940 - EABBO/EAMOS
deháleamus	deháleamos	#940 - EABBO/EAMOS
reháleabbu	reháleabbo	#940 - EABBO/EAMOS
fiidnáseabbu	fiidnásabbo	#940 - EABBO/EAMOS
deahttaseamus	deahttásamos	#940 - EABBO/EAMOS
goalmmát	#962 - some ordinals not recognized
njealját	#962 - some ordinals not recognized
čihččet	#962 - some ordinals not recognized
goalmmat	goalmmát	#962 - some ordinals not recognized
njealjat	njealját	#962 - some ordinals not recognized
čihčet	čihččet	#962 - some ordinals not recognized
viidábut		#1044 - VIISSIS comparatives
viidábuid		#1044 - VIISSIS comparatives
viidábu		#1044 - VIISSIS comparatives
viisábut		#1044 - VIISSIS comparatives
viisámusaid		#1044 - VIISSIS comparatives
riggábut		#1044 - VIISSIS comparatives
viidabut	viidábut	#1044 - VIISSIS comparatives
viidabuid	viidábuid	#1044 - VIISSIS comparatives
viidabu	viidábu	#1044 - VIISSIS comparatives
viisabut	viisábut	#1044 - VIISSIS comparatives
viisamusaid	viisámusaid	#1044 - VIISSIS comparatives
riggabut	riggábut	#1044 - VIISSIS comparatives
váibadahttojuvvot		#1045 - Der/ahtti+V+TV+Der2+Der/PassL
searvadahttojuvvojit		#1045 - Der/ahtti+V+TV+Der2+Der/PassL
muitalahttojuvvot		#1045 - Der/ahtti+V+TV+Der2+Der/PassL
váibadahtojuvvot	váibadahttojuvvot	#1045 - Der/ahtti+V+TV+Der2+Der/PassL
searvadahtojuvvojit	searvadahttojuvvojit	#1045 - Der/ahtti+V+TV+Der2+Der/PassL
muitalahtojuvvot	muitalahttojuvvot	#1045 - Der/ahtti+V+TV+Der2+Der/PassL
veajitmeahttumit		#1098 - vealtameahttumit
vealtameahttumit		#1098 - vealtameahttumit
veajitmeahttunit	veajitmeahttumit	#1098 - vealtameahttumit
vealtameahttunit	vealtameahttumit	#1098 - vealtameahttumit
moarralit-muorra		#1122 - WONT FIX IN PLX inf+noun compounds
muitalahttit-muorra		#1122 - WONT FIX IN PLX inf+noun compounds
boahtit-nieida		#1122 - WONT FIX IN PLX inf+noun compounds
duvnnii	duvnniid	#1143 shortened +Pl+Com accepted and suggested as is
adnii	adniid	#1143 shortened +Pl+Com accepted and suggested as is
badnii	badniid	#1143 shortened +Pl+Com accepted and suggested as is
bártnii	bártniid	#1143 shortened +Pl+Com accepted and suggested as is
beaŋkkai	beaŋkkain	#1143 shortened +Pl+Com accepted and suggested as is
muorra0-geaidnu	muorra-0-geaidnu	#1144 numerals compound to nouns without hyphen
l-anuheapmebiila	l-anuheamebiila	#1145 impossible compounds
searvadahttindepartemeanta		#1162 +V+IV+Der/ahtti+V+TV+Der/n+N+SgCmp
searvadahtindepartemeanta	searvadahttindepartemeanta	#1162 +V+IV+Der/ahtti+V+TV+Der/n+N+SgCmp
hotella	hotealla	#1358 hotealla is missing
hotealla		#1358 hotealla is missing
radios	rádios	#1544 Problems with 2.3 - should be rádio
radioi	rádioi	#1544 Problems with 2.3 - should be rádio
eaŋkiladoaibma	eaŋkiladoaibma	#1544 Problems with 2.3 - adj SgGen-compounding
láikkivancca	láikivancca		#1544 Problems with 2.3 - adj SgGen-compounding
máŋggabealagaobben	máŋggabealatobben		#1544 Problems with 2.3 - adj SgGen-compounding
Alimusaiáigodat	Alimusaidáigodat	#1544 Problems with 2.3 - adj SgGen-compounding
humanisttalašerotantihkalaš	humanisttalašárroantihkalaš	#1544 Problems with 2.3 - Px make compounds
humanisttalašároantihkalaš	humanisttalašárroantihkalaš	#1544 Problems with 2.3 - doesn't follow cmp-tags
maŋá-soahteáigái	maŋŋesoahteáigái	#1544 Problems with 2.3 - maŋá/ovda-compounds
ovdda-soahteáigái	ovdasoahteáigái		#1544 Problems with 2.3 - maŋá/ovda-compounds
rádios		#1544 Problems with 2.3
rádioi		#1544 Problems with 2.3
čuohte		#1544 Problems with 2.3 - čuohte not recognized
eaŋkiladoaibma		#1544 Problems with 2.3 - adj SgGen-compounding
láikivancca			#1544 Problems with 2.3 - adj SgGen-compounding
máŋggabealatobben			#1544 Problems with 2.3 - adj SgGen-compounding
Alimusaidáigodat		#1544 Problems with 2.3 - adj SgGen-compounding
humanisttalašárroantihkalaš			#1544 Problems with 2.3
maŋŋesoahteáigái		#1544 Problems with 2.3 - maŋá/ovda-compounds
ovdasoahteáigái		#1544 Problems with 2.3 - maŋá/ovda-compounds

