Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
Šiehtadallen geasset hui guhká muhtin girjegoasttádusain nákkosgirján deaddileamis , muhto girjegoasttádus     geassádii     fidnus aivve loahpas . #SO-Loc (refl)
Maŋit beaivve son goit     geassádii     ja ságadoalli bargui válljejuvvui maŋŋel Sara Larsson . #0 (refl)
Gálddoaivvi meahcceguovllus lea ássojuvvon dan rájes , go maŋimušge jiehkki     geassádii     eret guovllus . #eret+SO-Loc (refl)
Makkárge stuorát dáistalusat eai guovllus vissa lean , daningo duiskalaččaid joavkkut     geassádedje     eret ovddas Avvila ja Jiekŋameara hámmaniid guvlui Norgii . #eret+SO-Loc+DE-Ill (refl)
Nannánjiehkki     geassádii     guovllus sullii 9500 jagi dassái ja guđii árbin earet_eará eanangierraga gokči morenaid , čievračoruid , healbmerokkiid ja duottarskurččuid . #SO-Loc (refl)
Dalle     geassádii     Suopma soađis ja soabai ráfi Ruoššain . #SO-Loc (refl)
Máŋgasat     geassádit     olbmuin ja birrasis , eai ge šat hálit ovttastallat earáiguin . #SO-Loc (refl)
Bargojoavku barggai oalle bures ovttas , vaikko dieđusge eat lean álo ovttaoaivilis , ii oktage     geassádan     goit eret joavkkus . #eret+SO-Loc (refl)
( Lávdegoddelahttu Berit Johnskareng     geassádii     das ahte Stáhta oahppokantuvrrat galget hálddašit doarjjaortnega . #SO-Loc (refl)
    Geassádii     . #0 (refl)
bearaš dego     geassádii     . #0 (refl)
Dávjá     geassádit     oktavuođas vel lagamuš olbmuinge , maid dovdet buoremusat #SO-Loc (refl)
áhččin ja eadnin , muhto ahte dat     geassádit     iežaset sisa go dovdet iežaset unnin ja geahnoheapmin . #DE-Ill (refl)
Juohkehaččas lea friddjivuohta searvat prošektii , ja guhtege sáhttá     geassádit     prošeavttas goas ieš háliida ja siva čilgekeahttá almmá dan haga ahte dat váikkuhivččii su dikšui muđui . #SO-Loc (refl)
Oahpuide gos lea gilvu oažžut oahpposaji , lea dábálaš ahte oahppobáikkit addet eanet fálaldagaid go leat oahpposajit , mii máksá ahte eanet ohccit go livččii vuordimis fertejit     geassádit     ovdal_go beassá badjelii vuordinlisttus . #0 (refl)
álbmot lea várra oassái suddan leavvi suopmelaš álbmogii , oassái     geassádan     davás ja #DE+Ill (refl)
loatnasánit leat boahtán substráhtan     geassádeaddji     gielas , eaige superstráhtan man_nu #attr
Ollusat geain lea Lupus     geassádit     eret earáid luhtte heajos áigodagain ja dávjá eai hálit searvat sosiálalaš aktivitehtaide vaikko vel leatge earát bivdán sin boahtit . #eret+SO-Loc (refl)
Go skuvla sirdui Áltái , de oaivvilde muhtumat ahte Sámemiššuvdna galggai     geassádit     Øytunas ja baicca álggahit doaimmaid mat ledje buorebut sámi álbmoga váste .
Go de galggaimet álgit čakčat , de     geassádedje     muhtin váhnemat , eat diehtán manne ja go báhce dušše guokte máná , de eat sáhttán bidjat johtui prošeavtta . #SO-Loc (refl)
Gaikkat     geassádedje     oahpahusas gasku skuvlajagi . #SO-Loc (refl)
Moattis     geassádedje     go šattai čielggas ahte ii šatta risttalaš skuvla . #0 (refl)
Go duiskalaččat     geassádišgohte     lulás 1944 čavčča , de boaldigohte dat olles davágeaži dán riikas . #DE-Ill (refl)
– Dan eai duosttan váhnemat geahččalit , ja buohkat     geassádedje     dien prošeavttas loahpas . #SO-Loc (refl)
Moai leimme vel ovttas ovttain eará párain geat maŋemus     geassádeimmet     . #0 (refl)
Ožžon dán gažaldaga 2005 čavčča , vástidin juo , muhto fas     geassádin     . #0 (refl)
Sii geat     geassádedje     eret eváhkos , illá šadde oba vázzit ge skuvlla . #eret+SO-Loc (refl)
Son ii almmatge nagodan organisašuvnna oažžut doaibmat , go eanas luohttámušolbmot biehttaledje ovttasbargat ja eanas miellahtut     geassádedje     . #0 (refl)
Moadde váldosiva dasa ledje ahte mu áhčči Bonjákasas lei boarásmuvvan ja go vel NSR     geassádii     iežas miellahttu eret skuvla stivrras ja son lei maid ovdaolmmožin [ 1 ] , de orui áigi boahtán fárremii . #TH-Acc+eret+SO-Loc (tv)
NSR mearridii 1980:s     geassádit     buot sin miellahtuid stáhtalaš orgánain ja ovttasbarggus stáhtain . #TH-Acc+eret+SO-Loc (tv)
Go skuvla sirdui Áltái , de oaivvilde muhtumat ahte Sámemiššuvdna galggai     geassádit     Øytunas ja baicca álggahit doaimmaid mat ledje buorebut sámi álbmoga váste . #SO-Loc (refl)
Danin Fylkastivra ávžžuha Svein Lund     geassádit     buot su luohttámušdoaimmain Oahpaheddjiidlihtus . #SO-Loc (refl)
Muhto moadde jagi maŋŋil NBR     geassádii     ja SOL lea dál dušše NSR oahppoorganisašuvdna . #0 (refl)
Maŋŋil go oahppolávdegotti evttohus bođii , son     geassádii     stivralahttun . #RO-Ess (refl)
Jos doaimmaheaddji šaddá dakkár dillái mii ii soaba aviissa vuođđooidnui , de galgá     geassádit     virggistis . #SO-Loc (refl)
Dađebahábut leat de muhtumat     geassádan     das rájes , muhto ain leat eanebut vuolgimin Dublinii go geat leat oasálastán SFSa jahkečoahkkimiin Álttas , Ohcejogas ja Kárášjogas ! #0 (refl)
Sámis nr. 3/2006/3 ieš dán áiggi bahčagit : « -     geassádin     oktovuhtii ovdal skuvlaagi , heahpanin ja vurden áiggi goas beasan vuolgit » ( s.72 ) . #DE-Ill (refl)
Son eaktodáhtolaččat     geassáda     sihke fysalaččat ja psyhkalaččat earáid searvvis . #SO-Loc (refl)
Behtohallamiin han son lei vuollánan , ja     geassádan     servodaga oidnosis . #SO-Loc (refl)
Duiskalaččat dahke dan vai sovjetruošša soalddáhat eai jovssa duiskka soahteveaga go dat     geassádii     Finnmárkkus ja Suomas . #SO-Loc (refl)
Go duiskalaččat     geassádedje     Káráš jogas , de bolde márkanbáikki ja bajás gitta Spiinnegieddái . #SO-Loc (refl)
    Fiction texts –
Sii čoahkkane dollagáttiide , muhtun mánát ja nuorat háliide leat sierra , sii ledje     geassádan     meahcceravdii . #DE+Ill (refl)
Olbmášguovttos leigga     geassádan     veahá eret dain earáin . #eret+SO-Loc (refl)
Son ii gal háliidan , muhto dál lei beare maŋŋit     geassádit     . #0 (refl)
Rokča     geassádii     dávjá aktonassii . #DE-Ill (refl)
Veahá eret dain earáin , dohko leigga guovttis     geassádan     . #0 (refl)
In     geassát     , in ábut ! #0 (refl)
Son     geassádii     , ja čájehii rupmašiin ahte ii boahtán šat vuosttaldit . #0 (refl)
Dál fertii lávket sisa , ii sáhttán     geassádit     . #0 (refl)
Silvon Márjo gii lei Horvvaš-siidda noaidi , lei     geassádan     eret olbmuin . #eret+SO-Loc (refl)
Fas     geassádii     das , áiggui jorgalit siidii . #SO-Loc (refl)
Jovgu fas     geassádii     , manai olggos lanjas . #0 (refl)
Iđđes lei measta     geassádan     mannamis skuvlii , muhto jurddašii jus dan dahká , de várra earát jurddašit manin ii lean boahtán . #SO-Loc (refl)
Son orui jurdilasttiime , muhto jus meinii     geassádit     , de lei beare maŋŋit . #DE-Ill (refl)
Niillas orui ipmirdeame ahte Máhtte áiggui     geassádit     . #DE+Ill (refl)
Máhtte moddjestii , lei ipmirdan manne Niillas nie lei     geassádan     busses . #SO-Loc (refl)
Son árvvoštalai oaneheappot go lávii , danin_go diđii jus beare guhká jurddaša , de sáhttá     geassádit     das maid duođas háliida . #SO-Loc (refl)
Ii oktage nággen , muhto     geassáde     eret fatnasiin . #eret (refl)
Sii ledje     geassádan     eret , dego livčče ballan dies . #eret (refl)
Soai áigguiga joatkit , ja oinniiga movt olbmot geat ledje máistán čázi ,     geassáde     eret Jipmánis . #eret+SO-Loc (refl)
Ealli     geassádii     riežu ráigái . #DE+Ill (refl)
Roman fas     geassádii     ráigái . #DE-Ill (refl)
Ranas ipmirdii maid Čormmoš oaivvildii , muhto lei ilus go olmmái orui     geassádan     jurdagis . #SO-Loc (refl)
Jipmána bálvvát     geassáde     dego aitto riegádan eallit iežaset hearrá lusa . #0 (refl)
Su stuorámus fuolla lei dál Heandarat , gii lei duo giđđat fáhkkestaga juhkagoahtán , muhto lei lihkus fas heaitán ja     geassádan     loktii girjjiidis lusa . #DE-Ill (refl)
Heaikkas ealáskii iešsuodjalanmiella ja son     geassádii     jaskatvuhtii dego álo ovdalge seammalágan dilis . #DE-Ill (refl)
Muhto dál lei menddo maŋŋit šat     geassádit     , Stálonjárggas ledje juo su vuordimin . #0 (refl)
Dál lei buoremus     geassádit     loahpalaččat bargoeallimis , dasgo son livččii dušše caggin ovdáneami ovddas , bázahussan dološ jurddašanvuogis , mii orui nu funet heivemin otnábeaivái . #SO-Loc (refl)
Son oađestuttai , ja oaivi šliettihii ovddosguvlui , ja go ain morihasttii , de oinnii mo olgun idja vehážiid čuvggodišgođii iđida guvlui : almmis ledje goittot ainge balvvat , muhto duokkot_dákko balvagovččas rahtasattai nu ahte balvalanjain sabmái alit gáiddusvuohta , ja mierká , mii lei fierran juo gitta soahkevuovdái , lei     geassádišgoahtán     eret . #eret (refl)
Son časkkii čalmmi niidii nu ahte dát ruovssihii dollaruoksadin , ráttástuvai ja     geassádii     baráhka guvlui . #DE-Ill (refl)
Dáid sivaid dihte son ovdal lei falletkeahttá go fallehii , ovdal     geassádii     go čuožžilii vuostálastit . #0 (refl)
    Law texts –
Fásta ássit leat guhkit áiggi juo geahččalan duvdit nomádaid eret dain guovlluin , maid badjel sii ovdal okto leat ráđđen - ja jus duottarsápmelaččat , erenoamáš álbmotčeardan , geaid eallindilli hehttii sin ráhkadeames makkárge sierra stáhta , šadde geanoheappot gilvvus dáid guovlluid alde , dahje rievtti mielde šadde     geassádit     váldaleami haga daningo váillui ortniiduvvan oktavuohta , de mun jáhkán historjjálaččat lea vuođđu jierpmi lága mielde suddjet duottarsámiid leahkima , iige gal dan sivas ahte gáibidivččii eanet . #0 (refl)
Fásta ássit leat guhkit áiggi juo geahččalan duvdit nomádaid eret dain guovlluin , maid badjel sii ovdal okto leat ráđđen - ja jus duottarsápmelaččat , erenoamáš álbmotčeardan , geaid eallindilli hehttii sin ráhkadeames makkárge sierra stáhta , šadde geanoheappot gilvvus dáid guovlluid alde , dahje rievtti mielde šadde     geassádit     váldaleami haga daningo váillui ortniiduvvan oktavuohta , de mun jáhkán historjjálaččat lea vuođđu jierpmi lága mielde suddjet duottarsámiid leahkima , iige gal dan sivas ahte gáibidivččii eanet . #0 (refl)
Maŋŋilgo Ruoŧŧa 1523:s Kalmar-uniovnnas     geassádii     , " birkelaččaid " gávpedoaibma 1500-logus nannejuvvui ruoŧa gáibádussii ráđđenvuoigatvuohtan " Oarjemeara " mearrasámiid guovdo , Divttasvuonas gitta Várjjagii . #SO-Loc (refl)
Dikkis geardduhedje eiseválddit ovddeš váruhusa dáid bahkkemiidda , ja Arisbysápmelaččat gohččojuvvo     geassádit     " Mearraguovllus ja Mearrasápmelaččaid geavahuvvon Váriin " sajiide gos eai vahágahte mearrasámiid ovddas . #SO-Loc+DE-Ill (refl)
    Min Aigi –
Bjørar Johnsen     geassádii     Bargiid bellodaga joavkkus ovdal mannan gielddastivrra čoahkkima . #SO-Loc (refl)
Danne lean mun     geassádan     Bargiid bellodagas , ja boađán jienastit iežan miela mielde gielddastivrras dás ovddosguvlui , dadjá Johnsen . #SO-Loc (refl)
NEPAL : Goddináitagat guovtti maoisttalaš joavkkuin lea dagahan , ahte máŋga báikkálašpolitihkkára leat     geassádan     evttohassan Nepal báikkálašválggain . #RO-Ess (refl)
Buot riikaidgaskkasaš olmmošlaš organisašuvnnat     geassádedje     Tsjetsjenias juovlamánus diibmá , dan maŋŋá_go veahkkebargit ledje máŋgii fallehuvvon . #SO-Loc (refl)
Norga sáhttá     geassádit     Schengenis jos eat leat ovttaoaivilis . #SO-Loc (refl)
Nordlys spábbačiekčanstivra ságastalai moadde vahku ovdal dán giđa čiekčamiid , ahte galggašiigo joavku     geassádit     dán jagi 3. divišuvnnas . #SO-Loc (refl)
Fertii     geassádit      #0 (refl)
Son fertii liikká     geassádit     go máŋga guovddáš doarjaleaddji jorgaledje sutnje sealggi . #0 (refl)
SÁL:a Per Olav Porsanger lei maid     geassádan     ovdal_go giđđat jámii . #0 (refl)
Maŋimuš áiggi lea Máilmmibáŋku     geassádan     moanaid buođđoprošeavttain mat leat cahkkehan riiddu . #SO-Loc (refl)
Kalle Tjæder     geassádii     Sámi riikkajoavkkus go lea bávččagan juolggi . #SO-Loc (refl)
– Okta fitnodat mas lea leamaš stuorra beroštupmi huksemii ,     geassádii     gieskat go leat doarvái barggut eaige návccat eanet bargguid váldit . #0 (refl)
Sus lei jurdda     geassádit     jođiheaddjin Sámi Álbmot Lihtus buozanvuođa geažil . #RO-Ess (refl)
Ruošša soahteveahka     geassádii     republihkas maŋŋilgo vearjobissehanšiehtadus čállui vuollái borgemánus 1996 . #SO-Loc (refl)
    Geassáda     ođasovttasbarggus #SO-Loc (refl)
– Mii leat válljen goabbatge geainnu ja mun válljen vuoruhit ođasdoaimmahusa Norgga bealde , lohká NRK_Sámi Radio hoavda Nils J. Heatta gii     geassádii     stivrenjoavkku jođiheaddjin . #RO-Ess (refl)
Suoma juogus ii leat šat Sámiráđi lahttu dan dihtiige go Sámediggi , mii Murmánskka Sámekonferánssas namahii dálá Suoma beal lahtuid Sámiráđđái , lea diibmá     geassádan     ráđi doaimmas , ja de dan seammás leat maiddái Sámedikki válljen ráđđelahtut massán lahttovuođaset njuolggadusaid mielde . #SO-Loc (refl)
Suoma Sámediggi lei válljen Suoma juhkosa , muhto lea ieš     geassádan     Sámiráđi doaimmas , dattetge juhkosa lahtut geahččaledje bissut iežaset lahttovuođas . #SO-Loc (refl)
- Gonagas várra ii     geassát     dán  #TH-Acc (formatting error)
Unna bargojovkkoža čoahkkimis 3.1.1998 almmuhii ságajođiheaddji Pekka Fofanoff , ahte son     geassáda     bargojoavkkus .#TH-Acc
Vaikko Fofanoff     geassádii     Unna bargojovkkoža barggus lean dan mielas , ahte ovddasvástádus dán áššis lei ja lea ainge Sámedikkis ja Suoma juhkosis . #0 (refl)
ROMSA : Romsa ii leat vuos barggahan ođđa hárjeheaddji , maŋŋelgo hárjeheaddji , Håkan Sandberg ,     geassádii     heajos bohtosiid geažil . #0 (refl)
ROMSA : Romsa ii leat vuos barggahan ođđa hárjeheaddji , maŋŋelgo hárjeheaddji , Håkan Sandberg ,     geassádii     heajos bohtosiid geažil . #0 (refl)
Golbmalogi joavkku ledje dieđihan searvat , ja dušše guokte joavkku     geassádedje     ( Mátta-Várjjat ja Porsánggu Veastagátte Nieiddat ) . #0 (refl)
Áillohaš     geassáda     « Villa Viesus » #SO-Loc (refl)
Áillohaš     geassáda     prošeavttas . #SO-Loc (refl)
Davvi_Girji OS doalai jahkečoahkkima miessemánu 29. b. gos Sturin Áillu Elle , Ellen Ragnhild Sara , Bissojogas válljejuvvui ođđa ovdaolmmožin , maŋŋilgo Marianne Balto Henriksen     geassádii     go son ges válljejuvvui Sámi Kulturráđi ovdaolmmožin duvle . #0 (refl)
Friijagirku ja Sámemiššuvdna leat     geassádeamen     oamasteaddjin , ja dasa eai leat dušše ekonomalaš čilgehusat . #RO-Ess (refl)
Jagi 1996 rájes lea riika gillán moanaid stuimmiid , ja stuibmevárra lea stuoris maŋŋá_go Frankriika     geassáda     . #0 (refl)
Nu mo dál lea dilli maŋŋilgo guktut ohcci leaba     geassádan     , ii oro vejolažžan álggahit sámegiel oahpahusa Báhpajávrris , lohká Einejord . #0 (refl)
Ovdal lei maid Norgga_Boazosápmelaččaid_Riikasearvi ( NBR ) mielde , muhto sii leat     geassádan     . #0 (refl)
Jarno Gamst Guttorm lei     geassádan     iige ihttán oppanassiige . #0 (refl)
Jođiheaddji Per Olav Porsanger lea juo     geassádan     buozalmasvuođa geažil . #0 (refl)
Sven-Roald Nystø lea     geassádan     ovdaolmmožin . #RO-Ess (refl)
Berg váldá doaimma badjelasas maŋŋá_go Åse Niemi , Drammenis     geassáda     . #SO-Loc (refl)
Kåven dohkkehii gáibádusa ja     geassádii     ovtta evttohasa , Trygve Nilsen . #TH-Acc (tv)
    Geassáda      #0 (refl)
Sámemiššuvdna lea fas dadjan ahte sii áinnas sáhttet     geassádit     eret jos gávdnojit eará čovdosat , vástida Heaika Skum . #eret (refl)
Vihtta jagi maŋŋá ii leat vel dállu huksejuvvon , ja Áillohaš lea     geassádan     prošeavttas . #SO-Loc (refl)
Halldor Hansen     geassáda     Sámi Valgalihttu ovdaolmmožin . #RO-Ess (refl)
– Eat leat     geassádan     akšuvnnas go ráđi mearrádus lea ollašuhtton , vástida Nordlys « ` jođiheaddji Nils Johan Gaup . #SO-Loc (refl)
Sámedikki áirasat     geassádit      #0 (refl)
Máŋga dálá guovddáš áirasa     geassádit     sámedikkis ja eai searvva boahtte áigodahkii . #SO-Loc (refl)
Son ii loga jáhkkit dákkár nissonealáhusfierpmádaga ráhkadit gova ahte sii     geassádit     ealáhusservodagas , go ásahit iežaset gelbbolašvuođa deaivvademiid . #SO-Loc (refl)
Muhto go beassážat lahkonišgohte , de     geassádii     Nordlys valáštallansearvi solidaritehta akšuvnnas ja mearridii goitge lágidit beakkan Kárášjot čuoigamiid . #SO-Loc (refl)
– Juste dál livččii dát akšuvdna rievttes vuohkin politihkalaččat čájehit man mávssolaš mohtorsearvvi doaibma lea , lohká ráđi jođiheaddji Nils Peder Eriksen , muhto mieđiha ahte ii lean áibbas vuorddetkeahttá muhtun searvvit     geassádedje     . #0 (refl)
Eai     geassádan      #0 (refl)
Nordlys valáštallansearvvi ođđa jođiheaddji Nils Johan Gaup ii mieđit iežaset     geassádan     solidaritehta akšuvnnas ja lohká Eriksena akto iešoaivvestis dan dahkan . #SO-Loc (refl)
Dan_dihte eat leat     geassádan     , deattuha Gaup . #0 (refl)
NSR lea maŋimus áiggiid máŋggaid riidovuloš cealkámušaid ovddidan Sámi_vuoigatvuođalávdegotti árvalusa meannudeami oktavuođas : Sápmelaččat eaiggáduššet olles Finnmárkku , NSR berre     geassádit     Sámedikkis jus ii oaččo šiehtadallanvuoigatvuođa stáhtain , guovddáš eiseválddit eai galgga beroštit gielddaid ja fylkkagielddaid cealkámušain , Finnmárkoduoddara eanagirji jna. . #SO-Loc (refl)
Stivrra     geassáda      #TH-Acc (spelling error)
Ssbjørn Guttorm ja Anne Kirsten Sara Anti mielas dát lei nu stuorra eahppeluohttámuš ahte soai     geassádeigga     dalán stivrras , . #SO-Loc (refl)
Dán lassin leaba guokte várrelahtu , Aslak Jomppanen ja Antti Näkkälä     geassádan     iežaska válgalisttus . #SO-Loc (refl-anal)
Áigi ja áššebábirmearri oažžu su     geassádit     eret evttohaslisttus ođđa válgaboddui . #eret+SO-Loc (refl)
Suopmelaččat leat iežaset dulkomin ožžon áigái , ahte olbmot     geassádit     rádjaguovlluin go vearuhus šaddá geahppaseabbon go ássá eará guovlluin . #SO-Loc (refl)
< P > Son joatká Deanu Tom Sottisa barggu , gii     geassádii     skuvlavázzima dihtii . #0 (refl)
, NSR ja Sámiráđđi eai galgga     geassádit     vuos #0 (refl)
Sámi organisašuvnnaid ráđđadaddanlávdegoddi ii ávžžut sámi organisašuvnnaid     geassádit     sámi vuoigatvuođalávdegottis . #SO-Loc (refl)
– Mii eat leat mearridan ahte dálá dilis galget sámi organisašuvnnat sámevuoigatvuođalávdegottis     geassádit     . #SO-Loc (refl)
Mearkkaša go dát ahte Kriminologiija instituhtta , mii     geassádii     prošeavttas , lea áidna ovttasbargoguoibmi mas lea gelbbolašvuohta dákkár prošeavttaide MBD mielas ? #SO-Loc (refl)
Fálaldat ii lean čálalaččat iige son duostan álgit     geassádit     gávpotrievttis . #SO-Loc (refl)
Ruoŧa ja Suoma TV-hoavddat eaba     geassádan     ovttasbarggus TV-hoavddaid čoahkkimis mannan vahku . #SO-Loc (refl)
    Geassádeamen     ? #0 (refl)
Birger Nymo áitá     geassádit     NSR listtus #SO-Loc (refl)
Urheim lea     geassádan     NSRs ja sirdán Bargiidbellodahkii . #SO-Loc (refl)
Sivva manne son     geassáda     NSRs , ii leat mihkkege krihtihkaid NSR vuostá , muhto son oaidná movt organisašuvdna unnu ahte unnu . #SO-Loc (refl)
Birger Nymo veardida     geassádit      #0 (refl)
Birger Nymo veardida     geassádit      #0 (refl)
Dál veardida Birger Nymo garrasit     geassádit     vuosttaš sajis ja addit bajimus saji nuorra nissonolbmui . #SO-Loc (refl)
Son ferte čieža beaivvi sisa maŋŋel nominašuvnna dieđihit     geassáda     go . #0 (refl)
: – Don fertet     geassádit     presideantan jos it bargga midjiide buhtadusa dáruiduhttima sivaid geažil , dieđihii oahppováillagiid jođiheaddji Anne Margrethe Teigmo Guttorm . #RO-Ess (refl)
Kárášjohka     geassáda     NSR:s #SO-Loc (refl)
– Dat lea dat seamma ágga maid Gro Merethe Siri geavahii go     geassádii     NSR:s ? #SO-Loc (refl)
– KSS jođiheaddji lohká ahte jienasteddjit eai luohte šat NSR politihkkii ja dan_dihte áigu KSS     geassádit     . #0 (refl)
Diggi gáibida stivrra     geassádit     , muhto stivra vástida gáibádusain . #0 (refl)
Sii fas gáibidit ahte luovosáirasat galget guođđit dikki ja sin bellodagaid áirasat boahtit sisa ovdal_go jeagadit     geassádit     . #0 (refl)
Sáhttá     geassádit     boazodoallohoavdan #RO-Ess (refl)
SÁPMI : Sámediggi     geassádii     ovttasbargat Norgga eiseváldiiguin dán jagáš Ovttastuvvon Našuvnnaid álgoálbmotjulggaštus šiehtadallamiin Genevas . #SO-Inf (refl, interesting)
Bargiidbellodaga Sámediggejoavku lea jurdagiid siste go Sámedikki njunnožat leat     geassádan     ráđđehusa ovttasbarggus . #SO-Loc (refl)
SÁPMI : Sámi_Válgalihttu šálloša go Sámediggeráđđi lea     geassádan     Norgga ráđđehusain ovttasbargat , go eai áiggo šat searvat jahkásaš čoahkkimii mii lea čatnon ON eamiálbmotrivttiid julggaštus bargguide . #SO-Inf (refl, interesting)
– Lea imaš go Sámediggi     geassáda     dákkár dehálaš forumas dainna ákkain ahte Norgga eiseválddit eai leat miehtan maide , muhto liikká eai gávdno čielga gáibádusat Sámedikki bealis , dadjá Roger Pedersen , #SO-Loc (refl)
Roger Pedersen oaidná ággan go Sámediggeráđđi lea     geassádan     čoahkkimis , go ráđđi ii dieđe maid galget oaivvildit sámi iešmearrideami birra . #SO-Loc (refl)
Muhto gávnnahallan olmmái áitigođii su goddit , nu ahte son šattái     geassádit     eret das . #eret-SO-Loc (refl)
Dál leat mii dan heahpatlaš dilis ahte lea Norga mii nihttá     geassádit     . #0 (refl)
Son ii goassege     geassát     jus son oaidná vejolašvuođa muitalit Guovdageainnu birra . #0 (refl)
Guovdageainnu Sámiid Searvi váruha garrasit Sámi Álbmotbellodaga vuostá maŋŋel_go Kárášjoga Sámiid Searvi áitá     geassádit     ovttasbarggus NSR:in boahtte válgga oktavuođas . #SO-Loc (refl)
– Eat dohkket ahte Jánoš     geassáda     , vaikko NSR « Riikkastivra lea leamaš loikkas su ektui , ja go muhtimat vel leat háliidan su eret jođiheaddjin , lohká Deatnogátte Sámiid Searvvi John Trygve Solbakk . #0 (refl)
– Muhto it go don dán diehtán ovdal don válljejit     geassádit     ? #0 (refl)
Dainnalágiin leat sii     geassádan     min oktavuođas , oaivvilda son . #SO-Loc (refl)
Sámi girkoráđđi lea digaštallan dili birra mii lea čuožžilan norgga sámepolitihkas maŋŋil go Sámediggi mearridii     geassádit     sáttagottis mii galggai šiehtadallat teavstta ON-julggaštussii eamiálbmotvuoigatvuođa birra . #SO-Loc (refl)
Sámi girkoráđđi lohká ahte sii háliidit dovddahit ipmárdusa Sámedikke behtohallamii go Norga ii sáhttán oaččuhit mielde teakstaárvalusa mii guoská eamiálbmogiid vuoigatvuođaide eatnamiidda ja čáziide , ja ahte Sámediggi danin fertii     geassádit     norgga sáttagottis . #SO-Loc (refl)
Måsø     geassáda     politihkkárin #RO-Ess (refl)
Eatnasat háliidit     geassádit     birrasis go leat oanehaččat leamaš mielde . #SO-Loc (refl)
Doppe eai gierdda ahte     geassáda     . #0 (refl)
Ovlin Biera     geassáda      #0 (refl)
NBR     geassáda     Ášus   #SO-Loc (refl)
Dál gáibida NSR su     geassádit     guovddášámmáhiin . #SO-Loc (refl)
    Geassáda     buot valáštallan ámmáhiin  #SO-Loc (refl)
Áitá     geassádit     oktasašbarggus  #SO-Loc (refl)
NSR šaddá guorahallat     geassádit     lávdegottiin ja oktasašbargguin jos otnáš politihkka joatká ráđđehus . #SO-Loc (refl)
Dat de sáhttá mearridit galgá go NSR     geassádit     almmolaš lávdegottiin jos dulvadeapmi álggahuvvo . #SO-Loc (refl)
Stivra mearridii njukčamánu 1981:s Jakobsena gohččut     geassádit     virggistis . #SO-Loc (refl)
Geassemánu lihcui stivra Jakobsena go son ii     geassádan     virggis . #SO-Loc (refl)
NBR     geassáda     ja láitá garrasit : #0 (refl)
NSR     geassádii      #0 (refl)
NSR     geassáda     buot almmolaš ráđiin ja lávdegottiin muhtun áigái ja geassáda čoahkkimiin Ráđdehusain . #SO-Loc (refl)
 #SO-Loc (refl)
NSR geassáda buot almmolaš ráđiin ja lávdegottiin muhtun áigái ja     geassáda     čoahkkimiin Ráđdehusain . #SO-Loc (refl)
 #SO-Loc (refl)
Dán mearridii NSR sierra riikkačoahkkin Eibys mannan bearjadaga 52 jienain 31 jiena vuostá ja hilggui ná stivrra iežas árvalusa     geassádit     dušše Norgga Sámiráđis ja doalahit áirasa sámi vuoigatvuođalávdegottis . #SO-Loc (refl)
Svein Ole Persen válljejuvvui virgái go Hans Guttorm     geassádii     dan njunušdoaimmas . #SO-Loc (refl)
–     Geassádehpet     , sámi áirasat ! #0 (refl)
Sáhkkohallan sámit gáibidiid Sámeálbmot Listtu fylkadigge- ja gielddastivraáirasiid maid     geassádit     gaskaáigasaččat . #0 (refl)
Meavkki nieiddat     geassádedje     moadde beaivvi ovdal cupa . #0 (refl)
– Dan     geassádedje     ekonoamálaš sivaid geažil ja baicce ceggejedje ášši filkkagieldda vuostá . #0 (refl)
– Go juo rievttis daddjui ahte Arctic Ambulánsa ii leat fuolakeahttá , de     geassáda     Muosát áibbas ja bisuhit gielddalaš ambulánsa doaimmaid , moaitá Ucherman . #0 (refl)
Mari Boine galggai earret_eará geavahit seamma lávddi go Geri Halliwell , ovdalaš Spice-girl násttiin , muhto Geri lea     geassádan     musihkkashowas . #SO-Loc (refl)
Ii beasa     geassádit      #0 (refl)
Ingebrigt Pedersen ii sáhte     geassádit     sámediggeválgalisttus . #SO-Loc (refl)
NSR-njunnožis ii leat lohpi     geassádit     válgalisttus mii gilvala NSR-listtuin . #SO-Loc (refl)
Ášši lea nu ahte galget leat buorit ákkat ovdal_go sáhttá     geassádit     listtus , vaikko vel ieš háliidivččii ge . #SO-Loc (refl)
Dál orro leamen dilli nu ahte Ingebrigt Pedersen jáhkkimis ii sáhte     geassádit     listtus , vaikko lea ge NSR-listtu gilvaleaddjin . #SO-Loc (refl)
Sáččá NSR miellahtut dat leat gáibidan Pedersena     geassádit     Havlandet-válgalisttus mas son lea njunnožis . #SO-Loc (refl)
Guovvamánu dieđihii Sara iežas eret Bargiid Bellodagas ( BB ) ja nu     geassádii     maid Sámedikki BB joavkkus . #SO-Loc (refl)
Dál orrot stuimmit nohkan go spábbačiekčanstivrrajođiheaddji Knut Johnsen lea     geassádan     . #0 (refl)
    Geassáda     Sámediggeráđi ovttasbarggus #SO-Loc (refl)
Per A. Bæhr     geassádii     ikte ovttasbargat Sámedikki ráđis , go ii sáhte dohkkehit Isak Mathis O. Hætta oainnu boazodollui . #SO-Inf (refl, interesting)
