[lemma = "oahpaheaddji"][lemma = "gii"]
Boađus: 717

	Administrative texts –
– Mis leat dál 	oahpaheaddjit geat 	eai hálddaš sámegiela , mii lea min oahpahusgiella , sihke njálmmálaččat ja čálalaččat , čilge Nikkinen .
– Álggos lea dehálaš oahppat movt skuvllain ja earáiguin oahpásnuvvat , lohká 	oahpaheaddji gii 	illuda oahpásnuvvat ođđa ohppiiguin .
Dat addá ámadaju sámegiela gáddjuide , 	oahpaheddjiide geat 	ijatbeaivái barget máŋgenmašiinnaid badjel vai oahppit ožžot muhtinlágán oahpponeavvuid .
Oahppu lea 	oahpaheddjiide geat 	barget Sámis , girkolaš bargiide ja sidjiide geat beroštit Sámi dološáiggis ja dálááiggis girkoeallimis ja historjjás .
Bihtámis ja Badje-Durdnosis leat dat suohkanat riikkas gos lea eanemus 	oahpaheaddjit geain 	leat pedagogalaš eksámen .
– Juoigit leat áibbas okto ovdalaš go lávkejit lávdái ja danin moai čuovuime sudno gitta lávkiiga lávdái , čilgeba 	oahpaheaddjit geat 	vuhtiiga dalle_go soai oassálasttiiga gilvvuin man okto duogábeale lávddi lei .
Lei vel okta 	oahpaheaddji gii 	máhtii sámegiela , Jens Eriksen , muhto son ii duostan hállat go dárogiela .
Ja dat lei 	oahpaheaddji gii 	ieš lei sámegielat .
De mearridedje 	oahpaheaddjit geain 	leat buoremus siiddut .
Mis lei ee. muhtin 	oahpaheaddji gii 	ii lean go 18–19 jagi .
Skuvlasystemas , man vuođđun ledje dáža máilmmi plánat ja árvvut , lei lihkus mis 	oahpaheaddji gii 	beroštii ovdanbuktit kulturhistorjjá positiivvalaš vuogi mielde , ja dainna lágiin dovdagođiimet gullevašvuođa gillái , ja ahte gulaimet oktii .
– Vuolgá das_go mis leat oahpaheaddjit vuolit dáisis geain lea nu buorre ipmárdus gielladilis ja garra beroštupmi gillii , ja dat báidná fas studeanttaid guđet jotket lohkat bajit dásis , oaivvilda Vinka ja muitala ahte 	oahpaheaddjit geaid 	birra hupmá leaba juste Ellen Bull Jonassen ja Ajlin Jonassen Kråik .
– Dahje Moski gielda sáhtášii fillet ovddeš 	oahpaheaddji gii 	manai Áiluovtta skuvlii máhcat ruovttoluotta .
Norggas ledje báhpat ja 	oahpaheaddjit geat 	bukte juovlamuorravieru gávpogiidda .
EAHPESIHKARVUOHTA : – Jus lea nu ahte mii eat oaččo dohkálaš árvosániid , de leat bálkestan olles jagi duššái , dušše dan_dihte go sii leat virgádan 	oahpaheaddji gii 	ii beroš mis , dadjet oahppit .
Oahppit geat mannan vahkku váide go 	oahpaheaddji gii 	ii leat oahpahan sin , galgá geahččat geahččaleami ja addit árvosániid , ii galgga beassat dahkat dan .
– Ii leat Sámi máilmmis mange láhkai oahpaheaddji valljivuohta , go dál ge leat šaddan virgádit 	oahpaheddjiid geain 	ii leat ollislaš máhttu , muittuha Anti .
– Lea okta sámegiel 	oahpaheaddji gii 	geahččala su iešguđet fáttás , oaidnin dihtii makkár dássi sus lea .
Ii leat ovttaskas sámi oahpaheaddji ovdasvástádus rahčat ráhkadit ohppiide oahpponeavvuid seamma bálkkáin go dárogielhálli 	oahpaheaddji gii 	ii dan dárbbaš dahkat , logai Kárášjoga vuođđoskuvlla ohppiidráđi ovdaolmmoš , Saija Stueng .
- Mis eai leat 	oahpaheaddjit geat 	máhttet sámegiela , ja mis ii leat dárbu oahpaheddjiide geain ii soaitte nu ollu vásáhus joatkkaskuvllain .
- Mis eai leat oahpaheaddjit geat máhttet sámegiela , ja mis ii leat dárbu 	oahpaheddjiide geain 	ii soaitte nu ollu vásáhus joatkkaskuvllain .
Oahppit ánssášit 	oahpaheddjiid geain 	lea alla gelbbolašdássi !
Sihkkarastin dihtii doarvái fágalaš vuodjudeami ja dutkamii vuođđuduvvon máhttu oahpaheddjiin , dárbbašat mii mealgat eanet 	oahpaheddjiid geain 	lea mastergráda .
Lea dehálaš ahte oahppit oahpásmuvvet 	oahpaheddjiin geain 	lea ámmátlaš dorvvolašvuohta , fágalaš gealbu ja nana pedagogalaš máhttu .
Oahppit muitalit ahte leat sihke oahppit ja 	oahpaheaddjit geat 	givssidit .
	Oahpaheaddjin geainna 	hálaimet lea oahpaheaddji 10. ceahkis .
Sii geat leat olggobeal sámediggesystema ja divvot dehálaš gažaldagaid boares oahpponeavvuid ávkkis , steampalasttot dalán ” NSR-politihkkárin ” , vaikke vel leat ge lágádusolbmot , rektorat sámi skuvllain dahje 	oahpaheaddjit geat 	fágalaš vuođu alde imaštit dán vuoruheami .
Frøken Margerethe lea ođđa 	oahpaheaddji gii 	muhtun beaivvi boahtá klássalatnjii .
	Oahpaheaddji geas 	lea áibbas earenoamáš oahpahanvuohki ...
De gávdnojit maid 	oahpaheaddjit geat 	eai nagot leat hoavdan klássas ja danne eai nagot jaskkodahttit klássa .
Mus leat muhtun čáppa skuvlaustiba ja moadde 	oahpaheaddji geaidda 	duođas liikon .
Dan dagai oahpahusdepartemeanta juo badjel logi jagi áigi , ja dalle sii geavahedje dan ággan heaittihit konverterenlasáhusa 	oahpaheddjiide geat 	oahpahedje sámegillii .
Oahppis galgá 	oahpaheaddji gii 	lea badjel 20 jahkásaš .
Doppe lea latnja 	oahpaheaddjái gii 	sáhttá oaidnit maid oahppi lea bargan .
Dán vahkku lea leamaš ollu sáhka das_go Kárášjoga nuoraidskuvllas leat guokte 	oahpaheaddji geat 	leaba ohcan virgelobi bálkkáin oahpahit iežaska mánáid ruovttus .
Mis ii leat váttis jáhkkit Boyne dieđuide , go son han lea ieš 	oahpaheaddji gii 	lea beaivválaččat skuvllas , ja dasa lassin vuohttá iežas mánás ahte oahppit bázahallet oahpahusas .
Min dieđuid mielde lea váttis maiddái oažžut sadjásaččaid oahpahit , ja dávjá leat dakkár sadjásaš 	oahpaheaddjit geain 	ii leat pedagogalaš oahppu .
Buot báikkálaš politiijabálvvát ja boazopolitiijabálvvát leat mielde dán jahkásaš hárjehallamis , muitalit dat guokte 	oahpaheaddji geat 	čađaheaba hárjehallama ja rávvema .
Son čilge Ávvirii ahte sosiálaoahpaheaddji lea 	oahpaheaddji gii 	bargá áššiiguin mat gusket njuolga ohppiide .
Dál leat mis 30_% 	oahpaheddjiin geain 	ii leat dohkálaš oahppu ja dan dili fertet mii buoridit , dadjá Frank-Martin Ingilæ .
– Mis lea 	oahpaheaddji gii 	ii máhte sámegiela ja dat váikkuha min oahpahusa .
Skuvllas leat dál olbmot geat čuovvulit ja veahkehit ohppiid ja 	oahpaheddjiid geat 	dárbbašit dan .
Valle deattuhii ahte buori kvalitehta eaktun leat eanet oahpaheaddjit ja ovdaskuvlla 	oahpaheaddjit geain 	lea sámegiela gelbbolašvuohta , buorre oahppofálaldat , movttiidahttit olbmuid oahppat sámegiela .
Skuvllas ledje guokte sámegielat 	oahpaheaddji geat 	jođiiga mearkagiella-kurssain .
Son muitalii dán dan birrasiid čuođi oahppái ja 	oahpaheaddjái geat 	ledje čoahkkanan lášmmohallanlatnjii .
5 A luohkká Guovdageainnu mánáidskuvllas háliidedje ahte 	oahpaheaddjit geat 	bearráigehččet olgun friddjagoartiliin , galggaše oidnot buorebut .
Siri muitala ahte 	oahpaheddjiin geat 	bearráigehččet bottuin , leat fiskes báttis falahagas ja su luohká mielas lei nu váttis oaidnit dáid fiskes báttiid .
Finnmárkku Fylkamánni bovde 	oahpaheddjiid geat 	oahpahit sámegiela gáiddusoahpahussan ja fierpmádatčoagganeapmái .
Maŋŋel oaččun giitit dan 	oahpaheaddji gii 	álo lávii mu hárdit , go easkka mun de garrejin ge bargat , muitala son .
Lihkus bođii soames 	oahpaheaddji gii 	doalvvui sudno ruovttuide , muhto oahpaheaddji guđii Line dušše ássanguovllus gos son orui .
Ávvir lea háleštan 	oahpaheddjiin gii 	min mielas orro addimin jalga ohppiid moaitagiidda .
Mastergrádadutkamis buohtastahttojuvvo 	oahpaheaddji gii 	givssida oahppi , leat seamma vearrán go jus politiijat givssidivčče olbmuid .
Ohppiidorganisašuvnnat várohedje ovdalgihtii juo ahte sii ballet skuvllain eai leat 	oahpaheaddjit geain 	lea gelbbolašvuohta oahpahit dáid ođđa fágaid , ja ahte skuvllain váilot oahpponeavvut .
Sámi oahpaheaddjifierpmádat lea riikkaviidosaš fierpmádat mii galgá leat ávkin 	oahpaheddjiide geat 	oahpahit sámegiela .
Lasseoahppu lea oaivvilduvvon 	oahpaheddjiide geat 	oahpahit vuođđu- ja joatkkaskuvlla dásis , muhto heive maid sidjiide geat barget mánáiguin ja nuoraiguin , fágabargiide geat oahpahallet allasat dásis ja dáide geain lea beroštupmi luohtái .
Oahpaheaddjioahpu sámegieloahpahus lea muhtin muddui leamaš ohppiide // studeanttaide geain lea leamaš sámegiella eatnigiellan , ja fas muhtin muddui dáža 	oahpaheddjiide geat 	galge bargat sámi guovlluin .
Danne_go dan áiggi lei politihkalaš čoaskin unnitloguid vuostá , de ii lean imaš go Álttá oahpaheaddjiskuvla fargga cuiggohalai go 	oahpaheaddjit geat 	válbmane doppe eai máhttán dárogiela dohkálaččat .
Eanas 	oahpaheaddjit geat 	gárváne doppe eai heiven dáruiduhttima reaidun , danne_go sii eai báljo máhttán skuvlla oahpahusgiela , ja nu sii áinnas geavahe dan giela maid sihke sii ja sin oahppit máhtte [ ...
Moadde 	oahpaheaddji geat 	muitalit Sámi skuvlahistorjjás , leat vázzán oahpaheaddjioahpu Romssas 1950- ja 1960-logus .
Dassážii_go diet ollašuvvet , de galgá buot nuoraidskuvllaide bidjat virgái 	oahpaheaddji gii 	lea riegádan sápmelažžan .
Vaikko Norggas leat lagabui 75 proseantta 	oahpaheddjiin geat 	barget vuođđoskuvllas , de ii dovdda gal Frank Ole ahte oahpaheaddjibargu lea « nissonolbmuid bargu » :
Stipeandda ulbmil lea nannet oahpaheaddjedili dain guovlluin gos sámegiella ja/dahje/ja sámit leat unnitlogus , ja gos lea stuora dárbu 	oahpaheddjiide geain 	lea gelbbolašvuohta sámegielas .
Čuohcá 	oahpaheddjiide geat 	rahčet
Heajos mediaáššit skuvllaid birra čuhcet eanemusat 	oahpaheddjiide geat 	ieža rahčet barggus .
Lea čájehuvvon ahte Suoma 	oahpaheaddjit geat 	atnet PISA bohtosiid rápmin alcceseaset , go Suoma skuvllat dahket hui bures dán skuvlakvalitehtamihtidan iskosis .
	Oahpaheaddjit geat 	oahpahit viđat klássaid Finnmárkkus galget oažžut oahpu movt buoridit rehkenastima , čállima ja lohkama ođđa praktihkalaš vugiid mielde .
	Oahpaheaddjit geat 	beaivválaččat barget sámegielfágain dihtet ahte dilli ii leat nu álki .
Son , gii lea teknihkalaš fágaid oahpaheaddji , lea leamaš ođđa dihtorprográmma oahppame kurssas man Finnmárkku fylkkasuohkan doalai buot 	oahpaheddjiide geat 	oahpahit teknihkalaš fágaid ja industriijafágaid , dahje nu gohčoduvvon TIP-fágaid .
– Lei maid muhtin 	oahpaheaddji gii 	lei čeahppi muitalit , go mii dolkkaimet su oahpaheamis , de bivdiimet su muitalit mo lei soađi áiggi .
Sámi oahpaheaddjefierpmádat lea riikaviidosaš fierpmádat mii galgá boahtit ávkin 	oahpaheddjiide geat 	oahpahit sámegillii .
	Religion texts –
Son bođii Jesusa lusa ihkku ja dajai : « Rabbi , mii diehtit ahte don leat 	oahpaheaddji gii 	leat boahtán Ipmila luhtte , dasgo ii oktage máhtáše dahkat daid mearkadaguid maid don dagat jos Ipmil ii livčče suinna .
Son bođii Jesusa lusa ihkku ja dajai : « Rabbi , mii diehtit ahte don leat 	oahpaheaddji gii 	leat boahtán Ipmila luhtte , dasgo ii oktage máhtáše dahkat daid mearkadaguid maid don dagat jos Ipmil ii livčče suinna .
Vaikko dis ležžet ge duháhat 	oahpaheaddjit geat 	bagadit din kristtalašvuođas de dis dattege eai leat máŋga áhči .
Muhto Israela álbmogis ledje maiddái vearri profehtat , nugo maiddái din gaskii bohtet vearri 	oahpaheaddjit geat 	suoli buktet duššadeaddji vearri oahpuid , ja velá biehttalit ge dan Hearrá gii lea oastán sin luovusin .
	Non-fiction texts –
	Oahpaheaddji gii 	gilvá negatiiva guottuid muhtin oskkoldaga ektui , lea seammás mielde váikkuheamen ja hábmemin negatiiva guottuid olbmuid ektui geat čuvvot oskkoldaga .
Dás lean ráhkadan gárvves storyboard 	oahpaheddjiide geat 	háliidit čađahit storyline ceahkis .
Danne lea eahpepraktihkalaš ahte eanaš lea 	oahpaheaddji gii 	divvu gažaldagaid .
	Oahpaheaddji gii 	gilvá negatiiva guottuid muhtin oskkoldaga ektui , lea seammás mielde váikkuheamen ja hábmemin negatiiva guottuid olbmuid ektui geat čuvvot oskkoldaga .
Jos ulbmil lea ahte oahppit galget oahppat Jesusa birra , de lea dehálaš ahte 	oahpaheaddji gii 	su ovddasta , lea Jesusa skihpár // olmmái dahje oahpis .
	Oahpaheaddji gii 	gilvá negatiiva guottuid muhtin oskkoldaga ektui , lea seammás mielde váikkuheamen ja hábmemin negatiiva guottuid olbmuid ektui geat čuvvot oskkoldaga .
Jos ulbmil lea ahte oahppit galget oahppat Jesusa birra , de lea dehálaš ahte 	oahpaheaddji gii 	su ovddasta , lea Jesusa skihpár // olmmái dahje oahpis .
	Oahpaheaddji gii 	gilvá negatiiva guottuid muhtin oskkoldaga ektui , lea seammás mielde váikkuheamen ja hábmemin negatiiva guottuid olbmuid ektui geat čuvvot oskkoldaga .
Jos ulbmil lea ahte oahppit galget oahppat Jesusa birra , de lea dehálaš ahte 	oahpaheaddji gii 	su ovddasta , lea Jesusa skihpár // olmmái dahje oahpis .
	Oahpaheaddji gii 	gilvá negatiiva guottuid muhtin oskkoldaga ektui , lea seammás mielde váikkuheamen ja hábmemin negatiiva guottuid olbmuid ektui geat čuvvot oskkoldaga .
	Oahpaheaddjit geat 	čađahedje dáruiduhttima , muitalit .
Ovddeš ja dálá 	oahpaheaddjit geat 	ain dorjot dáruiduhttima , skuvlamánát geat eai gillán .
Dál váilot oppalaččat 	oahpaheaddjit geain 	lea formála ja reála gelbbolašvuohta oahpahit sámi kultuvrras ja servodateallimis , ja erenoamážit sámi oahpahusa addit .
Oahpaheaddjedili birra lohká skuvla : Bagadallandoaibmabijut galget nannejuvvot 	oahpaheddjiide geain 	ii leat fágalaš oahppu .
Bajásšaddanguovddáš atná maiddái 	oahpaheaddji gii 	lea eret Idres Ruoŧas , ja lea Idres oahpahan lullisámi vihtta jagi .
Skuvla oaidná ahte gártá dettolaččat lassibárgu 	oahpaheddjiide geat 	čuvvot Sámi oahppoplána 97 .
Go buohtastahttit , de oaidnit sámegielaoahpaheddjiid movttiidahttin Finnmárkkus duohtavuođas lea davvisámegiela giellagealbudahttin Sámeradioi , Sámediggái ja eará almmolaš ásahusaide , dannego dohko jávkkihit 	oahpaheaddjit geain 	lea oahpahangelbbolašvuohta sámegielas !
Oahppodárbu : 	Oahpaheaddjit geain 	leat reálafágat , duiskkagiella ja eŋgelasgielat luonddufága leat deaŧalaččat julevsámegiela anu ovddideamis , ja fas olbmot , geat máhttet julevsámegiela galggašedje movttiidahttojuvvot joksat dábálaš oahpahangelbolašvuođa vissis fágain .
Fylkkaoahpahusetáhta válddáhus giđđat jagis 2000 , mii lei vuođđun álggahit čielggadeami gáiddusoahpahusa birra , govvida oppalaš oahpaheaddjedili sámegiela fágasuorggis : " Oppalaččat leat mis joatkkaskuvllain Tromssas dušše 4 	oahpaheaddji geain 	lea sámegiella .
Ráissas , Skánit ja Kongsbakken joatkkaskuvllain leat sierra 	oahpaheaddjit geat 	oahpahit sámegiela dássálaga eará fágaiguin .
leat árvasat virgelobiiguin ja stipeandaortnegiiguin daidda 	oahpaheddjiide geat 	leat hálidan váldit sámegiela oahpu .
Mii leat ee. bivdán Stáhta Oahppokantuvrra dahkat álggu vai maiddái joatkkaskuvllat ožžot oahppodáhkádusa 	oahpaheddjiide geat 	hálidit háhkat sámegiela oahpahangelbbolašvuođa , muhto dasa eat leat ožžon mieđáhusa .
Muhtin skuvllat dahket dađistaga buori barggu go ilbmet dakkár skuvlahoavddat ja ovttaskas 	oahpaheaddjit geat 	beroštit earás go das mii lea áibbas dábálaš .
Mii ozaimet prošeaktaruđaid máŋgga sajis , ja mis lei ii-sámi 	oahpaheaddji gii 	erenoamážit beroštii prošeavttas .
Virgealmmuhusas galgá maiddái ohcat 	oahpaheddjiid geain 	lea kulturgelbbolašvuohta .
Sámegielagat sáhtášedje movttiidahttojuvvot váldit vásedin fágaid - ii dušše sámegiela - ja fas 	oahpaheaddjit geain 	lea formála gelbbolašvuohta sámegielas sáhtášedje movttiidahttojuvvot joatkkaohppui vissis fágain .
Oahpponeavvut galget heivehuvvot gáiddusoahpahussii ja oahppanbirrasiidda mat leat apmasat 	oahpaheddjiide geat 	váldet oahpu Sámi_allaskuvllas Guovdageainnus .
Báikkálaš heiveheapmi oahpahusas deattuhuvvo unnán dálá sámi oahpaheaddjeoahpus - 	oahpaheaddjit geat 	bohtet Sámi_allaskuvllas Guovdageainnus berrešedje beassat oahppat eambbo árvvusatnit sámivuođa olggobealde Sis-Finnmárkku .
- ásahit systemapáhkka vai nanne sámi oahpahusa olggobealde sámegiela hálddašanguovllu - bestenstipeanda studeanttaide mat váldet oahpu , ja vuoládusa addit oahppoloanas // liige bálkáceahkit vai oažžu virgái fágaoahppan 	oahpaheddjiid geain 	lea sámegiella ja vai doalaha sin skuvllas .
	oahpaheaddjit geain 	lea fágalaš čiekŋudeapmi
Eanaš háviid ii leat ovttaskas 	oahpaheaddji gii 	
Maŋŋá bessen gullat ahte Anára skuvllas lea sierra 	oahpaheaddji geas 	lea earenoamášpedagogalaš gelbbolašvuohta .
	oahpaheaddji gii 	oahpaha soames temá ovtta fágas
	oahpaheaddjit geain 	lea gelbbolašvuohta erenoa
Muhto eat leat dattege gokčan dárbbuid oažžut 	oahpaheddjiid geain 	lea gelbbolašvuohta sámegielas , erenoamáš guoská dát sadjásaš oahpaheddjiid háhkamii .
Lea deaŧalaš sihkkarastit stáđis oahpaheddjiid sámegielas , seammá go ferte bargat háhkat ođđa 	oahpaheaddjiid geain 	lea dakkár gelbbolašvuohta .
Mihttomearrin lea ee. doarvái 	oahpaheaddjit geain 	lea ollislaš sámegiel gelbbolašvuohta , mii lea dohkkehuvvon oahpaheaddjeoahppu ja sámegiel vuođđofága .
	Oahpaheaddjit geain 	lea unnán dahje ii leat sámegiel gelbbolašvuohta , eai sáhte daiguin ruđaiguin oassálastit intensiivagurssas ” Álgu ” dahje ” Joatkka ” , vai ožžot vuođu joatkit allaskuvlii dahje universitehtii .
Ledje liikká 	oahpaheaddjit geat 	ledje dáruiduhttima vuostá ja eai ohcan lasáhusa .
Stuorradiggi logai vel čielgasit ahte dáid guovlluin ii lean ávki dahje sávahahtti bidjat virgái 	oahpaheaddjiid geat 	máhtte sámegiela .
bures dovdat ášši , soaitá leat dáčča oahpaheaddji dehe nuorra sámi 	oahpaheaddji gii 	boahtá dakkár sosiálalaš birrasis
Lea doaibman bures go leat guokte 	oahpaheaddji geat 	gaskaneaska sámásteaba ja ávžžuheaba earáid sámástit ja searvat rollespillaide .
Vuoi mánnariebut , geain eai leat 	oahpaheaddjit geat 	hállet gielaset .
Lei vel okta 	oahpaheaddji gii 	máhtii sámegiela , Jens Eriksen , muhto son ii duostan hállat go dárogiela .
Ja dat lei 	oahpaheaddji gii 	ieš lei sámegielat .
Mis lei ee. muhtin 	oahpaheaddji gii 	ii lean go 18–19 jagi .
Skuvlasystemas , man vuođđun ledje dáža máilmmi plánat ja árvvut , lei lihkus mis 	oahpaheaddji gii 	beroštii ovdanbuktit kulturhistorjjá positiivvalaš vuogi mielde , ja dainna lágiin dovdagođiimet gullevašvuođa gillái , ja ahte gulaimet oktii .
Buot 	oahpaheaddjit geat 	barge seamma áiggis go Nuth , ledje ožžon nuvttá skuvlasajiid Romssa oahpaheaddjiskuvlii ja ledje doppe oahppan sámegiela .
Gállojoga biires lea 	oahpaheaddji gean 	ruovttugiella lea láttegiella .
Skuvllas ledje guokte sámegielat 	oahpaheaddji geat 	jođiiga mearkagiella-kurssain .
Seammá reivves son čállá váikkuhusa mii lei go oahpahit besse dušše dat 	oahpaheaddjit geat 	ledje Lærersambanda miellahtut : « Telegrámmajearaldagas Girkodepartementii das ahte sáhttá go skuvllaid álggahit beassážiid maŋŋil go oahpaheaddjit leat dáhtolaččat , de ožžon dán vástádusa : Skuvllat sáhttet joatkit duššefal oahpaheddjiiguin geat leat Lærersambanda miellahtut .
Seammá reivves son čállá váikkuhusa mii lei go oahpahit besse dušše dat oahpaheaddjit geat ledje Lærersambanda miellahtut : « Telegrámmajearaldagas Girkodepartementii das ahte sáhttá go skuvllaid álggahit beassážiid maŋŋil go oahpaheaddjit leat dáhtolaččat , de ožžon dán vástádusa : Skuvllat sáhttet joatkit duššefal 	oahpaheddjiiguin geat 	leat Lærersambanda miellahtut .
Mun bivddán du din suohkanis iskat nu várrogasat go sáhttá leat go oskkáldasmeahttun 	oahpaheaddjit geaid 	berre lihccut virggis , suspenderet dahje sirdit eará sadjái .
Stuora oassi 	oahpaheddjiin geat 	oahpahedje sámegiela ohppiid , máhte nu unnán sámegiela ahte eai sáhttán geavahit sámegiela veahkkegiellan .
Seammás ledje máŋga 	oahpaheaddji geat 	sáhtášedje geavahit veahkegiela , muhto geat eai dahkan dan , juogo dan_dihte go ieža oaivvildedje ahte lei buoremus dušše geavahit dárogiela , dahje sii ipmirdedje sin hoavddaid gohččosiid nu ahte eai galggan geavahit veahkegiela oppanassiige .
Nuppi bealde ledje 	oahpaheaddjit geat 	geavahedje eambbo go instruvssa mielde galge , dan_dihte go sin mielas dat lei pedagogalaččat dárbbašlaš .
Dát guoskkai sihke sámi oahpaheddjiide ja muhtin dáža 	oahpaheddjiide geat 	ledje oahppan sámegiela .
Ledje gal maiddái muhtin sámi 	oahpaheaddjit geat 	máhtte dárogiela nu heittogit ahte eai nagodan čuovvut instruvssa ollásit .
Skuvllas lei dušše okta 	oahpaheaddji gii 	máhtii sámegiela , Anders O. Eira , gii lei Mázes eret .
Deike háliidedje skuvlaeiseválddit 	oahpaheaddjit geat 	eai máhttán sámegiela
Velá dán áiggi sáhttá gullat ahte sivva dasa go oahppit eai ožžon oahpu eatnigillii lei ahte lei beare unnán 	oahpaheaddjit geat 	máhtte sámegiela .
Muhto máŋgga muitalusas mii leat gávdnan ahte skuvlaeiseválddit oide 	oahpaheddjiid geat 	eai máhttán sámegiela ja eai háliidan ge dáža oahpaheddjiid oahppat .
	Oahpaheaddji gii 	dá muitala , Leif Sletsjøe , lei oahpaheaddjin Stuoravuonas , Unjárggas jahkebeale 1946:s .
Vaikko eai leat nu máŋga dakkár ovdamearkka , ledje maiddái 	oahpaheaddjit geat 	ledje geahččalan oahpat sámegiela ovdal_go bohte davás .
Okta dain lei Sverre Hatle , gii maiddái lea áidná 	oahpaheaddji gii 	lea bájihuvvon dán artihkalis gii ieš lea čállán iežas muitalusa sámegillii .
Mun lean gulaskuddan iežá dárogielat 	oahpaheddjiin geat 	leat leamaš Guovdageainnus , ja sii duođaštit dán .
Ja dat lei 	oahpaheaddji gii 	ieš lei sámegielat .
Son cuigii 	oahpaheddjiid geat 	eai čuovvulan dán ulbmila doarvái áŋgirit .
Dassážii_go diet ollašuvvet , de galgá buot nuoraidskuvllaide bidjat virgái 	oahpaheaddji gii 	lea riegádan sápmelažžan .
Oahpaheaddjioahpu sámegieloahpahus lea muhtin muddui leamaš ohppiide // studeanttaide geain lea leamaš sámegiella eatnigiellan , ja fas muhtin muddui dáža 	oahpaheddjiide geat 	galge bargat sámi guovlluin .
Danne_go dan áiggi lei politihkalaš čoaskin unnitloguid vuostá , de ii lean imaš go Álttá oahpaheaddjiskuvla fargga cuiggohalai go 	oahpaheaddjit geat 	válbmane doppe eai máhttán dárogiela dohkálaččat .
Eanas 	oahpaheaddjit geat 	gárváne doppe eai heiven dáruiduhttima reaidun , danne_go sii eai báljo máhttán skuvlla oahpahusgiela , ja nu sii áinnas geavahe dan giela maid sihke sii ja sin oahppit máhtte ...
Moadde 	oahpaheaddji geat 	muitalit Sámi skuvlahistorjjás leat vázzán oahpaheaddjioahpu Romssas 1950- ja 60-logus .
Ja sin gaskkas geat dahke dehálaš barggu sámegiela álgooahpu álggaheamis , ledje golbma 	oahpaheaddji geat 	ieža eai lean sámit : Inez Boon , Sverre Hatle ja Trygve Madsen .
– Muittán ovtta 	oahpaheaddji gean 	namma lei Eivind Tønnesen , ja gii lei suovvan ohppiid čállit moadde sámegiel sáni , muitala Trygve .
Lei oalle dábálaš ahte váhnemat gallededje oahpaheddjiid ruovttus , ja oalle dávjá 	oahpaheddjiid geaiguin 	sáhtte sámegiela hállat .
Skuvlasystemas , man vuođđun ledje dáža máilmmi plánat ja árvvut , lei lihkus mis 	oahpaheaddji gii 	beroštii ovdanbuktit kulturhistorjjá positiivvalaš vuogi mielde , ja dainna lágiin dovdagođiimet gullevašvuođa gillái , ja ahte gulaimet oktii .
Doppe oahpásmuvven 	oahpaheaddjái gii 	lei leamaš 7 jagi Buolbmát skuvlainternáhtas .
Moai leimme áidna 	oahpaheaddjit geat 	oppanassiige leat ohcan .
Vuoi mánnariebut , geain eai leat 	oahpaheaddjit geat 	hállet gielaset .
Go Sverre Hatle bođii Skuvvanvárrái , de lei mis 	oahpaheaddji gii 	sáhtii sámegiela oahpahit .
Muhto , jos ledje 	oahpaheaddjit geat 	máhtte sámegiela , de geavaheimmet sin smávvaskuvllas .
Jos sámegiela universitehta eksámen ( vuođđofága dahje gaskafága ) ii adnojuvvo bálkábajidanfágan , de mii evttohat ahte stáhta juolluda stipeanddaid 	oahpaheddjiide geat 	váldet dán eksámena .
Lei vel okta 	oahpaheaddji gii 	máhtii sámegiela , Jens Eriksen , muhto son ii duostan hállat go dárogiela .
	Oahpaheaddji gii 	háliidii oahppat
Áidna 	oahpaheaddji gii 	minguin hálai sámegiela lei Hans Baukop .
Maŋŋil oaččuimet eará 	oahpaheaddji gii 	lei hui buorre .
- Muittán ahte nuoraidskuvllas lei 	oahpaheaddji gii 	jearai lea go oktage luohkás gii ipmirda sámegiela .
	Oahpaheaddjit geat 	geavahedje dárogiela , ožžo buoret bálkká go sii geat oamedovddu geažil mieđihedje geavahit sámegiela .
	Oahpaheaddjit geat 	eai sáhttán čájehit buriid bohtosiid dán , eai ožžon bálkálasáhusa .
	Oahpaheaddjái gii 	lei oahpahan 7 jagi , dát dagai 23-30% bálkkás .
Liikká lea illu muittohisvuođas -_5. luohkás Ánne Kirste oaččui 	oahpaheaddji gii 	máhtii sámegiela .
Mun muittán erenoamážit ovtta dáhpáhusa mii mu váimmu bávččagahtii ja mii muitala veaháš dan birra ahte ledje maiddái muhtun 	oahpaheaddjit geat 	eai livčče berren bargat skuvllas .
	Oahpaheaddjit geat 	čovde váttisvuođaid dán láhkai eai livčče várra berren leat doppe , Ánne Kirste imaštallá .
Mun lean gulaskuddan iežá dárogielat 	oahpaheaddjiin geat 	leat leamaš Guovdageainnus , ja sii duođaštit dán .
Okta 	oahpaheddjiin gii 	lei guhkimus áigge erenoamášluohkás , lei Idar Andreassen .
Gávdnojedje maid 	oahpaheaddjit geaid 	otnege sáhttá muittašit buriin mielan .
Sigmund Steenbuch lea okta máŋgga 	oahpaheaddjis geat 	leat boahtán lullin ja oahpahan moadde jagi Finnmárkkus .
- Man ollu ledje 	oahpaheaddjit geat 	máhtte sámegiela ?
- Nuoraidskuvllas mis ledje golbma 	oahpaheaddji geain 	lei sámegiella eatnigiellan , dat ledje Kirsten Porsanger Sara , Isak Østmo ja Amund Teigmo .
Mun in šaddan čuovvolit dan ávžžuhusa , muhto ledje muhtin eará 	oahpaheaddjit geat 	dahke dan , ja geat maŋŋil lohke sámegiela vuođđofága .
