[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Gáibida eksámena Lullisámegiel oahppi ii áigon álggos čađahit go nuppi dain dárogiel eksámeniin , go su mielas lea boastut ahte son beassá mearridit goabbá eksámen 	galgá duođaštussii 	, muhto earát eai beasa .
Vaikko opposišuvnna Johttisámi Listtu áirras , Máret Sára , geahččalii čuolahit ahte gielda ii leat eananeaiggát ja danin ii 	galgga dasa 	máksot buhtadus .
– Mun 	galggan Porsangmoenii 	čakčat , mun illudan dasa , dadjá Marita .
Fáhkka , guokte vahku ovdal go 	galget bargui 	álgit , bessen gullat ahte ledje mearridan sirdimin doaimmahusa Heahtái .
– Mis galgá álot leat juogalágan dispensašuvdna ja báhpirat ozas dahje ruovttus jus 	galgat meahccái 	vuolgit ja de lea čielggas ahte olbmot , ja de erenoamážit nuorat geardi , ii gille vuolgit meahccái , lohká son ja atná dan hui unohassan ja váivin .
Ii 	galgga earáide 	dáhpáhuvvat – Mun jurddašan dát ii galgga earáide dáhpáhuvvat movt muinna lea UNN láhtten .
Ii galgga earáide dáhpáhuvvat – Mun jurddašan dát ii 	galgga earáide 	dáhpáhuvvat movt muinna lea UNN láhtten .
Min skuvllas lea buorre go lea kantiina , stáda 	galggašii dása 	bidjat ruđa vai sáhttet bissovaš bálkái bidjat olbmo vai suohkan ii dárbbaš máksit ja nu šattašii dát bistevaš doaibman , dadjaba soai .
Logaldallamis muitalii Anne Jannok Eira hástalusaid ja váttisvuođaid maid sii ožžot go 	galget mánáide 	oahpahit sámi árbevieruid ja kultuvrra mánáidgárddis .
Dán jagi lei rievtti mielde 	galgat johtui 	boahtit skuvlla divodeapmi , muhto dan sadjái divodit baicce basseaŋgga .
– Jurddaš , sii geat juovlabasiid leat dáppe , eai beasa skuteriin ge vuodjit dáppe , šaddet mannat eará suohkanii dan dahkat , ja eará lea jus mahká 	galge astoáiggeviesuide 	beassat , mahká Vuorašjávregáddái , de eai gal beassan dohko , oaivvilda Ovddádusbellodaga suohkanstivraáirras , Nils Mathis O. Hætta .
– Diehtoguovddáš Guovdageainnus livččii 	galgan dan 	listui , muhto ii leat veara , lohká son .
Ii šat boahtteáigi Vearrámussan oaidná Utsi go boranávdedilli 	galgá mánáide 	ja sin boahtteáigái čuohcat .
Doaibmaplána ráhkadeame Guovdageainnu sosiálakantuvrra ( NAV ) jođiheaddji , Márja Elise Eira , muitala ahte suohkanis leat dál bargojoavkku biddjon ráhkadit doaibmaplána gárrenmirkogeavaheami ektui , ja dat 	galgá suohkanstivrii 	njukčamánus .
– In dieđe duođai manin dát sáddejuvvui mediai , go álggos ii lean jurdda eambbo 	galgat midjiide 	leat dušše oahpaheamis , muitala Mikkel Ole J. Eira , gii lea nubbi dain gii lea namuhuvvon dan preassadieđáhusas gulahallanolmmožin , maid Aftenpostena journalista Jan Gunnar Furuly lea sádden mediai .
– Nu ahte ii oktage 	galgga midjiide 	boahtit muitalit ahte mii eat máhte lágidit gilvvuid , loahpaha Frode Harangen .
– Dalle lei sierra sáhttu mánáide geat 	galge skuvlii 	Ráisávžžis .
Sii lea fállan ahte soames 10. luohká mánát sáhttet mieđustit mu máná go 	galgá bussii 	ja go galgá lonuhit bussiid , muhto mu mielas ii leat dohkálaš ahte suohkan addá mieđustanovddasvástádusa mánáide .
Váldo gáfestallanguovlu Ášši duogáš lea nu ahte Odd Iver Sara lei ohcan bievlavuodjinlobi suohkanis go 	galggai ealgabivdui 	.
Váldo gáfestallanguovlu Ášši duogáš lea nu ahte Odd Iver Sara lei ohcan bievlavuodjinlobi suohkanis go 	galggai ealgabivdui 	.
– Leamaš sáhka ahte sii galget beassat johtit deike , muhto de 	galget midjiide 	juolludit eatnamiid Ruoŧa bealde .
Ovttaoaivilvuohta Čoahkkimis ii boahtán makkárge konkrehta evttohus eastadeaddji doaimmaide mainna 	galgá ovddasguvlui 	bargojuvvot , muhto liikká lohká Spiertagáissá ovdaolmmoš dovdame ahte gulahallan lea jođus , ja ahte áššiin manná ovddasguvlui .
– Čuohpan vuos eret muoras dan mii ii 	galgga govvii 	ja de bijan ivnni ja deaddilan báhpira pláhta ala .
– Jus galggaš addit lobi jienastuslogu geavahit earáide , de 	galget dasa 	leat nana servodahkii guoskevaš ákkat .
– Dás ii leat nu olu maid kommentere go ášši 	galgá diggái 	, lohká Porsanger Anti .
Ii han 	galgga millii 	báhcit mii sullos dáhpáhuvai dan beaivvi , dadjá Eira .
– Go Dahl ja Eira eaba boahtán ovttaoaivilvuhtii goabbá sudnos 	galgá ovdagoddái 	, de soai mearrideigga ahte galgá leat nissonolmmoš , ja Hætta fas de evttohii mu , de mun bessen ovdagoddái , muitala Lango .
– Ii lean ávki gutnehuhttima vuođul ge váidit suohkana , go Lindorf Inkasso fitnodat lea olles jagi juo vuorjan dáinna áššiin , lohká Buljo gii lea duođaš vuorrástuvvan go báiki 	galgá bikkegii 	mánu geahčen .
Dán čavčča , go sin eallu 	galggai gárdái 	, ozaiga isidiin iežaska logejahkásažžii ealáhuspermišuvnna skuvllas .
Danin mii geavaheimmet buoret áiggi mo mii su 	galgat giddagassii 	fidnet .
Mis han lea ráđđehus mii 	galggašii dien 	gažaldahkii vástidit , lohká sámedigge
– Muhto dál lohpidan ahte juohke preassadieđáhus mii ráđis boahtá galgá guktot gillii , ja mihttu lea ahte buot preassadieđut Sámedikkis 	galget sámegillii 	maiddái , dadjá son .
Áidna soahpameahttunvuohta lei goas dan 	galget johtui 	bidjat .
Olgeža suohkanstivraáirras Eva Christensen , gii lei ovddeš ráđđeaddi orgána vuosttaš jođiheaddji , oaivvildii dan 	galget johtui 	bidjat go Loabága suohkan beassá sámi giellahálddašanguvlui .
Doavttir lei velá čállán ahte apotehkas 	galge munnje 	čájehit dan , lohká sámi beakkálmas , Per Tor Turi , Kárášjogas .
Hætta 	galgá diggái 	vuossárgga Dál lea Ole Henrik Hætta ieš váidon Romssa giddagasas , ráŋggáštuslága paragráfa 127 , vuosttas cealkaga bokte .
Nominašuvdnačoahkkin Boahtte mánus dasto čoahkkanit dat guokte boazodoallojoavkku nominašuvdnačoahkkimii mas dasto mearridit geat 	galget bajimužžii 	listtus .
Mii 	galgat fitnodagaide 	láhččit ja veahkehit olahit dán mihttomeari vai ođđa ja boares fitnodagat cevzet boahtteáiggis ja sáhttet ásahit ođđa bargosajiid olbmuide , lohká Bjerke .
– Lean ožžon boasttaid mat livčče 	galgan Ávžái 	, Máttaluobbalii dahje eará čujuhusaide Guovdageainnus .
Maŋŋá ožžon dieđu mon 	galgga bargoheiveheapmái 	Kaproi .
Rohtte unna vieljaža Máret 	galgá Osloi 	vuolgit juoiggastit su unna vieljaža Egil Stueng njukčamánu 27 b. – Mun in áiggo juoigát Thomasa luođi , mun áiggun unna vieljaža juoiggastit , lohká Máret gii ávžžuha buohkaid jienastit .
Njeallje jagi áigi Njeallje jagi áigi de mearredii bellodaga riikastivra ahte Ovddádusbellodat 	galgá Sámediggái 	, muhto eai buohkat Ovddádusbellodagas leat ovttaoaivilis Sámediggái cegget listtu .
Raporta ii 	galgan almmolašvuhtii 	Raporta mii lea Deanu gieldda poastalisttus ii lean oaivvilduvvon almmolašvuhtii , muhto lea lihkká biddjon gieldda almmolaš poastalistui .
Muhto dál 	galgá bargiide 	šaddat eanet vejolašvuođat dasa , muitala veahkkeráđđealmmái .
– Mu mielas ii leat riekta ahte gielda 	galgá stáhtii 	láhččit saji gieldda dearvvašvuođaguovddážis .
– Borgemánu álggu geahčen lihkken iđđes árrat ja 	galgen Omasvutnii 	vuoddját doaktára lusa , muhto de in gávdnan šat iežan biilla , muittaša biilaeaiggát gii mátketelefovnna bokte oaččui dieđuid gos su biila lea .
SáB gielddastivrra áirras Terje Tretnes maid imaštallá manin ášši fas 	galgá fylkkalávdegoddái 	, go dás han lea celkon duopmu , ja ášši galggašii leat loahpahuvvon .
Stivrra bealis muitala Turi ahte lea ollu mii 	galgá sadjái 	, earret eará nu go organisašuvdnanummir , doarjagiid ja viessosaji ohcat ja olmmoš gean bálkáhit , galggašii ge diekkár áššiiguin bargat .
Jus boaittobeale gilážiid olbmot eai 	galggašii meahccái 	beassat , de sáhttá dát dagahit ahte dákkár gilážat oalát jávket .
Valle muitala ruđat mat čuvvot dán juolludanreivve mielde eai leat sámegiela várás biddjon , muhto liikká 	galget dása 	ruđat gávdnot fylkkamánne iežas bušeahtas .
Muhto in hálit addit namaid ovdalgo lea mearriduvvon goabbá 	galgá jovkui 	, muitala Sandlie .
– Nuoraidráđi bargu lea čohkket buot nuoraid iige biđget sin , ja lágidemiide 	galgá buohkaide 	leat bures boahtin , ležžet dal servviin miellahtut vai eai , dadjá son .
– Seamma olbmot mearrededje mii 	galgá soahtehistorjái 	.
Buoridan dihte ráinnasvuođa 	galget ovtta 	latnjii biddjot pláhtat mat girdet čázi .
Oahppit 	galget dása 	ohcat www.vigo.no bokte .
Vaikke ledje čielga eavttut gosa guolli 	galggai gáddái 	, de eai trolárat dan dahkan .
Mii diehtit buohkat oktasašjohtolaga vejolašvuođaid leat heittohin eai ge dat oppa gávdno ge buot sajiin dáppe Sámis , ja duohtavuođas eai leat eará molssaeavttut priváhtabiilii go olmmoš 	galgá bargui 	.
Mis ferte leat ealli digaštallan buot Finnmárkku ealáhusdoaimmaid birra , ja buohkat 	galget dasa 	beassat searvat iežaset oaiviliiguin .
NSR ii leat dán rádjái háliidan digaštallat dáid gažaldagaid , muhto dušše deattuhan ahte dieđáhus 	galgá gulaskuddamii 	.
Viđa ohccis lea dušše Nils Peder Eriksen gii ii 	galgga jearahallamii 	.
Don dajat mu dovdabehtet bures ovdalaččas , ja dan dihte in 	galgga jearahallamii 	.
Soai goappašagat goit 	galgaba jearahallamii 	!
Goas mealgat eanet ruđat 	galget gaskaoapmepostii 	, mii manná girjegoasttideddjiide , lea go guorahallan buoret ja beaktilat oahpponeavvobuvttadeapmi lea loahpahuvvon ja go bázahuslistu lea guorahallon ja ruđat luvvejuvvon doppe .
Nuorat illudit go dál fargga 	galget golmma 	vahkkui hárjehallat ambulánsabarggus .
	galgá dasa 	lassin fas gilvalit juogalágan lávlungilvvus , muhto dan ii galgga Ann Mari ieš lávlut .
	galgá dasa 	lassin fas gilvalit juogalágan lávlungilvvus , muhto dan ii galgga Ann Mari ieš lávlut .
Davvi-Norgga hárjánan guollebivdi dajai : – Mun nu suhtastuvan daidda liigečehpiide geat bohtet máddin ja 	galget midjiide 	muitalit movt mii galgat bargat bargguideamet .
Váibaluvvan son jámii ovdalaš go 	galggai ealáhahkii 	.
Daid gánniha máhcut bures čoahkkái , dat ges 	galget garrabábersehkkii 	.
Girkonjárga 	galgá guossái 	boahtit Báktevárrái , muhto dat eaktuda ahte šilljus suddá muohta .
Manne moai álo 	galge Austráliai 	geasset ?
Mo jáhkát mannat go návdi ja bierdna 	galgaba riebanii 	veahkkin gortniid láddjet ?
Nuorat ledje álggus balus go 	galge eŋgelasgillii 	logaldallat , muhto čájehuvvui ahte lea dušši ballu :
Eanas dieđut min birra leat amasgillii , maiddai stuora oassi dieđuin maid mii 	galgat didjiide 	fievrredit .
Dássedit čađahuvvojit doaimmat mat 	galget midjiide 	čalmmustahttit johtolaga várálašvuođaid ja buoridit johtolatsihkarvuođa , muhto jearaldat lea man bures daiguin olahit mihtuid .
Vaikke ii leamašan Ruoššas oalle ovttaoaivilvuohta mo dáinna gažaldagain 	galgá ovddasguvlui 	bargat , de aŋkke leat joavdan dan muddui ahte álgit bargat ráhkkanit dan guvlui .
Duohtavuohta goitge lea ahte 15-20 jagi ii leat nu guhkes áigi jus 	galgá sidjiide 	maid dan mađe buorre fálaldat go dálá boarrásiin lea .
Son lea dušše lohkan niidii ahte sus 	galgá alcces 	jáhkku .
Ášši 	galgá diggái 	cuoŋománus .
Jus 	galggašii buohkaide 	ovdanboahtit dat rievttes mearkkašupmi dahje giela dárkilvuohta // bietna , de galggašii prográmmajođiheaddji čurvet OAIDNALAT !
Áidna soahpameahttunvuohta lei goas dan 	galget johtui 	bidjat .
Olgeža suohkanstivraáirras Eva Christensen , gii lei ovddeš ráđđeaddi orgána vuosttaš jođiheaddji , oaivvildii dan 	galget johtui 	bidjat go Loabága suohkan beassá sámi giellahálddašanguvlui .
– Mii leimmet gáfestallame maŋábeale lávddi eará oasseváldiiguin ja geahčaimet earáid go dánseje ja hárjehalle ovdal go 	galge lávdái 	.
Go lea vejolaš , de 	galgá dan 	álbmogii addot oasi dietnasis dakkár doaimmas ja galget oažžut govttolaš buhtadusa juohke vahágis maid gillájit doaimma dihte
Lávdegoddi 	galgá boazodollui 	oččodit seammá divatortnegiid go dan mii eará ealáhusain lea .
– Muhto Sámediggi maiddái boahtá ain gáibidit ahte eamiálbmotdivat 	galgá Sámediggái 	, iige eananeaiggádiidda máksot , nu go mahkáš Finnmárkkuopmodahkii , lohká son .
Dieđut 	galget midjiide 	boahtit ávkin ja mii galgat ieža beassat mearridit masa mii geavahit daid boahtteáiggis , joatká son .
ON bistevaš Forum ávžžuhii garrasit jagi 2006 olbmuid ahte eai 	galgga dasa 	searvat , ja dat lea duođalaš mearkkašupmi sis , lohká sámediggepresideanta Egil Olli .
Deháleamos lea oahpahit mánáide ahte 	galget rávisolbmuide 	jođánit muitalit jus vásihit unohis dáhpáhusaid amas olbmuiguin , rávve Lorentzen .
Dasa lassin 	galgá nuortalašgillii 	maid miessemánu mielde go čovdet teknihkalaš čuolmmaid .
Diekkár kursa 	galggašii buohkaide 	, dadjá Biret Sara Turi .
Mis han lea ráđđehus mii 	galggašii dien 	gažaldahkii vástidit , lohká sámedigge
Fáddán lei girji , mii 	galggai juogaláhkái 	guoskahit sámi eallima ja kultuvrra .
– Mun 	galggan Budejjui 	iežan olbmá 30 jagi beaivvi ávvudit , lohká Høgli .
Mu dieđu mielde 	galgá dasa 	sivva go okta olmmoš lea diibmá váidalan musihka , muitala Turi .
– Muhto dál lohpidan ahte juohke preassadieđáhus mii ráđis boahtá galgá guktot gillii , ja mihttu lea ahte buot preassadieđut Sámedikkis 	galget sámegillii 	maiddái , dadjá son .
– Čuohpan vuos eret muoras dan mii ii 	galgga govvii 	ja de bijan ivnni ja deaddilan báhpira pláhta ala .
Mii oaivvildit deaŧalažžan daid čohkket servodaga háldui , vai dieđuid sáhttá ovdamearkka dihte dutkamis geavahit ja maiddái go 	galgá mánáide 	ja nuoraide oahpahit dalá riidduid birra , čilge Keskitalo .
SANKS jođiheaddji muitala go ovttastahttet Leavnnja ja Kárášjoga psyhkalaš dearvvasvuođa ossodagaid de háliidedje bargit messetrieggá mii galggai leat dego dovdomearkan sidjiide , ja dat 	galggai dasa 	lassin láidestit sin barggus .
– Mii leat velá joavkkus bargamin bušeahtain , mas 	galgat duorastahkii 	( otnážii ) gávdnat oktiibuot 8 miljovnna ovddas seastima , dadjá Breivik .
Steinar Hermansen muitala ahte vuosttas čoahkkin Sirpmás galgá vuosttažettiin dusse ráhkadit plánaid mo lávdegoddi 	galgá ovddasguvlui 	bargat .
NANNET VUOIGATVUOĐAID : Deanučázádaga luossabivdiidsearvvi ovdaolmmoš Ingrid Nordal dieđiha ahte stággobivdiid vuoigatvuođat 	galget báhpárii 	boahtit oidnosii !
– Lea áddjás proseassa go plánat 	galget gulaskuddamii 	ja galgá čielggaduvvot leat go doppe kulturmuittut ja nu ain .
Nieida oaččui álggos dušše dieđu ahte 	galgá Norgii 	, iige maidege eará .
Dan ruđas 	galgá sámiide 	10% .
Vuos ii lean báljo gulahallan buohccedivššáriiguin ja go eai vel ordnen sáhtu ruoktot , de mearridin vázzát čieža miilla ruoktot Mázii , vaikko lean buozas ja boahtte vahkku 	galggan čuohpadeapmái 	Romsii .
– Jus 	galggaš masage 	ávkin diet gieldin mearrádus Meahcceráđđehusa bealis , de baicce galggašedje gieldit rievssatbivddu olle jahkái .
Johnsen maid árvvoštalai nu ahte bellodat galggašii geahčadit juohke evttohasa dohkálašvuođa go 	galgá sámediggelistui 	.
Manne bat suohkanbellodaga obage 	galgá dasa 	seaguhit .
ii 	galgga earáide 	fállat .
Oallugat ferteje biilalásiid gazzut otne iđit maid go 	galge bargui 	.
It dárbbat ruđa golahit vai olbmát 	galget dutnje 	liikot , leage lunddolaš , ja de gal manná hui bures dán vahkku .
Dál 	galggat alccet 	luohttit veahá eambbo .
It dárbbat golahit ruđa vai earát 	galget dutnje 	liikot , leage lunddolaš , ja gal de manná bures duinna dán vahku .
Ođđa váldočálli kantuvra 	galgá Tromsii 	, muhto gártá buori oasi bargoáiggis bargat Oslos .
Báŋkku vuito gohčoduvvo vuollemearalaš árvun , ja Ruhtadandepartemeantta njuolggadusaid mielde 	galgá Bierai 	máksojuvvot vuoitu .
	Galggat guhtiige 	addit gusavuoja gáhkkobihtá .
	Galget virgái 	biddjot gávcci bearráigeahččobálvvá ( bálk .
FeFo , mii 	galggai midjiide 	buorrin , orru šaddan amas ásahussan mii ii beroš olus árbevieruin , dušše bieggamilluin ja ruđas beroštit .
Alkohola lei dat vuosttas maid smihtten go 	galgen juovllaide 	gávppašit , ja das maŋŋil bohte easkka eará tiŋggat maid dárbbašin .
– Vaikko juoiggaime guovttá dalle , de dovddaime hui okto ovdalaš go 	galggaime lávdái 	, muitaleaba soai .
besse leat liekkadanjoavku ovdal beakkánis Amerihká joavkku 	galggai lávdái 	iežaset turneas .
Eliassen lea cealkán ahte dat geainnut gokko son johtá daid leat sii ieža ráhkadan eanandoalu ja meahcásteami oktavuođas ja go lágat leat nu ráhkaduvvon ahte sámi meahcásteddjiide ii galgga addojuvvot buoret vejolašvuohta ja láhkasuodjalus meahcásteapmái , de gártet dálu olbmot láhkarihkkun jus 	galget meahccái 	go láhka čielgasit hehtte árbevirolaš meahcásteami .
Mii leat danin dahkan šiehtadusa Davvi Girji lágádusain oastit 307 girjenamahusa mat nuvttá 	galget skuvllaide 	.
Mii leat danin dahkan šiehtadusa Davvi Girji lágádusain oastit 307 girjenamahusa mat nuvttá 	galget skuvllaide 	.
Mii leimmet bidjan beaskkaid ja goikkehiid vai bivvat čohkkát reagas lihkatkeahttá , danin leimmet hirbmat doaŋgát go 	galggaimet rehkii 	goargŋut .
	Galggašii Girkonjárgii 	ásahuvvot
Karategraderen lea mánáide heivehuvvon , ja Mikal Bongo Norvoll čájeha oránša roancci maid 	galgá boahkánii 	goarrut gitta .
Máret 	galgá Osloi 	vuolgit juoiggastit su unna vieljaža Egil Stueng njukčamánu 27 b.
Mánát ja nuorat 	galget prográmmajođiheaddjái 	Elle Márjá Eirai oahpahit čuojahit .
Duolva Duoddara Ole Máhtte Hætta Gaup ja Ivan Andre Skum eaba 	galgan lávdái 	, muhto leaikkastalaiga ahte go juo eatnit birgehalle nu bures , de ferteba soai maid ráppestit , vaikko Fred ii leat ge fárus .
Leat baicce sii geat 	galget gárdebivdiide 	čáhkkehit saji ja dát leat juoga maid Finnmárkkuopmodat livčče berren ovddimusas leat geat dán vuhtii váldet .
Ja jus lea dainna lágiin ahte orohat falleha áitagiiguin ja moaitagiiguin Store Norsk go eai leat ožžon ruhtašiehtadusa sadjái , de 	galggaše dan 	čielgasit álbmogii muitalit .
Juovlaskeaŋkkat han 	galget buohkaide 	, muhtumiidda soaitá vel addit máŋga skeaŋkka .
Dát máksinvuogádat lea dalle boaresáigásaš ja ii heive guđegeláhkai ortnegii mas ulbmil ja áigumuš lea ahte 	galget doarvái 	sajit buohkaide álo .
Áigot ovdamearkka dihte váldit eret oahppostipeandda ja boazoloatna-ortnega , mat vuosttamuččat 	galget nuoraide 	ávkin , muhto nuppe saje áigot fas nuoraide lasihit álggahandoarjaga .
Journalisttat barget ‹ ‹ lea ge várrogas › › plakáhta mielde mii 	galggašii doarvái 	dáhkádus ahte álot árvvoštallo vuđolaččat maid deaddila dahje sádde máilbmái .
Sii maid gávnnahedje ahte dán áiggi lea boazodollui nu garra deaddu ahte sii dárbbašit sierra olbmo guhte njulgestaga bargá áššiiguin mat 	galget mediai 	.
Lea dát foanda mainna šattai nu hirbmat riedja go min vuorraset geardi oaivvildit ahte dát foanda livččii 	galgat sidjiide 	.
Miehtá máilmmi vuosttildedje ahte ráfibálkkašupmi 	galgá Obamai 	ja organisašuvnnat ja joavkkut lágidedje miellačájáhusaid .
Amma hal Suoma sámediggepresideanta maid 	galggašii boahtteáigái 	moadde jurdaga dahkat dan birra ?
Mátta-Várjjagis mearkkaša dát ahte bázahusat 	galget merrii 	.
Dan maid diehtit , dat lea ahte buohkat doarjjoše gáibádusa ahte buot dákkár ođđa linnját 	galggašedje lundui 	biddjot mat unnimusat ” nuoskkidivčče ” ja billistivčče .
– 	Galggašii gielddaide 	eambbo ruđaid juolludit vai gieldda ruhtadilli buorránivččii .
– Dát lea min oktasaš hástalus , buohkaid min geat galgat oččodit sápmelaččaid čálihit iežaset jienastuslohkui , buohkaid min geat 	galgat jienasteddjiide 	dadjat : jienastehket min !
Orui gal álggos veaháš issoras jurddašit ahte 	galggan CD:i 	lávlut , iige mus lean nu hállu , dovddaha Risten
– Juo , mu mielas lea dehálaš ahte mii iskat movt mii 	galgat vuostái 	váldit ruvkefitnodagaid mat háliidit ohcat minerálaid Sámis .
SáB gielddastivrra áirras Terje Tretnes maid imaštallá manin ášši fas 	galgá fylkkalávdegoddái 	, go dás han lea celkon duopmu , ja ášši galggašii leat loahpahuvvon .
Ášši 	galgá diggái 	cuoŋománu 2. ja 3. beaivvi .
Boahtte mánus dasto čoahkkanit dat guokte boazodoallojoavkku nominašuvdnačoahkkimii mas dasto mearridit geat 	galget bajimužžii 	listtus .
Raporta ii 	galgan almmolašvuhtii 	
Muhto dál 	galgá bargiide 	šaddat eanet vejolašvuođat dasa , muitala veahkkeráđđealmmái .
Mii 	galgat fitnodagaide 	láhččit ja veahkehit olahit dán mihttomeari vai ođđa ja boares fitnodagat cevzet boahtteáiggis ja sáhttet ásahit ođđa bargosajiid olbmuide , lohká Bjerke .
Njuolggadusat maid Sámediggi dál lea evttohan 	galgá gulaskuddamii 	mas lea áigemearri juovlamánu vuosttaš beaivái .
Mii leat oahpaheddjiiguin čoahkkinasttán ja boahtán ovttaoaivilii ahte galget váhnenčoahkkimiin muitalit dan geatnegasvuođa mii skuvllain lea mánáidsuodjaluslága ektui , ii ge mihkkege eará 	galgga mánáide 	daddjot .
– Áidna gokko mánáidsuodjaluslága vuođul ii 	galgga ruovttuide 	muitaluvvot , lea jus váruhuvvo seksualálaš illásteapmi .
– Lean ožžon boasttaid mat livčče 	galgan Ávžái 	, Máttaluobbalii dahje eará čujuhusaide Guovdageainnus .
Njeallje jagi áigi de mearredii bellodaga riikastivra ahte Ovddádusbellodat 	galgá Sámediggái 	, muhto eai buohkat Ovddádusbellodagas leat ovttaoaivilis Sámediggái cegget listtu .
Lohká guovdageaidnulaš Anders Nils Eira gii oaččui rehkega mii ii 	galgan sutnje 	.
– Juo , mun fuobmájin easkka maŋŋil ahte livččii 	galgan dasa 	maŋidit , go mis maid maŋŋonii njuovvan oalát go MT-slakt ii beassan njuovvat duolva čázi dihte , ja min orohagas ledje boazoeaiggádat geat dan dihte sihte maŋŋidit gárddástallama .
– Mis ii leat vejolašvuohta guhkidit áigemeari go njuolggadusain daddjo ahte 	galget dán 	áigemearrái dahkkot , vaikko vel leat ge teknihkalašváttisvuođat neahttaprográmmas .
Doavttir lei velá čállán ahte apotehkas 	galge munnje 	čájehit dan , lohká sámi beakkálmas , Per Tor Turi , Kárášjogas .
Lassin 69 siidosaš dokumentii , ferte Ráđđehus buktit milliuvnnaid jus 	galggaš masage 	ávkin , gáibida NSR presideantaevttohas Aili Keskitalo .
Hætta 	galgá diggái 	vuossárgga
Dat lea su skuvlabargu , mas 	galgá alcces 	goarrut lávdebiktasiid , ođasmahttojuvvon árbevieruid mielde .
– Mu mielas ii leat riekta ahte gielda 	galgá stáhtii 	láhččit saji gieldda dearvvašvuođaguovddážis .
Duođaštusat leat dehálaččat , danin go Norgga rievttis lea prinsihppa ahte buot eahpádus 	galgá áššáskuhttái 	leat buorrin .
– 	Galggašedje guovtti 	gillii
	Galggašedje guovtti 	gillii
Rektor sávvá ahte sullii 7 -8 jagi geahčen lea prográmma mii 	galgá rávisolbmuide 	oahpahan sámegiela , buktán bohtosiid .
Zero birasvuođđudus bargá dálkkádatváttisvuođaiguin , gávdnat buoremus čovdosa mii 	galgá birrasii 	ja lundui leat buoremus .
« Pan-Barentz » lea ovdalis leamaš Oslos , dál lea Romssas , maŋŋá dan 	galgá Murmanskii 	, Roavvenjárgii , Helssegii , ja loahpas Moskvai .
Lea čielggas ahte dát golmmas 	galget stivrii 	, mázelaččaguovttosNils Johan J. Gaup ja Klemet Erland Hætta ja áltálaš Torill Bakken Kåven .
Almmolašvuođalága mielde 	galgá almmolašvirggiide 	gávdnot ohcciidlistu gos lea namma ja ássanbáiki oidnosis , muitala fylkkamánni juridihkalaš hoavda Håvard Aagesen .
Iđđes go lihkken ja 	galgen Omasvutnii 	vuoddját doaktára lusa , de in gávdnan šat iežan biilla .
Lea unnán mii 	galgá dasa 	, lohká Paulsen Bladet Tromsø:i .
Dán vahkkoloahpa lágiduvvojit Hállemas cupa čiekčamat Váhčiris Ruoŧas , ja Sámi nissonriikajoavkku hárjeheaddji Frank Lindseth lea doppe válljeme Ruoŧa beale Sámi nissončikčiid riikajovkui mii 	gálgá AWG-gilvvuide 	njukčamánu boahtte jagi .
Dasalassin 	galggai Olmmáivággái 	dahje
Dál háliidivčče sii ahte ášši 	galggašii Alimusriektái 	.
– Dohko lei hirbmat doapmamuš , go dat okta olmmoš lei dušše ovtta bargobeaivvi ain hávális dáppe ja vuorasolbmot 	galge hotellii 	boahtit , jus áigguimet veahki oažžut .
– Borgemánu álggu geahčen lihkken iđđes árrat ja 	galgen Omasvutnii 	vuoddját doaktára lusa , muhto de in gávdnan šat iežan biilla , muittaša biilaeaiggát gii mátketelefovnna bokte oaččui dieđuid gos su biila lea .
Sámedikkis lea alddis sátnevuorká mii 	galggai buohkaide 	leat ávkin .
Ii oro áddejupmi dasa ahte dat veahkkeneavvut mat 	galggašedje sámekultuvrii 	leat eanemus ávkin , leat dál bissehuvvon .
Beaivvi maŋŋil 	galggaimet surfenkursii 	.
Mis lea maiddái okta koahkka gii 	galgá nuoraide 	ráhkadit biepmu ja oahpahit nuoraid mo ráhkada borramušaid , dadjá SÁNAG jođiheaddji Gunn Heatta .
Fertet maid váruhit ahte ii geavat liige elrávdnjejohtasiid , de dát 	galget idjii 	eret gaikot .
Lihtti 	galgá gurrenláhkái 	07.00 rájes veaigái .
Mánnodaga 	galget logaldallamiidda 	ja oahpásnuvvat Romssa spábbačiekčanbirrasii .
Lassin 69 siidosaš dokumentii , ferte Ráđđehus buktit miljovnnaid jus 	galggaš masage 	ávkin , lohká Aili Keskitalo .
Maŋŋá ožžon dieđu mon 	galgga bargoheiveheapmái 	Kaproi .
– Buohkat geat ollejit dohko gosa 	galget áigemearrái 	, leat fárus gilvaleame 41 000 Norgga ruvnno ovddas mátkkoštanskeaŋkkaid , dahje 15 iešguđet merrosaš mátkkoštanskeaŋkkaid gaskkas .
Dál ferte juohkehaš ieš dáid hahkat interneahta bokte ja sáddet máttás njuolga , go eai 	galgga NAV:i 	.
Leamaš álo nu ahte 	galggai ovtta 	– guovtti mállásii čáhceloddi .
– Mis lea ulbmilin ahte girji 	galgá geavaheddjiide 	leat nuvttá , ja ahte mii sáhttit skeŋket dan daidda geat dárbbašit doahpagirjjáža .
Rapporta 	galgá gulaskuddamii 	čakčat .
Dat 	galgá midjiide 	muittuhit várjaleaddjámet birra gean lusa sáhttit mannat morrašiiguin .
