Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	adden 	ja gudnejahttin . ¶
Jus livččii Vestfoldas , de livččen atnán su heabuheapmen , measta stoaiddasin , muhto dál 	adden 	ahte ná dáppe čájehit ahte beroštit eará olbmuin . ¶
Ja fertii maid , go mánát ledje buohkat sámegielalaččat , ja eanáš eai 	adden 	veaháš ge dárogiela . ¶
Anna Mørk oahpahii eanaš dárogillii , muhto čilgii midjiide sámegillii go eat 	adden 	. ¶
Departemeanttas eai vel oro 	adden 	dan , go 24.02.1994 čálii ekspedišuvdnahoavda Hanna Marit Jahr : « Čujuhan maiddái čoahkkimii SOR:in Oslos 30.11.1993 , mas čielgasit daddjojuvvui juohkehačča bealis ahte sámi oahppit galge sihkkarastojuvvot seamma máhttovuođu go buot eará oahppit vuođđoskuvllas . ¶
Vuosttaš skuvlabeaivvi jerren muhtin nieiddážis gos hivsset lea , ja suorganin go fuomášin ahte son duođaid ii 	adden 	sámegiela . ¶
Earát eai 	adden 	mii dat lei , dat lei sámegillii heivehuvvon « pidestall » . ¶
Ii ge son gal 	adden 	maidege , mojohalai dušše ja dajai : « De nie fal , stuora mánát eai galgga ruoktot áibbašit » . ¶
Go mun álgen skuvlii , de in máhttán in sánige dárogiela , in 	adden 	sánige . ¶
Ii leat lohkanleaktu , muhto 	adden 	mii livččii galgan mihtiduvvot . ¶
Son ii 	adden 	manne mii vuostálasttiimet . ¶
Radio ja eará mediaid dieđuid vuođul leat 	adden 	ahte Girko- ja oahpahusdepartemeanta árvvoštallá ásahit sámi gymnása Áltái . ¶
Easkkaa maŋŋá lean 	adden 	ahte máŋggat mis sáhtášeimmet leat ( ja várra ledjege , várra leat ain ) guovttegielagat , jus sámegielat váhnemat livčče eatnigielaset hállan mánáidasaset . ¶
Lei máilbmi mu birra , mas in 	adden 	maidege . ¶
Lei aiddo ieš 	adden 	sámegiela čállinsystema , lei dadjat juo « oaidnán čuovgga » , ja de máhtii dan seammás mu maid láidestit rivttes guvlui . ¶
– Mun muittán uhcit ahte uhcit , muhto 	adden 	ain muhtin sániid . ¶
Isken dadjat sámegiel sániid , muhto in máhttán álo jietnadit rivttes láhkái , ja dalle eai 	adden 	mánát maid dadjen . ¶
In 	adden 	manne sii geavahedje sáni « lese » , ii ge « telle » , go in vel diehtán ahte sámegielsátni « lohkat » mearkkaša sihke « å telle » [ lohkat omd. ruđaid ] ja « å lese » [ lohkat omd. girjji ] dárogillii . ¶
In háliidan ahte nieida galgá dovdat iežas olgguštuvvon iežas bearrašis , ja danin válljejin ahte fertejedje sámástit vaikko mun in 	adden 	giela . ¶
Go maŋŋá čohkkájin čoahkkimis ja nu mo dábálaččat in 	adden 	maid hálle , de čohkkájin hui ráfálaččat ja dovden man buorre lei dan diehtit , mun čohkkájin hui oadjebasat doppe , go mun gullen dohko , ja ii oktage sáhttán dadjat ahte don han leat dušše rivgu , ii dus leat makkárge dadjamuš dás . ¶
Eai ge sámegielhálli bearašlahtut leat goassege jurddašan ahte in 	adden 	mii daddjui , ahte danin lea olu maid in leat diehtán . ¶
Mánát ledje dainna movtta go ledje 	adden 	maid skuvlaalmmái lei hállan diimmuin . ¶
Muhto i son gal 	adden 	das galle sáni . ¶
Báhpat galge , vaikko vel eai 	adden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Sii ledje varra 	adden 	ahte girji lei čállon amas gillii , sin oainnu mielde , – sámegillii . ¶
In dalle vel gal 	adden 	siva , muhto mun čihken dan girjji guottavuollái ja guvlen ain go dat earát eai oaidnán . ¶
Mun maiddái suhtten go in diehtán in ge 	adden 	manne sii dien láhkái munnje barge . ¶
Muhtumin bohte su vánhemat su luhtte fitnat , ja dat háleštedje dakkár giela maid earát eai 	adden 	. ¶
Muhto son goit ii heahpanan ja mun dan in fas 	adden 	. ¶
Muhto ii lean somá go rávesolmmoš lei mielde olles áiggi go in 	adden 	maid earát dadje . ¶
Vuos ledjen sorjavaš dulkkas ja de in sáhttán čuovvut mielde go in lean 	adden 	man birra sii háleštedje . ¶
In 	adden 	gosa sii áigo , danin vulgen ruoktut . ¶
– « Ii , mun in 	adden 	gosa dii áigguidet » , mun vástidin . ¶
Dát gal orru leamen hui buorre ; muhto Stockfleth dahje sii geat dorjo su eai 	adden 	maid dakkár lahkonanvuohki mielddisbuvttášii , man guhká ádjánivččii olles álbmoga kultiveret dán láhkái . ¶
Sii eai 	adden 	eai maidege , muhto áhčči lei duhtavaš mo ledje dadjan ! ¶
Álggus go mun álgen skuvlii , de in 	adden 	nu olu dárogiela . ¶
Muittán ain ahte mii čaimmaimet bures nieiddaža gii vástidii sámegillii oahpaheaddjái guhte ii 	adden 	giela . ¶
Muhto eai sii 	adden 	sámegiela , ja danin maid eai adden maid son belkkii . ¶
Muhto eai sii adden sámegiela , ja danin maid eai 	adden 	maid son belkkii . ¶
Muđui golahedje áiggi digaštallat aiddo man garra sániid galge geavahit guovddášeiseválddiid birra « geat eai 	adden 	sámi diliid . ¶
Muhto go mun jurddašan ahte dát 700 oahpaheaddji livčče sáhttán min beali váldit dán áiggis goas mii livččiimet sakka sin dárbbašan bajásgeassit ođđa buolvvaid , ja ahte sii nággáris vuoiŋŋain baicca válljejedje albmosit vuostáičuožžut min , dalle dat čájeha ahte sii leat boastut 	adden 	sin oahpaheaddjidoaimma ođđa Norggas , nu ahte velá Girkonjárggas ge orrun lea menddo buorrin sidjiide . ¶
Goaskinvákki skuvlastivra celkkii jagis 1947 ahte sii eai 	adden 	departemeantta oainnu , go dát oahpaheaddji « lei čájehan dakkár eahpegudnálaš miellaguottu ahte su lei veadjemeahttun doallat oahpaheaddjin dáppe . ¶
Dasa lassin ledje vaikko man olu sánit maid in 	adden 	. ¶
Nu go mun lean 	adden 	, de gehččojuvvui dalá Billávuotna viđa- ja guđalotloguin « dáža » guovlun . ¶
Vástádusain oaidnit ahte nu ledje ge skuvlastivrrat 	adden 	gažaldaga . ¶
Gažaldat 3 – dárbu eambbo « sámi oahpaheddjiide » Skuvlastivrrat leat dán gažaldaga 	adden 	iešguđetládje . ¶
Dán maŋit gažaldagas orui čoahkkimis šaddamin buori muddui ovttamielalašvuohta , muhto maŋit čoahkkimis leai Departemeanta guođđán daid jurdagiid maid mii leimmet 	adden 	soahpamuššan . ¶
Maŋŋil lean 	adden 	ahte ollugat departemeantta iežas ámmátolbmuin atne unohassan go fuomášedje mii leai dáhpáhuvvan . ¶
Eat mii dalle gal 	adden 	ahte eai gávdnon nu olu girjjit sámegillii . ¶
Mun goittot in 	adden 	dan go vázzen joatkkaskuvllas , vaikko mu vátnemat ja fuolkkit , ja eará olbmot ge muitaledje munnje dan . ¶
Framtid i Nord-áviisas čálii Eilif Johansen lohkkireivves ahte ii 	adden 	mo olmmoš sáhtii jáhkkit ahte beasašii suohkanstivrii go lei sámegávtti coggan miessemánu 17. beaivve . ¶
Oassečilgehus dáidda erohusaide lea ahte Gáivuonas leat 	adden 	ahte giella lea rašši dego glássa . ¶
In 	adden 	in maidege ¶
Vaikko namma han lea dego váldon Bjørnstjerne Bjørnsona boandamuitalusain , de unna Synnøveš ii báljo 	adden 	sáni ge dárogielas go álggii skuvlii jagis 1965. – Mun ledjen márkančivga . ¶
Gal mun dihten ahte oahpaheapmi lei dárogillii , muhto jurddašin ahte dan gal mun 	adden 	go boađán skuvlii . ¶
Mun in 	adden 	in maidege . ¶
Jus eat 	adden 	maid dajai dárogillii , de čilgii sámegillii . ¶
Vaikko in 	adden 	visot diimmuin , lei ollu álkit go lei oahpaheaddji gii áddii min . ¶
Lean maŋŋá 	adden 	ahte 1980-logus eai lean buot sámi birrasat diehtomielalaččat joatkit sámegielain , muhto dán áiggi gal lea dát fas buoret . ¶
Mun 	adden 	mealgat sámegiela , mun in leat dadjat hállan sámegiela eará go skuvlaoktavuođain . ¶
Dalle gal nu vuolláneimmet go ii lean 	adden 	maid mii leimmet viggan muitalit sutnje . ¶
Sáhtta leat sihke uhcan beroštupmi skuvlaeiseváldiin dahje eai leat min lávdegotti evttohusaid riekta 	adden 	. ¶
Skuvladiimmuin mii Sirpmá mánát eat 	adden 	nu ollu álggos . ¶
Oahpaimet bajiloaivvi , vaikko eat álo 	adden 	nu ollu dás maid oahpaimet . ¶
Eaba soai 	adden 	goassige maid soai čáliiga ja oahpaheaddji maid ii lohkan jitnosit dan mii doppe čuoččui . ¶
Ruovttus gos sudno eadni máhtii vehá dárostit ja livččii 	adden 	dárogiela , ii son astan veahkehit bihtáiguin go dan áiggi ledje nu ollu eará barggut maid fertii dahkat vai birgejit beaivválaččat , ja ieža maid fertiiga veahkehit váhnemiid bargguiguin . ¶
Beaivvášgiettis lei maiddái sotnabeaiveskuvla gos báhpa eamit Margarethe Wiig oahpahii sin , doppe sii galge diehtit maid sii leat lohkan ja gullan , muhto eai diehtán go eai 	adden 	maid sii lohke . ¶
Dát oahpahus manai maid dárogillii ja lei hui váivi go ii máhttán giela iige 	adden 	maid lei lohkan ja oahppan . ¶
Doppe ledje olbmot geat hálle sámegiela , nu ahte doppe lei álkit oahppat dárogiela go doppe sáhtte dulkostit go eaba 	adden 	maid lohkaba . ¶
Giela eaba 	adden 	ja eabage oahppan maidige skuvlaáigodagas . ¶
Dalle fertet leat kritihkalaš ja geahččat dárkilit 	adden 	dihtii ahte dát lea máinnus . ¶
Ja mun 	adden 	dutno vaikko hállaba iežade sámegielaid ¶
Mun 	adden 	manin dát eará mánát leat dáppe . ¶
Dan gal dieđusge 	adden 	, muhto makkár doibmii . ¶
	Adden 	maid ahte don it sáhte leat guhká dáppe dán háve . ¶
Son ii 	adden 	, manin reive lei sutnje sáddejuvvon . ¶
Son lei viimmatge 	adden 	ahte eallin álggii leat su buohta meattá . ¶
- Jearaldat lea árbečilgemis nugo várra lehpet 	adden 	, dárkileappot dadj at testamenttas . ¶
Árbeáššit ledje máŋgii nu mohkkái čilget , olbmot eai 	adden 	ahte son dagai dan dušše virggi beales . ¶
- Áibbas riekta leat 	adden 	, don leat á rbbolaš buot vuoigatvuođaiguin . ¶
- Oainnat go in riekta 	adden 	, danin jerren , moddjestii Heaika ja vázzilii olggos . ¶
Son ii 	adden 	manin oppalohkái bođii deike , maid gáttii dáppe gávdnat , ii dát báiki lean iđidisge olus geasuhan , dál vel uhcit . ¶
Son ii 	adden 	manin Heaika ii vel dihtton , dábálaččat dat lávii boahtit iđidis ja dál lei juo beaivi guhkkin . ¶
Ádjá oktageardán áddejupmi geahččalii gávdnat vástádusaid váttis gažaldagaide , son eahpidii dávjá , buot orui nu eahpečielggas , son ii 	adden 	manin givssidii iežas diekkár áššiiguin . ¶
Hemmo smiehtai maid nubbi dainna oaivvildii , muhto go ii 	adden 	, de ii dadjan maidige . ¶
Nuorra heasta ii 	adden 	ahte isit lei duođas . ¶
Son čuožžilii ja guvrruhii eaddemielas lássagurrii , guovllai olggos ja imaštalai , go Heaika ii 	adden 	. ¶
- Jos hálat dan sámesearvvis , de áibbas riekta leat 	adden 	. ¶
Gámis muođuide lei ihtán dearvvas lasseivdni , oppa almmái orui sakka nuorasman , go lei 	adden 	muhtun áigái guođđit dan gáržžes eallinbirrasa , masa lei vehážiid gártan . ¶
Lean ollu jurddašan dan girjji birra ja 	adden 	dál ahte máŋga ášši livčče sáhttán dadjat vuohkkaseappotge . ¶
Son ii 	adden 	, manin Viljo ii šat beroštan dálubargguin . ¶
Dát lei munnje áibbas ođđa diehtu ja dál 	adden 	, manin Káhtarin diehtá n iege ollu Heargenjár-Lásses . ¶
Risten lei dávjá nu skurvvas , go jurddašii oappás iluhis eallima ja eatn is , Jyrki ii 	adden 	. ¶
Kauko lei ortnetolmmoš , sus lei fásta bargu , ii juhkan iige garrudan , sis lei čáppa viessu rádjegozáhusas , Risten ii 	adden 	. ¶
- 	Adden 	gal ahte dat lea lossat jos dat nie oppa áigge fákte . ¶
Son váccašii ovddos maŋás stobus iige riekta 	adden 	maid galggai dahka t ja vázzilii gullat vielja oaivila áššis . ¶
Leango riekta 	adden 	ahte Lauri ii leat šat barggus ? ¶
- 	Adden 	gal . ¶
Son ii 	adden 	mii sutnje lei šaddan . ¶
Son ii 	adden 	mi i lei dáhpáhuvvan . ¶
Sire ii báljo 	adden 	dálá Heandaraga . ¶
Munge lean juo ollesolmmoš ja 	adden 	eallimis o llu eanet go don oppa gáttátge . ¶
- Jáá , láhttestii Kristiina iige 	adden 	mo Hemmo gulai dán áššái . ¶
Son lei goittot dološ olmmoš , gii lea hárjánan čuovvut mearkkaid ja nieguid ja čilget daiguin eallima čiegusvuođaid , áinnas dalle go ii riekta 	adden 	juoga ášši . ¶
Váldokoahkka geahčastii Heikii iige 	adden 	mas lei jearaldat . ¶
Gieldda s ledje 	adden 	, man sakka bargguid gaskkalduhttin čuozášii guovllu ovdáneapmái . ¶
Son doaladii gieđas rukses plakáhta , man ala ledje čállojuvvon moadde sáni , maid sisdoalu son ii ollásit 	adden 	. ¶
Viljo geahččalii guldalit , muhto ii 	adden 	olusge . ¶
Son lei dalán 	adden 	, makkár liiba Issáha evttohus lei eadnái finadit viimmat vehá dobbelis earálágan eallima oaidnimin . ¶
Ja go Heaika lei vel ieš evttohan ahte son sáhtii leat muhtumin Biret-Kárii háleštanskihpárin , de Birgget lei 	adden 	ahte Turku-mátki áiggui liikkáge ollašuvvat . ¶
Son lei fáhtehallan dán váivves dovdui , sus lei nu váttis orrut , son ii riekta 	adden 	mii sutnje lei šaddan . ¶
Buot dáhpáhuvai guhkkin Máhtebáikkis ja ollu ledje dakkárge áššit , maid son ii ollásit 	adden 	. ¶
Heaika ii 	adden 	. ¶
Son ii 	adden 	mii su lei boktán . ¶
Birgget ii 	adden 	, mii Heandaragas lei áhčis vuostá . ¶
- Na 	adden 	, adden . ¶
- Na adden , 	adden 	. ¶
Bahámus heahpat lei vássán , go lei 	adden 	ahte ii veadján dasa maidige . ¶
Son ii 	adden 	ahte ii lean juo ovdal váldán eret . ¶
Leigo Ivvár nu oktageardán ahte ii 	adden 	? ¶
Dađistaga čoggojedje ođđa golut , maid son ii lean 	adden 	váldit vuhtii . ¶
- 	Adden 	gal . ¶
Son ii 	adden 	maid Issát lei ávvudeamen , eaihan dás liikká nu bures lean áššit . ¶
Ii lean ovdamearkka dihte gárron álgit searvvi stivrii várrelahttun , ii mahká 	adden 	diekkár áššiid . ¶
Moattis leat barggildišgoahtán diktačoakkáldagain , ja jos in áibbas boastut leačča 	adden 	, de okta lea čálligoahtán románaráiddu Eanuleagi eallimis . ¶
Birgget ja Ánde leigga máŋgii lohkan reivve ja jáhkiiga iežaska sullii 	adden 	dan sisdoalu . ¶
Muhto go Máhte-Máhttege lei muhtun beaivve cavgilan bártnis gámmárii ja rehálaččat muitalan mo ášši lei , de Beahkká lei 	adden 	mas lei jearaldat ja miehtan joatkit dainna bargguin , mii bázášii áhčis gaskan . ¶
Buotlágan joavdelasaid birra gal máhtte šurrat , muhto eai 	adden 	dan mii dán máilmmis duođaid mearkkašii . ¶
Dál 	adden 	man ávkkálaš dat lea . ¶
Ándde-guovttos eaba riekta 	adden 	ja geahčasteigga goabbat guoibmáseaskka . ¶
Barggai eanet go livččii lean dárbu iige 	adden 	seastit iežas . ¶
Pente dušše vilppastii eamida guvlui dego ii livčče 	adden 	maid dát dainna oaivvildii . ¶
Son ii 	adden 	manin vilbealle lei liikká vuolgán máttás , vaikko ii lean dán háve ii bovdejuvvonge . ¶
Muitalii rehálaččat nugo ieš lei 	adden 	. ¶
Beahkká gal geahččalii , muhto lei vel nuorra iige riekta 	adden 	mas lei jearaldat . ¶
Son ii 	adden 	manin nie lei geavvan . ¶
- 	Adden 	bures maid oaivvildat . ¶
- 	Adden 	, adden ! ¶
- Adden , 	adden 	! ¶
- 	Adden 	, adden . ¶
- Adden , 	adden 	. ¶
- 	Adden 	, adden . ¶
- Adden , 	adden 	. ¶
Olbmot eai 	adden 	. ¶
Ii oktage dis leat goassige 	adden 	mu . ¶
Son lei 	adden 	ahte dákkár mátki galggai dahkkojuvvot . ¶
- Leango riekta 	adden 	ahte dii giehtadallabehtet dan čoahkkimis daid eanaoamastanrivttiid ? ¶
- Riekta leat 	adden 	. ¶
	Adden 	Issáha . ¶
- 	Adden 	gal . ¶
Son ii 	adden 	mo galggai láhttet . ¶
Dušše suomastii , ja jos háliidii ahte earát eai 	adden 	, de dadjalii ain soames sáni ruoŧagillii etniinis . ¶
Son ii 	adden 	mii su doalahii . ¶
	Adden 	ollásit du . ¶
- 	Adden 	ahte dat ii leat sihkkarit dutnje suohtas gullat muhto ná geavai . ¶
Máhte-Máhtte ii 	adden 	mo ášši guoskkai sutnje , Antero lei álo leamaš hui dolbmi luossabivdui ja Ánde njulgestaga eattui , go sus bohte diekkáriid jearahit . ¶
Jyrki geahčastii eamidii iige 	adden 	. ¶
- Leango riekta 	adden 	ahte don leat doppe máddin eret ? ¶
Ii oktage 	adden 	su . ¶
Dien moai Puttiin ean riekta 	adden 	. ¶
De boaguste , eai 	adden 	. ¶
dárus vai mon 	adden 	 ¶
Munnje duot dáhpáhus daninassii ii šat olus guoskka : das leat juo guoktelogiokta jagi ja ledjen dalle vel nu mánná ahte in 	adden 	mii dáhpáhuvai aiddo dan čalbmeravkalanbottas , go jápmin bođii ja gesii rájiidis . ¶
In oaivvil dál eretbeassama dakko bokte go das hállet dalle go eai oaivvil maidige erenoamážiid , inge dan láhkai ahte livččen juo dalle 	adden 	ieš . ¶
Muhto leigo Alttige 	adden 	váldit vuhtii dan ahte ii lean šat Jussá ? ¶
Muhto uhcimus mánát biehttaledje borramis njárbes lastarievdnesuohkada , maid guokte alitgávttat nuorra nissona goaivvuiga sidjiide , eaige 	adden 	suohkadii čihkkojuvvon árkkálmastinvuođa . ¶
Son vulggii offiseara ságaide , muhto ii máhttánge šat muitalit maid lei jurddašan ja jierásmuvai oalát ja dušše čuoččui jienajávohaga doaimmahagas , man seinniin ledje buotlágan kárttat ja tabeallat , main son ii 	adden 	maidige . ¶
Son lei hui leabuheapme iige 	adden 	mo livččii galgan dás ovddosguvlui . ¶
Gal mun dan 	adden 	, dajai suvddár ja reškkii njálgát . ¶
jearai Mäkiniska iige 	adden 	šat iešge mas lei sáhka . ¶
« Dáros , vai mon 	adden 	, » oaččui gullat vástádussan . ¶
Ii máššan veaháš sniehppulit – « go dan han áinnašat obmon duolljebihtáid – lean nuvt 	adden 	. ¶
Daid mon ieš 	adden 	. ¶
Son oahpai bustávaid ja muddui lohkat , muhto ii 	adden 	maid máksá . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	adden 	dan dahje - jus álgoáigemearri lea oanehat - seamma guhkes áigái go dát áigemearri . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	adden 	dan dahje – jus álgoáigemearri lea oanehat – seamma guhkes áigái go dát áigemearri . ¶
Dán oktavuođas 	adden 	rievtti nu , ahte dasa gullet riektenorpmat - nugo dat leat čállon ovdamearkka dihtii láhkamearrádusain - dasa gullet maiddái riekteásahusat ovdamearkka dihtii duopmostuolut , ja mielde leat maiddái riekteproseassat dahje rituálat . ¶
Riekteproseassaiguin mun 	adden 	formaliserejuvvon áššemeannudeami nugo dat leat meairiduvvon ovdamearkka dihtii proseassalágain , ja rievttálaš resonnerenproseassaiguin fas nugo dat leat čilgejuvvon davviriikkaid juridihkalaš metodaoahpa váldogirjjiin . ¶
« Identitehta » 	adden 	nu ahte dat čilge čearddalašvuođa doahpaga , mii lea viidát ja gokčá eanet beliid álbmotjoavkku iešvuođain go « identitehta » doaba , vaikko vel ii dárbbašge dahkat makkárge duohta erohusaid dán oktavuođas . ¶
ï ¾ § 110 a ja álbmotrievttálaš gálduid geavahus , 	adden 	ja deattuheapmi 3.1.1 . ¶
Dás riektejoavku lea nugo mun 	adden 	čielgasit hilgon njuolggadusa ja oainnu , mii das lea vuođđun . ¶
Diakrona riektegeavahussan mun 	adden 	dálá riektedilálašvuođa konklušuvnnaid , mat leat dahkkojuvvon ovddeš jurddašanvuogi mielde , mii lea šaddan áibbas eará dilálašvuođain go dálá , iige dađi mielde nákce doarvái bures fáhtet servodat- ja riekteovdáneami . ¶
Dearvvašvuođabargit fertejit diehtit sihkkarit ahte divššohas nugo namahuvvon vuosttas ja nuppi teakstaoasis lea válddálaš , ja ahte son lea ožžon dohkálaš diehtojuohkima ja lea 	adden 	iežas dearvvašvuođa váikkuhusaid dikšobiehttaleami oktavuođas . ¶
eanetlohku lea 	adden 	nu ahte erohus lea biddjon iešdáhtolaččat . ¶
unnitloguin 	adden 	čielgasit ahte dál ii sáhte roggat ásaiduvvon vuoigatvuođa diliid dan vuođul ahte dát badjel 100 jagi boares áddejupmi lea boastut . ¶
Meinich-Olsen lea nugo riekti lea 	adden 	oaivvildan ahte doarvái guhkes áigi lei gollan juo 1928:s go čálii girjjis , ja rievtti ovdaolmmoš ii eahpit ahte dál - 30 jagi maŋŋil - lea gollan nu guhkes áigi ahte čuoččuhuvvon boasttoáddejupmi lea šaddan cieggan vuoigatvuođadilálašvuohta ¶
Dás sáhttá Finnmárkku dilálašvuohta leat ahte stáhta áddejupmi lea leamaš báhkkoduvvon almmolaš báhpáriin , maid ii sáhte vuordit ahte sámit leat lohkan dahje 	adden 	, erenoamážit giela geažil . ¶
Nugo leat dás 	adden 	, dálá áiggis dát árbevirolaš ealáhusat dahket ávnnaslaš sámi kultuvrra , ja nu gullet 27. art. suodjaleapmái . ¶
Nu leat guoskevaš stáhta ásahusat maid 	adden 	válddahallama , buo. ee. Od.prp. nr. 33 ( 1986-87 ) s.17,22,25-34 ja 37 , mas Justisdepartemeantta ee. áddejupmi oidno dán oktavuođas . ¶
Dáloniin ii leat vejolaš hálddašit mearrideaddji válddi , muhto dušše vuoigatvuohta gáibidit boaldámuša ja eará ávdnasiid maid soahkevuovdi duhtada , maid vuovdehálddahus fuolaha - dan vuoigatvuođa ii sáhte stáhta váldit eret dáloniin , ja nu ii leatge nugo 	adden 	, stáhta eiseválddit dás vikkahan . ¶
Nie lean munge dássážii 	adden 	lága . ¶
Riektejoavku mihtte bealestis ahte ii leat vissis gielddarievtti leat 	adden 	ovdabargguid boastut , nugo Falch navdá . ¶
Gjelsvik lea fas cealkán ahte mearrideaddjin ferte leat ahte giliin leat 	adden 	buot meahci ¶
Sihke boazodoalliid iežaset gaskkas ja stáhta orgánain mat hálddašit ealáhusa , Eanadoallodepartemeantage , lea guhká čielgasit 	adden 	ahte guohtunvuoigatvuohta boazodoallolága mielde gusto olles orohagas , daid ráddjehusaiguin mat bajábealde leat guoskkahuvvon . ¶
Nugo 	adden 	lágamánnerievtti , leat báhčinguovlluid geavaheapmi seaguhan iežas ja ráddjenge orohaga dábálaš ealáhatvejolašvuođaid ja nu bilidan orohagas boazodoalu ealáhussan . ¶
Ii leat makkárge árta eahpidit sin leat 	adden 	dán anu lobálažžan . ¶
Dán livčče sii geaidda guoská lunddolaččat 	adden 	ahte gonagas lei eaiggát ii dušše Finnmárkku vuvddiide , muhto eatnamiiddage , go son sáhtii čujuhit ( sirdit ) eanabihtáid priváhta opmodahkan . ¶
Dakkár jurddašanvuogi mielde mii orru leamen ráđđen lágain ja hálddašeamis , lea árta jáhkkit eiseválddiid ovdalge 	adden 	dán eaiggátháldun . ¶
Dán gažaldaga orru datte Riektejoavkku eanetlohku boasttut 	adden 	, go vihkkedallama loahpageahčen 4.1.9.3. oasis dadjá : ¶
Vearroduottarduopmu mielde lea dása boahtán dihto bealit mat mu mielas rievdadit dili sakka - vaikko in dieđe ležžetgo stáhtaválddit dahje duopmostuolutge dan 	adden 	. ¶
Almennehin 	adden 	gaskka gos ovtta dahje moatti gilis lága fámus lea geavahanvuoigatvuohta . ¶
Maŋitáiggis lea datte 	adden 	mearrádusa nu ahte dat nannii Gonagassii olles eaiggáduššanvuoigatvuođa goahccevuovdái . ¶
c ) Ruoŧŧa láve nu , Riikkas doallat Riika-Mihtideddjiid ( 1630-40jagiid rájes , Norgga ektui ] , man bokte ožžot háhkat dárkilis Dieđuid eai dušše iežaset Eatnamiin ja daid Lágážemiin , muhto go dás Davvin rasttildit Rájáid vieris Eatnamiidda ; Go Ii oktage Dáža leat diehtán , man guhkás Dáža Finmárku máddin Giellasii [ namalassii másealgi ) ollá ; sii eai leat Váriide boahtán ( go Mearas geahččalit biepmu háhkat ) eaige Boazosápmelaččaid lusa ; Mii sidjiide lei váttis , ja sin Giela eai 	adden 	. ¶
II.3 Anus vuoigatvuhtii Sihke sámiin ja dážain Finnmárkkus ferte navdit ahte boarrasamos áiggi ássit leat 	adden 	anuset lobálažžan . ¶
Árta lea navdit ahte dán áiggis eai leat Københámmanis 	adden 	( dahje beroštan ) makkár riidu lei riddosápmelaččaid ja badjesápmelaččaid gaskkas . ¶
Badjesápmelaččaid geasseorohat bohccuiguin guovlluin maid riddosámit ovddeš áiggis ledje 	adden 	leat , ii caggan ahte riddosámit dárbbašedje ain doaimmahit boares anuseaset seamma guovlluin iežaset eallima vuođđun . ¶
Ášši gustui beahceávdnasiid murremii áitái , ja áššálaš lei Alimusriekteduomu referáhta mielde ee. čilgen ahte son ii 	adden 	dagus leat lobiheapmin . ¶
Olusat leat 	adden 	stáhtaeatnamiid luđolažžan , mii lei ássiid olles ja luđolaš geavahusas ¶
Nu guhká go dát ii leat dahkkon , orru álgovuorus unnán govttolaš vuordit ahte sápmelaččat galget leat 	adden 	ja dohkkehan stáhta áddejumi oppalaččat dahje daid dehálaš čuoggáid . ¶
Vaikko ii daddjo čielgasit , 	adden 	direktoráhta nu ahte dás galggašii čuovvut ahte lága njuolggadusat eaŋkalmearrádusaid ¶
Dearvvašvuođabargit galget nu guhkás go vejolaš sihkarastit ahte divššohas lea 	adden 	sisdoalu ja dieđuid mearkkašumi . ¶
Dearvvašvuođabargit fertejit diehtit sihkkarit ahte divššohas nugo namahuvvon vuosttas ja nuppi teakstaoasis lea válddálaš , ja ahte son lea ožžon dohkálaš diehtojuohkima ja lea 	adden 	iežas dearvvašvuođa váikkuhusaid dikšobiehttaleami oktavuođas . ¶
	Min Aigi – ¶
– Lean 	adden 	, ahte seamma vuogádat lea Sámedikkis , diehtá Wilson . ¶
Mun 	adden 	mearrádusa ealáhusaid bealis , muhte go Norgga eiseválddit leat gárrasit gáhttemin luondduluosa ja ráhkadan johkanjálmmiide ja vuonaide suodjalusbiiriid , de mearrádus orru mu mielas hui ártet . ¶
Bivden dalle ráhkkanahttit dán , muhto eai beroštan ja 	adden 	dan dalle . ¶
Vai leago baicce nu , ahte luonddugáhttenberoštumit dás lea 	adden 	áibbas boastut ja vikkahit gávpotmáilmme árvvuid bahkkehit uhca álbmogačča ala ? ¶
Sus lea dan muttos unnán áddejupmi sámi kultuvrii , ahte ii dange leat 	adden 	ahte guovtte jahkásaš mánná ii máhte lohkat , danne ii ábut tekstet filmmaid mat leat jurddašuvvon smávvamánáide . ¶
Máŋgii lea geavvan boastut , sámegielat olbmot leat heađis riŋgen , ja telefonvástideaddji ii leat sánige 	adden 	dahje lea boastut adden . ¶
Máŋgii lea geavvan boastut , sámegielat olbmot leat heađis riŋgen , ja telefonvástideaddji ii leat sánige adden dahje lea boastut 	adden 	. ¶
Dat geat dáid čiekčamiid vuosttaš 45 minuhta leat 	adden 	videofilbmet , sii eai dárbbaš gal šat ballat , ahte eai fidne nahkáriid : Jus mihkkege eará ii ábut , dalle sáhttá geahččat dán videobátti . ¶
– Bataljona mii lea leamaš guovllus ii leat 	adden 	min sárgon kártta . ¶
