Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Son cealká váimmustis : « Dás 	čohkkán 	truvnnus dego dronnet , leaska in leat , morraša in goassege dovdda .
Njealljegoalmmátlot vuorrasa ja njeallje sivdnádusa luoitádedje eatnamii ja rohkadalle Ipmilii gii 	čohkká 	truvnnus , ja sii celke : « Amen .
» Son guhte 	čohkká 	truvnnus , celkkii munnje : « Geahča , mun dagan buot ođasin .
Ja Hira jearahii báikki olbmáin : “ Gos lea dat tempelfuorrá guhte 	čohkkái 	Enajima luoddaguoras ?
Ja Hira jearahii báikki olbmáin : “ Gos lea dat tempelfuorrá guhte 	čohkkái 	Enajima luoddaguoras ?
Vieljat biddjojuvvojedje 	čohkkát 	Jovssehiin buohtalagaid agi mielde , vuosttašriegádeaddji vuosttamužžan ja nuoramus maŋimužžan .
Ávdugas son guhte ii vádjol ipmilmeahttumiid ráđi mielde , guhte ii čuovvul suttolaččaid geainnu iige 	čohkká 	bilkideddjiid searvvis ,
Mun in 	čohkká 	behtolaččaiguin inge searvva guoktilaččaiguin .
Mun in hálit searvvástallat bahádahkkiiguin , ipmilmeahttumiid luhtte mun in 	čohkká 	.
Ipmil lea álbmogiid gonagas , son 	čohkká 	bassi truvnnustis .
Don 	čohkkát 	ja sártnut vieljat vuostái , don bilkidat eatnát bártni .
Ipmil gullá mu , muhto sin son vuolida , son guhte 	čohkká 	truvnnustis dološ áiggi rájes .
Áigubehtet go dii 	čohkkát 	oapmegárddiid gaskkas ?
Ipmilvárri lea Bášanvárri , Bášanvárri lea 	čohkkái 	.
Don guhte 	čohkkát 	kerubaid alde , almmustahte iežat suonjarbáitagis
Dat guhte 	čohkká 	Alimusa suojis ja ássá Buotveagalačča suoivanis , dadjá ná :
Álbmogat doarggistit , son 	čohkká 	kerubaid alde , eanan doarggista .
Muhto don , Hearrá , 	čohkkát 	truvnnustat agálaš áigái , du namma bissu sogas sohkii .
Gii lea nugo Hearrá , Ipmileamet , guhte 	čohkká 	truvnnustis allagasas ,
Son diktá sin 	čohkkát 	oaivámuččaiguin , iežas álbmoga oaivámuččaiguin .
Jos du bártnit dollet mu lihtu ja dan lága man mun oahpahan sidjiide , de sin bártnitge ožžot álo 	čohkkát 	du truvnnus .
Babylona eanuid gáttiin mii 	čohkkáimet 	ja čieruimet go muittašeimmet Siona .
Ii oktage , go Kristus Jesus lea dat guhte jámii ja velá bajásčuoččáldahttojuvvui ja 	čohkká 	Ipmila olgeš gieđa bealde ja rohkadallá min ovddas .
gii 	čohkká 	truvnnus , ja
ja son guhte 	čohkká 	truvnnus ,
gillái Pontius Pilatusa áigge , russiinávlejuvvui , jámii ja hávdáduvvui , manai vuolás jábmiid riikii , bajásčuožžilii jábmiid luhtte goalmmát beaivve , manai bajás albmái , 	čohkká 	Ipmila , buotveagalaš Áhči , olgeš gieđa bealde , ja boahtá fas doppe dubmet ealliid ja jábmiid , ja Bassi Vuigŋii , bassi oktasaš girku , bassi olbmuid searvivuođa , suttuid ándagassii addojumi , oačči bajásčuožžileami ja agálaš eallima .
Viesu isit 	čohkkái 	beavdegeažis .
Jus galgá Ipmilbálvalusa ávvudit lávus , de livččii lunddolaš ahte báhppa 	čohkká 	boaššu lahka .
Siidaisit 	čohkkái 	bajimusas .
albmái , 	čohkká 	Ipmila , buotveagalaš
	čohkkát 	Áhči olgeš gieđa bealde .
riegádii nieida Marias , givssiduvvui Pontius Pilatusa áiggi , russiinávlejuvvui , jámii ja hávdáduvvui , njiejai jábmiid riikii , bajásčuožžilii jábmiid luhtte goalmmát beaivvi , manai bajás albmái , 	čohkká 	Ipmila , buotveagalaš Áhči , olgeš gieđa bealde , boahtá fas doppe dubmet elliid ja jábmiid .
riegádii nieida Marias , givssiduvvui Pontius Pilatusa áiggi , russiinávlejuvvui , jámii ja hávdáduvvui , njiejai jábmiid riikii , bajásčuožžilii jábmiid luhtte goalmmát beaivvi , manai bajás albmái , 	čohkká 	Ipmila , buotveagalaš Áhči , olgeš gieđa bealde , boahtá fas doppe dubmet elliid ja jábmiid .
riegádii nieida Marias , givssiduvvui Pontius Pilatusa áiggi , russiinávlejuvvui , jámii ja hávdáduvvui , njiejai jábmiid riikii , bajásčuožžilii jábmiid luhtte goalmmát beaivvi , manai bajás albmái , 	čohkká 	Ipmila , buotveagalaš Áhči , olgeš gieđa bealde , boahtá fas doppe dubmet elliid ja jábmiid .
	Non-fiction texts –
Dát namahis sápmelaš lei Lars Jakobsen Hætta , gii dalle 	čohkkái 	giddagasas Akershusa ladnis , Guovdageainstuimmiid geažil .
“ Sihkkareamos dáidá leat 	čohkkát 	gáimmi beavddis , geas lea ruhta ja
Sii eai leat čalmmeheamit , eaige bealljeheamit , ii ovttasge leat hállanváddu , ii oktage 	čohkká 	juvlastuolus .
Čujuhit erenoamažit Leage Várrogas-plakáhta 4.5 čuoggái mas geassá 	čohkkái 	makkár áššiid galgá deattuhit .
Lagabui 20 olbmo ledje 	čohkkánan 	digaštallat boahtte áiggi sámediggepolitihka .
Ii go oktage sáhte dahkat álgaga ja dahkat dili nu ahte mii sáhttit boahtte háve 	čohkkát 	ja gullat sámegiela ráppa , sámegiela kareoke , sámegiela limrihkagilvu .
Čujuhit erenoamažit Leage Várrogas-plakáhta 4.5 čuoggái mas geassá 	čohkkái 	makkár áššiid galgá deattuhit .
Juolludanstivrras han eai 	čohkká 	iešguđetge dáiddasurggiid ovddasteaddjit eaige das leat fágaolbmot ge mielde .
Mánuš , mánuš , lá lá 	čohkká 	dego jalla Sevdnjes ija šealgá buollaš olggos bohčá beaivváš dujiid láhčá
Ja de fuobmá oarjelsápmi maid , gii lea das 	čohkkáme 	, ahte go juo gearddi dulkomis lea sáhka , de son maid gáibida čoahkkima dulkojuvvot oarjelsámegillii .
Soahkeduorggaiguin leat durgen goađi nu ahte lea buhtis ja linis 	čohkkát 	árrangáttis .
Vári badjel Suohpanjárgii ofelasttii leansman Opdahl , gii dá 	čohkká 	heastajorriin .
Dálvviáigge su bargun lei ligget čoahkkinlanja , ja danne son čoahkkináigge lávii 	čohkkát 	oapman guoras dola biddjin .
Su lahka beavdeguoras 	čohkkái 	Hánssa-Ivvár , gii lávii biippostallat garra duhpátrullain .
Muhto jus fal ruđaid suoládat - vuoi árbmugas áhčči - dalle gal dubmejuvvot máŋggaid jus it nuppeloht jagi 	čohkkát 	buŧkkis .
Lean eahpesihkkar gii Haldis bálddas 	čohkká 	.
Illá mášai siivvus 	čohkkát 	go learár namatišgođii su : ja jearrá vel ahte dikten go la vai dáhpátuvai go nie ?
Muhto das maŋŋá ii lan Lásse gal guhte bázii sisa 	čohkkát 	stiilla čállit go skihpárat háste olggos .
skire lei hui skuvlaláiki , ii son gal gillen skuvllas 	čohkkát 	ja guldalit go oahpahead dji Rásttis sárdnidii beassehuksema ja huksenávdnasiid birra .
lei álggus ja loahpageahčai go almmái 	čohkká 	muohtaskálvvis giddanan scootera bálddas ja dušše geahččá njuolgga ovddos .
váldá , háliida ja 	čohkká 	, lea earenoamáš dan dáfus ahte
návddahit geasset 	čohkkát 	fi ervvás ja
Dat , guđet dás leat mielde , ipmirdit jođánit manin mii návddahit geasset 	čohkkát 	fiervvás ja borrat varas sáidemulju .
Go náittusguoibmi // mielguoibmi lea giddagasas eavttuhis ráŋggáštusain unnimusat guhtta mánu , dahje lea 	čohkkán 	háldogiddagasas unnimusat guhtta mánu
	čohkkáda 	Marita Orlena Snodgras .
Soai 	čohkkába 	gárddis ja humádeaba ovddit áiggiid birra seammás go čalmmit vigget aivve bohccuid guvlui .
– Eat mii ovdal gal leat beassan miessemearkungárddis 	čohkkát 	ja gilgedit .
Ii dáidde boazodoalloláhka ovdal geasiRiis-Johansen dovdá veaháš boazodoalloealáhusa ja sámepolitihka dan áigodaga rájes go 	čohkkái 	Stuoradikki suohkanlávdegottis 1993 rájes 1997 rádjái .
danne go in sáhte 	čohkkát 	logakeahttá .
la š ( eaige dušše 	čohkkát 	passiivvalaččat váhne
Máhtte 	čohkká 	.
Máhtte dolkkai 	čohkkát 	
Máhtte 	čohkká 	ozas gieđaid
Máhtte 	čohkká 	hirrut julggiid
Mággá 	čohkká 	áibmi goarostan láhkai
Máhtte 	čohkká 	hirrut ~ ruossalas julggiid
* Mun lean 	čohkkán 	ja lohkame
Mun lean 	čohkkáme 	ja lohkame
Mun lean 	čohkkáme 	ja lohkame .
* Mun lean 	čohkkán 	ja lohkame
Mun lean 	čohkkáme 	ja lohkame
Mun lean 	čohkkáme 	ja lohkame .
Dii 	čohkkábehtet 	áibbas ráfis .
Máhtte 	čohkká 	murtolaš julggiid
Máhtte 	čohkká 	ja Máret čuožžu .
Boađe , Máret , deike 	čohkkát 	.
0.26 Ja 	čohkkái 	ollu siste .
1.11 	čohkká 	lanjas ja bargá ipmašiid .
De leaš oaidnit mo geavvá go 	čohkká 	ja lohká ja ferte doapmat ja lea hoahppu .
Go 	čohkkát 	, de čuohpaduvvon juolgi galgá leat stuolu alde .
Jus galget mánát dahje mielčuovvut 	čohkkát 	reagas , de sáhttá leat eanet oadjebas ja litnáset čohkkát reagas mas lea goavdi , dakkár reahka go olgešbeale govas oidno .
Jus galget mánát dahje mielčuovvut čohkkát reagas , de sáhttá leat eanet oadjebas ja litnáset 	čohkkát 	reagas mas lea goavdi , dakkár reahka go olgešbeale govas oidno .
Olmmoš berre sáhtit 	čohkkát 	goavddi siste buolaš beivviid .
Muhtin reagaide sáhtát maid mánástuolu bidjat nu ahte mánná 	čohkká 	gitta .
Mii ávžžuhit ahte soames 	čohkká 	muohtaskuhtera
Vuojidettiin lea hui dehálaš dássedit 	čohkkát 	dahje čuoččut .
“ Touring ” skuhterin lea dábálaččat buoret 	čohkkát 	.
Sidjiide sáhttá leat unohas 	čohkkát 	jus it leat deasttalaš go vuoját častasiid ja rámšo eatnamin .
Neavva : Vuoddji ja mielčuovvu ferteba hui lahkalaga 	čohkkát 	– de lea álkit čuovvut vuoddji lihkastagaid .
Leahan gal máŋgii geavvan nuge , ahte in leat muitánge ahte mun dal lean gorron inge dieđe dieđusge dan gal … Muhto gal lean fuomášan go girkus lean 	čohkkán 	, de lea hui váttis čohkkát ja guldalit báhpa , ferte čalmmiid čárvet , jus ovddabeallai deivet dakkár olbmot geain leat sámebiktasat .
Leahan gal máŋgii geavvan nuge , ahte in leat muitánge ahte mun dal lean gorron inge dieđe dieđusge dan gal … Muhto gal lean fuomášan go girkus lean čohkkán , de lea hui váttis 	čohkkát 	ja guldalit báhpa , ferte čalmmiid čárvet , jus ovddabeallai deivet dakkár olbmot geain leat sámebiktasat .
Lassin láđasbákčasii sáhttet maid láđđasat stirdut earánoamážit iđđedis ja go pasienta 	čohkká 	jaska .
Ja go 	čohkkáimet 	jaskat de son váidalii ahte eat maidege bargan .
Stuora bárdni duogimus reŋkkus orui háliideame dadjat : « Manne mii fertet 	čohkkát 	nu guhká siivvot ?
Skuvla lei 80 jagi dassái dakkár báiki gos mánát šadde 	čohkkát 	jaska ja guldalit mihá eanet go dálá skuvllas .
Ollugat min fylkka skuvlamánáin eai leat goassege 	čohkkán 	albma skuvlalanjas , eai ge beasa dan bargat álbmotskuvlla váccidettiin .
Moai guhká 	čohkkáime 	das , leimme váiban ja nelgon , ja guktot gávnnaheimme buoremussan orrut jienajávohaga .
Go lei buollašeamos áigi , de fertejedje ohppit siste 	čohkkát 	fáhccagieđaid .
Son lei jaskes ja ujus nissonolmmoš , ja 	čohkkái 	muorrakássa alde uvdnagáttis ja guldalii hálešteami gievkkanbeavddi birra .
De besse oahppit - dađistaga go bohte - mannat liegga feaskárii ja 	čohkkát 	vuollegas ja govda glássagárpmaid alde .
Guhkes dálvvis lei buorre 	čohkkát 	ja gaivát ruoná šattuide ja ivdnás guliide .
Vuos 	čohkkát 	čoakkámis olles lávvordaga ja de ii beasa ruoktot .
Mii eat duostan eará go 	čohkkát 	jaska dego buolli gintalat .
Son jearai manne dainna girjjiin 	čohkkán 	.
Mii liikká oaččuimet buori vuođu joatkkaohppui , sihke matematihkas ja sámegielas ja eará fágain , ja dan duođašta dat ahte mii leimmet máŋggas geat vácciimet joatkkaoahpu maŋŋá go leimmet 	čohkkán 	oahpaheaddji Kathrine Johnsena oahpaheaibeavddi guoras .
Mu lanjas lei nu galmmas go bohten skuvllas , ahte mun 	čohkkánin 	uvdnagurrii buot biktasat badjelis ja lohken dan botta go uvdna liegganii .
Ole Magnus , gii 	čohkká 	maŋemus ráiddus lanjas biddjo ovddemuš lohkat .
Šiljus fuomášan ahte skuvlabusse ii leat vel vuoddján , muhto buohkat earát gal leat jo 	čohkkámen 	busses , eatnašat deaddimen busse glásaid vuostá njuniid go gehččet go mun bázán vázzit .
Giđđat go lei čuovgat , sáhtte 	čohkkát 	lásiin ja fiŋgát julggiiguin , juoigat ja borrat goikebierggu dakko gaskaija áigge .
Ieš in lean dieđusge mielde dán čoahkkimis , muhto muittán ahte mánggas mis oahpaheddjiin 	čohkkáimet 	ja vurddiimet hui jierisin gullat ságaid čoahkkimis .
Elmine Valkeapää unna nieiddážin 	čohkkáme 	muhtin fuolkki askkis .
De 	čohkkáimet 	internáhttatráhpás ja čieruimet go dálueamit Ánná bođii ja jearai mii lei nu váivi .
Iežan oarpmeali , gii 	čohkkái 	mu balddas , vehkehin maid geiget gieđa go son máhtii seamma ollu go mun .
Sii guđet álget dán skuvlii , leat juo 	čohkkán 	8 jagi skuvlabeavddi guoras , nu ahte buohkat nagodit bures čuovvut mielde oahpahusas .
Mii 	čohkkádeimmet 	Willy orrunlanjas .
Muhto Paulas lei kántuvra seamma feaskáris go mis ledje lanjat ja son 	čohkkái 	doppe dávjá idjii ja barggai .
Go de dat eará luohkát álge , de sáhtiimet mii 	čohkkát 	siste ja bargat teoriijain .
Go ledjen doppe 	čohkkán 	logi beaivvi guldaleamen sin ságaid , viggamin searvat ságastallamii , cealkagiid hábmen aiddo dalle go earát ledje álgán ođđa fáttá birra háleštit , ja go ledjen bággen iežan hállat boastut , fas boastut ja eanet vel boastut juohke beaivvi , de ledjen rasttildan rája .
Møllergata skuvllas 	čohkkái 	mu rektor , ja muhtumin čohkkiimet buot oahppiid dohko .
Go áigi dievai , lávkejin eksámenlatnjii , ja doppe 	čohkkái 	Niillas .
Lei maid váivi čoahkkimiin 	čohkkát 	, jagis jahkái dulkka haga .
In goassege leat dadjan ahte fertejedje dárustit vai mun šattašin oassálstit , ovdamearkka dihte sáhtten 	čohkkát 	čikŋagoarrundujiin almma áddekeahttá mii daddjui seammá lanjas .
Das mii 	čohkkát 	.
Ja nie manai , moadde vahku dan maŋŋá mii 	čohkkát 	Alfreda guoktá Astrida stobus , ja Alfred muitališgoahtá .
Doppe 	čohkkái 	Baard Tvete ja borgguhii biippu ja logai .
Fertejin bidjat buohkaid juogalágan doibmii , vai ii oktage 	čohkkán 	ja láittastuvvan .
Sámi oahpaheaddjit dovde maiddái guhkes gaskka alddiineaset ja dain earáin go vásihedje ovdal go ožžo iežaset vistti ahte sii šadde 	čohkkát 	sierra sajes « dáččaskuvlla » bargiidlanjas .
Ja dál de fas dás 	čohkkát 	.
Doppe 	čohkkáimet 	ja sárgguimet govaid .
Ii buohkaide lean nu álki daid oahppat , muhto okta bártnáš hutkkai goanstta : son 	čohkkái 	oainnat lagamus katehtara .
Go mánát hilbbohalle dehe ledje jeagoheamit , šadde sii 	čohkkát 	maŋŋel skuvlaáiggi .
Moadde bártnáža ledje šaddan 	čohkkát 	.
Bártnáš dieđusge gávnnahalai ja šattai 	čohkkát 	vel eanet .
Dan latnjii bággejedje min bivttasskábii 	čohkkát 	sevdnjes eahkediid .
Sii leat luondduriikka mánát geat váldojit duoddara friddja eallimis ja biddjojit skuvlabeŋkii 	čohkkát 	.
Eai dat leat hárjánan čuovvut diimmu dehe 	čohkkát 	jaska beavddi guoras golbma kvártta ain hávális .
Ja go 	čohkkáimet 	jaskat , de son váidalii ahte eat maidege bargan .
Jus eat láhtten nu go galggaimet , de fertiimet čuožžut heahpanančiegas njunni seainni vuostá , dahje 	čohkkát 	skuvllas diimmu maŋŋil skuvlaáiggi .
Mis lei omd. guossin Osvald Harjo ( son gii čálii girjji Moskva kjenner ingen tårer ) , ja son muitalii dan áiggi birra go 	čohkkái 	Sovjetlihtu fáŋgan .
Dihtorbargguin ja lohkamiin gal manai bures , muhto mánát leat mánát , ja son fargga fuomášii ahte son ii dárbbašan bargat jos mun in 	čohkká 	čađat su luhtte .
Son heittii 1 ½ jagi maŋŋil , danne go « vahkkoviissaid 	čohkkát 	Muorralis gassa muohttaga siste beivviid lohppii sámi mánáiguin ja hárve beassat siviliserejuvvon olbmuiguin ságastallat , ii leat fávdnát eallin » ( Jensen 1999 s. 28 ) .
Sii sáhkkohalle máksit juohkehaš 50 ruvnno ja vel 5 ruvnno áššegollun – dehe 	čohkkát 	3 jándora .
Dáppe lei dego goalššas , dego garra láhka : buohkat galge 	čohkkát 	sajisteaset , ii lean lohpi viegadit earáid luhtte , nu go ruovttus lei , na ii vel humadit earáiguin ge lean lohpi .
Ii ábut 	čohkkát 	iežas allagasas ja cealkit : boađe deike .
Mii ávkkiid das mánáide , mii ávkkiid álbmogii das go sin stuora olmmái 	čohkká 	doppe okto allagasas vai su birra dadjet maŋŋil : son lei ovdalis su áiggi – go son ii veahket álbmoga ovddasguvlui ?
Mánná ii beasa mielde ovdáneapmái , son dego 	čohkká 	luoddaguoras ja oaidná go sáhttu manná meattá .
Mun háliidin 	čohkkát 	maŋágeahčen daiguin vuovdnás bártniiguin mat huike ja stivreje doppe .
Fasiliteren lea nu álki ahte ii oktage galggaše dárbbašit 	čohkkát 	dan gulahallanvejolašvuođa haga dušše dan dihte go fágaolbmot eai geavat , dovdda dahje dohkket dan .
Mun fas 	čohkkán 	hui duhtavažžan doppe ovddageahčen , ja illudan sakka , muhto dan ii oainne oktage nie ovttatmano .
Lei muhtin Njižževuotnalaš gii biehttalii máksimis , ja de fertii 	čohkkát 	giddagasas Hámmárfeasttas .
Son vulggii fatnasiin Hámmárfestii , manai politistašuvdnii ja logai ahte son galggai 	čohkkát 	giddagasas skuvlastreaikka dihtii .
Muhto gávpogii fárret ja áibbas okto 	čohkkát 	hybelis/hybel/Sub , dat han lei vearrát go internáhtas orrut .
Doppe ii lean nu mo dábálaš skuvllas , doppe ferte 	čohkkát 	45 minuhta , it sáhte mannat váccašit dahje mannat olggos .
Loahpas lei lunddolaš ahte olmmoš nagodii olles skuvlatiimmu 	čohkkát 	.
Lei nu váttis go šadden luohkás mielde , ja mun lean dakkár gii ii nagot 	čohkkát 	jaska .
Mun in máššan 	čohkkát 	45 minuhta , dat ii meinestuvvon goassege .
Vuosttas tiimmu nagodin 	čohkkát 	jaska , muhto nuppi tiimmus in šat nagodan .
Pavel Anderssen 	čohkkái 	Gurutbellodaga ovddas gielddastivrras ja ovdagottis , skuvlastivrras ja fuolaheaddjiráđis .
Fjordtuna jođiheaddjin ja skuvlagoziheaddjin 1950 rájes 1956 rádjái lei áddjá guovddážis skuvlavuogádaga ođđasithuksemis , ja ollu jagiid maŋŋil ealáhatagi 	čohkkái 	son ain skuvlagoziheaddjin .
Dábáleamoš ráŋggáštus lei ráŋggáštusčiegas 	čohkkát 	.
Mus lei lihkku , in dárbbašan 	čohkkát 	doppe .
Dasto nammadii Alimusriekti Hálddašanráđi [ 11 ] maid duiskalaččat dohkkehedje , muhto dát ii 	čohkkán 	earágo čakčamánnui .
Son 	čohkkái 	giddagasas golbma mánu .
Skuvla lei 80 jagi dassái dakkár báiki gos mánát šadde 	čohkkát 	jaska ja guldalit mihá eanet go dálá skuvllas .
Muittán gal ahte son lávii 	čohkkát 	katehtera luhtte , juolggit beavddi alde , ja logadii - bláđi .
= áibbas [ 19 ] Ealvit v. = vásihit [ 20 ] Bieđggosmielat a. = ii čuovo riekta mielde mii dáhpáhuvvá , distré [ 21 ] Hihppojuvvot v. = heivejuvvot [ 22 ] Njabbahit v. = gaifát , jabbut [ 23 ] Imaraš a. = imašlaš [ 24 ] Guŋkáhit v. = 	čohkkát 	jaska ja jienajávohaga , čohkkát dego guŋka [ 25 ] Bordi s. = beavdi
= áibbas [ 19 ] Ealvit v. = vásihit [ 20 ] Bieđggosmielat a. = ii čuovo riekta mielde mii dáhpáhuvvá , distré [ 21 ] Hihppojuvvot v. = heivejuvvot [ 22 ] Njabbahit v. = gaifát , jabbut [ 23 ] Imaraš a. = imašlaš [ 24 ] Guŋkáhit v. = čohkkát jaska ja jienajávohaga , 	čohkkát 	dego guŋka [ 25 ] Bordi s. = beavdi
Ledjen dolkan stensiillain , ja okto 	čohkkát 	lánjas .
Lávejin 	čohkkát 	ja duddjot .
Ja Sámi joatkkaskuvllaid stivrras leat dál olbmot geat leat 	čohkkán 	das logenáre jagi badjel áigemeari , dan dihte go boahttevaš stivrenvuohki ii leat vel čielggaduvvon .
Son rissii mánáid nu ahte varra golggai , lei nu bávččas ahte in sáhttán 	čohkkát 	dábálaččat .
Muhtun beaivvi 	čohkkái 	soames rivgu dainna girjin .
Mun oahpahin ovdamearkka dihte luohká mas ledje vuosttaš , nuppi ja goalmmát luohká oahppit ovttas , ja buorelihkus ledjen vásihan dan ahte muhtumat sáhtte 	čohkkát 	áibbas jaska ja bargat , vaikko oahpaheaddji seammás oahpahii ge eará ohppiide eará áššiid .
Go mu bártnáš boahtá sámegieldiibmui , de ii leat dábálaš oahpahus , muhto galgá 	čohkkát 	PC ovddas iešheanalaččat , ja oahpaheaddji fas bargá iežas áššiid PC ovddas .
Čájehuvvo ahte son lea giellačeahppi , muhto son ii oahppan sámegiela go lei 5.–6. luohkás Joganjálmmi skuvllas go son 	čohkkái 	dušše PC ovddas .
Muhto fertet gal 	čohkkát 	jaska ja guldalit ja geahččalit áddet .
Šattai 	čohkkát 	skuvllas go humai sámegiela
Šadden velá 	čohkkát 	, ja oahpaheaddji váccii máŋga kilomehtera Čuoikaluovttas , gos skuvla lei , Viđgeluktii , gos min dállu lei , sotnabeaivvi čilget mu váhnemiidda mii lea riekta .
Okta informánttain 	čohkkái 	Álttá sámi searvvi stivrras , ja lei mielde ásaheamen Sámi studeantalihtu , mii maid šattai dehálaš siskkáldas arenan .
Eai ge dat stuorámusat jeagadan go rivgu cearggui singuin ja dáhtui sin 	čohkkát 	jaska .
Ii ge son duostan lihkastit ovdal go bakkus fertii danin go nu unohasaid 	čohkkái 	.
Son 	čohkkái 	oanehaš ja geahčai dan oađđi mánnái .
Doppe leat buohkat 	čohkkáme 	ja boradeame .
Guhká 	čohkkába 	soai unna vieljažiin giettis ja humadeaba .
Eadni ii 	čohkkán 	goassege joavdelassan , ja jus čohkkedii bargguhaga , de logai Biibbala dahje lávllui sálbmagirjjis .
Danin go sii dihte ahte Kátjá ii lean ávki skuvlašeaffa lusa ge doalvut , ii ge 	čohkkát 	ge bidjat maŋŋel skuvlla .
Kátjá 	čohkkái 	jávohaga ja guldalii bártnážiid ságastallama .
— Ii oidno oktage biigá , sii leat buohkat 	čohkkámen 	iežaset lanjas njunnálaga .
Kátjá 	čohkkái 	ja geahčai dan stuora , romes skuvlii .
Guđajahkásažžii ii leat nu álki 	čohkkát 	šearpma ovddabealde 2-4 skuvladiimmu vahkkus .
Ii leat álki 7- dehe 8-jahkásažžii 	čohkkát 	dihtora ovddabealde ja bargat bargogirjjis go lea okta oahpaheaddji .
Son 	čohkká 	čállinbeavdeguoras ja njaŋgá stuolus .
	Fiction texts –
Áigebotta 	čohkká 	sieiddi siste ja smiehttá .
Áigin 	čohkká 	ná áigebotta , náhkkárat rohttejit .
Su bálddas 	čohkká 	muhtin nieida ja moddjá sutnje .
Go mii buohkat 	čohkkát 	giehtalága ja dahkat gierddu , de vuolgá govadasa fápmu buohkaide .
Siste 	čohkká 	eatni soffas ja lohká vahkubláđi .
Áigin ja Tást fas 	čohkkába 	bálddalága maŋŋedilljas ja sugadeaba siiggádiid mielde .
Soalsi cirgá dan guoktá ala geat 	čohkkába 	fatnasis .
Doppe 	čohkkába 	Isselin Janette ja Tást .
Heaikka-Máret Hánssa lohke vuovdán árbeeatnamiiddisge dušše dan dihte , vai suittii hoteallas 	čohkkát 	.
- Gal dás le a sadji dutnjege , 	čohkká 	beare , dajai Heaikka-Máret Hánsa .
Dál das ii 	čohkkán 	oktage .
Son 	čohkkái 	ja čohkkái , lohppii nohkan gorut njamai beaivvážis ođđa searaid , olgoáibmu čilgii jurdagiid ja son áddii ahte lei juo boares olmmoš , muhto ii vel jápmimii dubmehallan .
Son čohkkái ja 	čohkkái 	, lohppii nohkan gorut njamai beaivvážis ođđa searaid , olgoáibmu čilgii jurdagiid ja son áddii ahte lei juo boares olmmoš , muhto ii vel jápmimii dubmehallan .
Son hoavrrestii stohpui , muhto váibbai johtilit ovtta sajis 	čohkkát 	ja fas háliidii iežas seŋgii .
Hemmo jos gii diđii man á ddjás bargu lei doallat bivdosiid ortnegis , gii lei 	čohkkán 	čuđiid ja čuđiid diimmuid beaŋkageažis geahpa gieđas .
Heandarat 	čohkkái 	jienajávohaga beavdegeažes ja bláđedii girjji iige lean veahkkin ođđa náveha huksemin , nugo vánhemat livččiiga háliidan .
Vel moadde beaivvi dassái son váccašii nieiddaguoktáin Turku gáhtaid mielde , dál 	čohkkái 	beavdegeažes ja geahčai Eanu guvlui , mii lei nu ávdin ja čáhppat , go bivdit ledje dan guođđán .
Nillá 	čohkkái 	Áhku bálddas , jearai sus duon dán , muhto nubbi lei eanaš jaska .
Dál son 	čohkkái 	hoteallas , lei boahtán ovddimusaid siste ja válljen beavddi lássaguoras .
Hoavvameašttir guovlla stii sálii ja áiccai ahte dárkilit várjaluvvon beavddis 	čohkkái 	Mártte-Hánsa , gielddaráđđehusa lahttu , lávdealmmái , stuorra dálu isit ja ovddeš girkostivrra sátnejođiheaddji .
Sihkkareamos dáidii liikká 	čohkkát 	gáimmi beavddis , geas lei ruhta ja váldi .
Son muittii man allat ja váralaš lei kádja , man ravddas 	čohkkái 	ihkku ja guldalii mo čáhppes mearra stužaidii julggiid vuolde , go geahččalii áddet man lohppii eallin lei ell ojuvvon .
- Go it veaje šat 	čohkkát 	stovus dego ovdal ?
Hemmo 	čohkkái 	su bálddas .
Heaika 	čohkkái 	gáiv v olohkki alde ja oinnii , mo stuorra biilavuoddji runddii biilii bárgu šibihiid .
Son 	čohkkái 	mielleravddas ja geahčai luossasuhkkiid .
Heaika 	čohkkái 	sajistis gitta eahkedii ja merkii dárkilit buot , mii orui dan veara .
Heaika 	čohkkái 	guhkás idjii stohpo beavdeguoras ja muittašii čoakkalmas aid .
Jyrki 	čohkkái 	stobus ja gulai , mo soai beallesavkosii hálešteigga nuppi lanjas ja árvidii ahte sáhka lei vuot dan náittosdilis .
Son 	čohkkái 	das áigebotta ja jurddašii eamida sániid , beallji fáhtii murrema jienaid juogo Heaikka dahje Hemmo rándahis .
Mannji 	čohkkái 	áigebotta vuotnámis jápminseaŋgga bálddas .
Birgget 	čohkkái 	beavdegeažis oapme firkkal badjelis , stuorra sudnes rápmát roaŋkut čippiid alde , oppa su olgguldas hámis sáhtii lohkat man dolkan son lei eallimis .
Earret áhkus su áidna háleštanskihpárat leigga Issát ja Heaika , geaid luhtte sáhtii 	čohkkát 	máŋggaid diimmuid .
Sus ledje nieiddat Girkosiiddas , son sáhtii 	čohkkát 	eahketbottaid Ándde-Márggeha luhtte , nu ahte nuppát háve leš máhccan nelgon Lemet barggus ávdin vistái .
Maŋit iđit son 	čohkkái 	juo busses ja čuovui lássaráigge , mo oahpes eatnamat báhcigohte maŋábeallai .
Go Sire nieiddaidisguin maŋit beaivve veaigin bardigohte suinniid hášiide , de Viljo 	čohkkái 	juo Tytti-Liisu-guoktáin hámmanhállas dámppa vuolgima vuorddašeamen .
