 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
Danne lea álki 	ádde 	ahte jaskesábi luosaid ferte gáhttet luossabiepmahagaid vuostá , go doppe han bibmet Atlánta-ábi luosanáli , mii lea gievrras nálli . ¶
Mii duođaid eat 	ádde 	manne Sámi spábbačiekčanbirrasat eai leat bidjan eambbo návccaid beassat vuolgit Narvikii , gos eahpitkeahttá šattaše buorit gilvvut ja deaivvadeamit . ¶
Ovdamearkka dihte jus bearaš lea boazodoalus , de lea buorre jus prošeaktabargi ieš maid 	ádde 	boazodoalu . ¶
– Dat eai geasut gal , go mun in 	ádde 	politihkas maide . ¶
Kárášjogas leat maid moadde politiija dušše , ja juohkehaš 	ádde 	sii dárbbašit veahki dákkár bargguide , deattuha Tangen . ¶
Sáltoduoddara boazoeaiggát Olof Anders Kuhmunen , gii ieš lea massán olu bohccuid ruovdemáđii geažil , 	ádde 	manne NSR:s leat gártan gažaldagat Sámediggeráđi barggu birra , ruovdemáđii ektui . ¶
SNF stivra čalmmustahttá dan mo nissonolmmoš 	ádde 	iešmearrideami doahpaga , mii maiddái sisttisdoallá guđet muddui nissonolmmoš atná ahte ieš mearrida sihke iežas gorudis ja seksualitehtas , iežas eallimis , kultuvrras ja boahtteáiggis . ¶
MÁILMMI DEHÁLEAMOS LUOSSADEATNU : Luossadutki ii 	ádde 	mo lea vejolaš go eai gávdno luossabivdomearit Deanu čázádagas , go buot eará máilmmi jogain leat mearit . ¶
Son ii 	ádde 	mo Davvi guovllu kriminálafuolahus sáhttá leat duhtavaš válddahallamin maid Romssa giddagas lea dahkan . ¶
Kjell Magne Eira 	ádde 	ahte dát dilálašvuohta lea suhttadan boanddaid , ja duođašta ahte sin siiddas leat guovtti maŋimuš jagis leamašan bárttit , mat leat daguhan váttisin oažžut bohccuid eret geasseorohagas . ¶
In 	ádde 	dán jurddašanvuogi . ¶
Nu in 	ádde 	jus son oaivvilda ahte son olgguštuvvo . ¶
Muhto lean hállan Hættain , ja lean ádden son 	ádde 	dan maid mun dajan dárogillii , vástida Woll . ¶
– Sámediggeráđi čilgehusas duoji birra 	ádde 	dainna lágiin ahte duodjeealáhusa áigot sihkastit eret , ja go diekkár signálaid addet , de duojárat imaštit mii bat dát ges lea , lohká Biret Ristin Sara . ¶
Sámi allaskuvlla professor Nils Øyvind Helander lohká dohkketmeahttun go sámi mediaásahus gohčču olbmuid čállit sámegiela boastut go sin dihtorat eai 	ádde 	sámegiel bustávaid . ¶
NVE ossodatjođiheaddji ja seminára miellágideaddji Tormod Eggan 	ádde 	ahte boazodolliid mielas sáhttá leamaš oanehis áigi , muhto sii leat golbma iešguđet lágideaddji . ¶
– Eai buohkat 	ádde 	mii boazodoallu lea , ja filmmas beassá oaidnit duohtavuođa , dadjá Oskal . ¶
Ii 	ádde 	cuiggodeami ¶
kommentára in gille kommenteret , muhto mun in 	ádde 	manne son lohká ahte in leamaš čielggas , go mun lean leamaš hui čielggas iežan ođđajagisártnis , čuoččuha Olli . ¶
Dát čuožžu čielgasit juolludanreivves , lohká Larsen , gii ii 	ádde 	manin eai sáhte dan vealggi máksit go sis lea ruhta . ¶
– Guolli gal lea , muhto Fylkkamánni guollehálddašeaddji ii 	ádde 	ahte ráfehis čázi dihte lea unnit goddon guolli go dábálaččat , joatká Ravna ja čilge ahte dulvvi áigge ii leat bivddehahtti . ¶
Marja Keskitalo , guovllu hoavda Yles , ii 	ádde 	manin Juuso ná čuoččuha go dát han lei su iežas mearrádus . ¶
Ovdamearkka dihte jus bearaš lea boazodoalus , de lea buorre jus prošeaktabargi ieš maid 	ádde 	boazodoalu . ¶
Muladal 	ádde 	ahte olbmot leat heađis go luossahivvodat lea unnon , muhto ii loga sáhttit dahkat dainna maidege ovdal go ođđasit šihttojuvvo dán guovtti riikka gaskkas . ¶
– Eai 	ádde 	 ¶
– Mii leat bargan dan maid min politihkka gohčču min bargat , nu ahte mun in 	ádde 	manne Brekk dadjá mii leat čurbošan , lohká Vangen . ¶
– In 	ádde 	mo NAV:s lea vejolaš nu sakka moivváskit báhpáriiguin , ja oalát sáhttet láhppit daid , dadjá heađásnuvvan eadni , gii ii vel sáhttán dainna vuollánit , go geavai sáddet buot báhpáriid ođđasit NAV:i . ¶
Orohaga 16 ovddeš jođiheaddji , Klemet Amund Eira , ii 	ádde 	manin stivra lea evttohan juohkit orohaga . ¶
– In 	ádde 	mot Unjárgga gielda ja Fuođđolávdegoddi dan sáhttet čuoččohit go áidi ii ba gávdno . ¶
Kárášjoga sierralohpelávdegotti jođiheaddji , Eli Julianne Dalseng , gii ii háliidan aviisii govain , ii 	ádde 	manin Vuolab lea suhttan . ¶
Thoralf Henriksen 	ádde 	bures go Goahtegearrega ovddeš stivralahtut atnet unohassan go vearroeiseválddit leat sin gohččon maiddái čoahkkimii . ¶
Alacaston hálddahuslaš direktevra , Lars-Åke Claesson , ii 	ádde 	gal Sámedikki moaitaga . ¶
Suorganan nisu muitala iežas leat báhcán imaštallat , iige 	ádde 	makkár olmmoš lea heivehan cahkkehit ja boaldit olbmuid lávuid E6 bálddas . ¶
Kárášjoga gieldda dearvvašvuođa- ja fuollahoavda , Randi L. Johansen Paltto , 	ádde 	váhnemiid moaitima . ¶
– Dat lea dohkketmeahttun , go máđijat jo gávdnojit , de gal in 	ádde 	manne daid ii oaččo geavahit , dadjá Saari ja muitala iežas áigut iskat áhte lea go dát mearrádus oba lobálaš ge . ¶
– Mun imaštan vuoruheami go girkodulka leai maid doaluin , muhto dattege ii jorgaluvvon , čujuha Johansen , gii nuppe dáfus 	ádde 	ahte leai fanahit ipmilbálvalusa mánáide menddo guhkkin ja váttis sidjiide čohkkát jaska . ¶
Seammás sin 	ádde 	ahte leamaš olu bargu dán lágideamis . ¶
– Mánát goit vávje ahte bisma máhttá sámegiela ja 	ádde 	, ja ahte Ipmil ge ádde sámegiela , loahpaha Johansen , gii rámida Deanu searvegotti go sámegiela dilli lea buorránan , go lea lassánan girkus eanet sámegiella numo lávlumat ja konfirmántaoahpahus . ¶
– Mánát goit vávje ahte bisma máhttá sámegiela ja ádde , ja ahte Ipmil ge 	ádde 	sámegiela , loahpaha Johansen , gii rámida Deanu searvegotti go sámegiela dilli lea buorránan , go lea lassánan girkus eanet sámegiella numo lávlumat ja konfirmántaoahpahus . ¶
	Ádde 	leat divrras ¶
Son 	ádde 	1300 euro govdafierbmemávssu leat stuorra ruhta máŋgasii . ¶
Sis-Finnmárkku dikki kruvdnasundi Finn-Arne Selfors logaldalai sámi virolašvuođa birra , ja man láhkai dat galgá adnot rievttis , vuoi diggi 	ádde 	manne áššit mat bohtet riektái leat dahkkon . ¶
Deanu čázádaga luossabreavaeaiggádiid searvi ( LBT ) ságadoalli Reidar Varsi ii 	ádde 	manin Njuorggáma guolástangotti ságajođiheaddji Aslak Kylmäniemi dál cuiggoda su . ¶
Mun in 	ádde 	manin Telenor ii sáhte fállat dan seamma . ¶
Ministtar 	ádde 	roggama leat ealáhusa dáfus ja kulturhistorjjálaččat dehálažžan , muhto ođđa ruvkeláhkaevttohusa mielde dáláhápmásaš roggan heaittihuvvo . ¶
– In 	ádde 	gosa leaba nahkehan suorbmasiid , ja mo leažžaba ožžon visot fárrui , go sudnos ii lean lávka iige seahkka , muitala Nilsen . ¶
Mun jáhkán stáhtačálli 	ádde 	jus dás galggašii šaddat buorre boađus dán áššis , de fertejit lasihit ruđaid ja áiggi , lohká sámediggepresideanta Egil Olli gaskkamuttus čoahkkinastima duorastaga . ¶
– Lávdegottiin čohkkájit dábálaš olbmot ja sis leat dábálaš barggut , ja sii fertejit luvvet olbmo čállinbargui , lohká Olli ja 	ádde 	lávdegotti váttisvuođa . ¶
Dasa lassin in 	ádde 	manne ná maŋŋit ovddidit dán cealkámuša . ¶
Son atná dán imašin , iige 	ádde 	manin badjeolbmot diktet áššiin nie mannat . ¶
Lean maid gullan ahte olu norgalaččat ja maid sápmelaččat veahkehedje dáid fáŋggaid , earret eará 	ádde 	siddjiide borramuša . ¶
Johansen 	ádde 	ahte guolásteaddjit leat hárbman go njurjot eai dušše bora , muhto baldet maid guliid . ¶
– In 	ádde 	manin dát sáhttá eahpedemokráhtalaš , go dát han addá ain buoret vejolašvuođa ráhkkanit daidda áššesurggiide mat leat duođaštuvvon leat ráđi evttohusat . ¶
máhttá grammatihka ja 	ádde 	sániid sojaduvvon dásis , ii ge dušše vuođđodásis . ¶
Professor Ørjan Olsvik , Romssas , lea okta ekspearttain gii ii 	ádde 	manne Máilmme Dearvvasvuođaorganisašuvdna ( WHO ) alimus dássái bidje gearggusvuođa spiidnegolgodávdda ektui . ¶
TIFF diehtojuohkinhoavda , Håvard Stangnes , 	ádde 	ahte olbmot dolket vuordimis , muhto livččii goitge eambbo dolkadahtti jus livčče rahpan bileahttavuovdima mii ii doaimma , dadjá son . ¶
Leavnnja eananeaiggátsearvvi ovdaolmmoš , Egil Liberg , 	ádde 	ahte báikeolbmot leat heađásnuvvan divrras hattiid dihte , muhto lohká ahte dasa gávdnojit lunddolaš sivat . ¶
Rievttis čilgii áššáskuhtton almmái ahte son ii 	ádde 	manin lea váidon , go son lei dušše viggan boktit nieiddaguoktá . ¶
Nordlándda boazodoalloagronoma , Ing-Lill Pavval , 	ádde 	heađásnuvvan badjeolbmuid . ¶
Per Nils Saari ii riekta 	ádde 	manne FeFo lohká táhpet ruđaid go jus addet bivdinlobi vaikke eai geavahivčče helikoptera . ¶
– Mun in 	ádde 	manne ii leat čujuhuvvon vuođđoláhkii ja giellaláhkii goalmmát kapihttalis ; ahte geavaheaddjit dáid giella hálddašanguovlluid siskkabealde , leat geatnegahtton oažžut iežaset bálvalusaid iežaset gillii . ¶
Luossadutki Eero Niemelä ii 	ádde 	manne Veikko Porsanger ii luohte bohtosiidda maid dutkit ovdanbuktet . ¶
– Mun in 	ádde 	manne Veikko Porsanger ii luohte mu dutkamii . ¶
Muhto luossadutki 	ádde 	manin Suoma bealde Deanu rájá leat dakkár oaivilat . ¶
Valle lea ieš maid badjealmmái , iige 	ádde 	manne Báišduottar bálgosa boazoisit oaivvilda ahte máđijain ii boađášii ávkki sápmelaččaide . ¶
Lea somá fuomášit , ahte vaikko oassi guldaleddjiin eai 	ádde 	lávlagiid sániid de lihkká movtta lávlot mielde earáiguin . ¶
Varsi lohká alcces leat ruovttugiellan dárogiela , muhto 	ádde 	ja máhttá muhtun veardde . ¶
Juohke jierpmálaš olmmoš 	ádde 	ahte ferte leat seammaláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege ádde . ¶
Juohke jierpmálaš olmmoš ádde ahte ferte leat seammaláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege 	ádde 	. ¶
Dánska skuvlaolmmái gii ii 	ádde 	sámegiela , sáhtášii gal mánáide oahpahit dánskkagielat girjjis lohkat , muhto ii sáhte čilget sidjiide maid sánit mákset sámegillii , ja dalle ii leat su oahpahus eambbo go čuoddji biellu dahje skilaideaddji divga . ¶
– Mun in 	ádde 	gažaldaga . ¶
Gal mun lean eallán ja bohccostallan guhkes áiggi ja dieđán bures goas lea návdi ealu alde , iige dan dárbbaš munnje muitalit kantorbargi , ahte beana lea oaguhan , lohká eddon Mikkel Kemi , gii ii oba 	ádde 	ge mot eiseválddit sáhttet nie geahppasit olbmuid birgejumi meannudit . ¶
– Olbmuin ii leat bággu mannat dán šovvii , iige dat vuorjja ovttage ovdal go olmmoš ieš sehkke dasa , dadjá Skanke , gii liikká 	ádde 	ahte ahte soames dáidá veahá suorganan . ¶
– Riddu Riđus leamaš álo buorre ovttasbargu Sámedikkiin , eatge 	ádde 	manin sii dál gesset doarjaga , imaštallá Dalheim Eriksen . ¶
Pinholt 	ádde 	bures dan moaitaga maid Risten Ravna Heatta celkkii ievttá Ávviris , muhto bealušta maiddái organisašuvnnastis , go sii han leat riikka stuorámusat homofiillaid várás . ¶
Preben Ottesen Álbmotdearvvašvuođa Instituhtas muitala olu heađástuvvan olbmot leat sidjiide čuojahan ráđi oažžut go sii eai 	ádde 	man láhkai dát lea čuvvon sin dállui . ¶
– In mun 	ádde 	dán , dadjá son oahpaheaddjái , - mun lean ožžon čuođi ruvnno beare ollu . ¶
Dasgo oainnedettiineaset sii eai oainne , ja guladettiineaset sii eai gula eai ge 	ádde 	. ¶
Dáinna lágiin sii dál ollašuhttet dán Jesaja einnostusa : Guladettiineattet dii gullabehtet ehpet ge 	ádde 	, oainnedettiineattet dii oaidnibehtet ehpet ge fuobmá . ¶
Gullet dál , maid veardádus gilvi birra mearkkaša : Álo go muhtun gullá sáni riikka birra ii ge 	ádde 	dan , de bahákas boahtá ja dohppe dan mii lea gilvojuvvon su váibmui . ¶
Muhto dat mii gilvojuvvui šattolaš eatnamii , lea son gii gullá sáni ja 	ádde 	dan ja šaddada šattuid : čuođigeardásaččat , guhttalotgeardásaččat dahje golbmalotgeardásaččat . ¶
» Jesus celkkii : « Ehpet go dii ge velá 	ádde 	maidege ? ¶
Ehpet go 	ádde 	ahte buot mii boahtá njálmmi sisa , manná vuolás čoavjái ja luonddu mielde olggos fas ? ¶
Manne ehpet 	ádde 	ahte in sárdnon didjiide láibbi birra ? ¶
» Muhto Biehtár biehttalii buohkaid gullut ja dajai : « Mun in 	ádde 	maid don hálažat . ¶
Son vástidii : « Didjiide lea addojuvvon Ipmila riikka čiegusvuohta , muhto sidjiide geat leat olggobealde , almmuhuvvo buot veardádusaiguin , vai sii oainnedettiineaset oidnet eai ge fuobmá , ja guladettiineaset gullet eai ge 	ádde 	, amaset jorgalit ja oažžut ándagassii . ¶
Ehpet go árvit dahje 	ádde 	velá maidege ? ¶
» De son celkkii sidjiide : « Ehpet ge velá 	ádde 	? ¶
» Muhto Biehtár biehttalii ja dajai : « Mun in 	ádde 	in ge ipmir maid don hálažat ; » de son manai olggos poartalatnjii . ¶
» Muhto Biehtár vástidii : « Mun in 	ádde 	maid don hálat . ¶
Manne dii ehpet 	ádde 	maid mun sártnun ? ¶
» Okta sis , Kaifas , gii lei bajimušbáhppan dan jagi , dajai dalle : « Dii ehpet 	ádde 	maidege . ¶
» Jesus vástidii : « It 	ádde 	dál dan maid mun dagan , muhto don áddet dan maŋŋil . ¶
Mii eat 	ádde 	man birra son sárdnu . ¶
De máilbmi 	ádde 	ahte don leat vuolggahan mu ja leat ráhkistan sin nugo don leat ráhkistan mu ge . ¶
Eai sii soahpan gaskaneaset ja danne earránadde , ja Bávlos celkkii dán ovtta sáni sidjiide : « Dat lei duohta maid Bassi Vuoigŋa sártnui profehta Jesaja bokte din máddariidda : Mana dán álbmoga lusa ja cealkke : Guladettiineattet dii gullabehtet , ehpet ge 	ádde 	, oainnedettiineattet dii oaidnibehtet , ehpet ge fuobmá . ¶
It go 	ádde 	ahte Ipmila buorrevuohta doalvu du jorgalussii ? ¶
Dasgo mun in 	ádde 	maid mun ieš dagan . ¶
Dat guhte sárdnu gielaiguin , ii sártno olbmuide , muhto Ipmilii , dasgo ii oktage 	ádde 	su go son Vuoiŋŋas sárdnu čiegusvuođaid . ¶
Jos don rámidat Ipmila dušše vuoiŋŋastat , mo de sáhttá olggobealeolmmoš gii lea dás , dadjat « Amen » du giittusrohkosii jos ii 	ádde 	dan maid don dajat ? ¶
Dasgo Ipmila dáhttu lea ahte dahkkojuvvobehtet bassin , nu ahte fasttášehpet furrošeami , ja ahte juohkehaš 	ádde 	mo son oažžu áhkás bassivuođas ja gudnis , ii ge anistumi himuin dego báhkinat guđet eai dovdda Ipmila . ¶
Sii hálidit leat láhkaoahpaheaddjit , muhto eai 	ádde 	dan maid ieža dadjet eai ge dan maid čuoččuhit nannosit . ¶
Dat guhte oahpaha amas oahpu ii ge čuovo Hearrámet Jesus Kristusa dearvvaš sániid ja dan oahpu mii gullá ipmilbalolašvuhtii , son lea goargat ii ge 	ádde 	maidege . ¶
Buot hearvásvuođastis olmmoš ii 	ádde 	maidege , nugo eallit songe duššá . ¶
Eai sii dieđe eaige 	ádde 	maidege , sii vádjolit seavdnjadasas , oppa eatnama vuođđudusat jurbot . ¶
Ávdugas dat álbmot mii 	ádde 	máidnut du . ¶
Jierpmehis olmmái ii ipmir dán , jalla ii dán 	ádde 	: ¶
Mii leat du ovddas losses mielain , eatge 	ádde 	, manne ná lea dáhpáhuvvan . ¶
Mii eat 	ádde 	, manin dát uhca mánáš ii ožžon riegádit eallin . ¶
· Sáhtát rohkadallat jitnosit dahje jávohaga · Sáhtát čuorvut ja váidalit · Sáhtát giitit · Sáhtát ávvudit · Sáhtát muitalit maid it 	ádde 	· Sáhtát bivdit veahki · Sáhtát rohkadallat dearvvasmahttima · Sáhtát rohkadallat ándagassiiaddojumi · Sáhtát rohkadallat jeđđehusa · Sáhtát dušše muitalit · Sáhtát rohkadallat okto dahje earáiguin · Sáhtát geavahit Biibbala go rohkadalat – earret eará Sálmmaid girjji Boares Testameanttas · Sáhtát rohkadallat Áhččámet-rohkosa · Sáhtát rohkadallat Jesus-rohkosa sihke go geasát ja go luoittát vuoiŋŋahaga : Hearrá , Jesus Kristus árpmit mu , suttolaš olmmoš · Sáhtát rohkadallat eará olbmuid ovddas · Sáhtát jearrat Ipmilis čájehit dutnje maid galggat dahkat · Sáhtát rohkadallat ráfi ovddas ¶
dutkit eai oppanassiige 	ádde 	álgoálbmogiid kultuvrra ja jurddašanvuogi , ¶
kultuvramearkkašumiid maid sii geat eai leat indiánat eai 	ádde 	, nubbi ¶
dulkot jos ii 	ádde 	sámi kultuvrra iige ádde sámegiela . ¶
dulkot jos ii ádde sámi kultuvrra iige 	ádde 	sámegiela . ¶
Sudnos eai leat dábálaš dienasbarggut ja olbmot eai 	ádde 	sudno ¶
Olbmot gehččet sudno amas čalmmiiguin , ja eaige 	ádde 	sudno eallin ¶
Sii eai 	ádde 	Issáha jápmima , son lei iežas heahkka váldán . ¶
skihpárat Máhtebáikkis eai 	ádde 	manin son jámii , ja sii eai fuobmá man ¶
reivve duopmáris , son ii datte 	ádde 	mas lea sáhka ja vuolgá Girkosiidii ¶
bolesii ahte son lea eahpemáhtolaš olmmoš ja ii 	ádde 	dákkár áššiin . ¶
Dán vuogi eai 	ádde 	eará álbmogat , ja ¶
Lord of the Rings speallu The Third Age lea váttis , muhto Bikku 	ádde 	measta visot vaikko lea eaŋgalsgillii . ¶
Su hoavda lea hui bahás , iige 	ádde 	man lossat oktoeatni eallin lea guvttiin mánáin . ¶
Muhto loahpas Bikku 	ádde 	ahte áddjá lea jođus Murmánskii , ja skihpárat leat juo álgán juhkat ovdal rájá . ¶
Journalista 	ádde 	ollásit ráddjema , doarrádallama ja veahkaválddi vára , mat sáhttet ¶
Journalista 	ádde 	ahte su fitnolaš doaibma nohká dalle go son váldá vearjju gihtii . ¶
Mun doaivvun beare ahte Lene 	ádde 	gárvit Riddu ja Markku . ¶
Olmmoš máhttá dahje muhtun muddui 	ádde 	sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela ¶
2000 	Ádde 	sámegiela : olbmot badjel 18 jagi geat goitge áddejedje sámegiela . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 . ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 ¶
2000 	Ádde 	sámegiela : SGD-SB , OPINION 2000 , čuovus 5.5 ¶
Maid galggan mun dadjat vai kursaoassálasti bargoaddi 	ádde 	man dárbbašlaš , dehalaš ja buorre leat sin bargiide vázzit sámegielkurssa . ¶
Čálliidsearvvit , sihke SGS - čáppagirjjálaš čállit , ja SFS - fágagirjjálaš čállit - váidalit sakka go sámi girjjálašvuohta galgá dárbbašmeahttumit gillát go ruhtajuolludeaddjit eai 	ádde 	, vai eai go beroš heahtedilis mii lea leamaš juo guhká . ¶
Vaikko vel dáža birra muđui dajašii ge ahte dat ii 	ádde 	ii ge máhte maidige , de dalle goit dohkke duođašteaddjin jus son lea rábmon juoidá man nubbi sápmelaš lea heajušan . ¶
Diet Lev Nikolajevič áiggui earret earáid náitalit váigadis Nastaša Filippovnain duššefal buorredáhtus ja lei seammás dan jáhkus , ahte gal su ráhkis Aglaja dan 	ádde 	, iihan dal náitaleapmi maidige rievdat , ja dienu dal de ain . ¶
Dieđán ahte don it 	ádde 	mu . ¶
- Dat gal maid 	ádde 	, dajai almmái . ¶
Du isit gal 	ádde 	. ¶
- Dál in 	ádde 	. ¶
Ii fal dainna ulbmiliin ahte doalahit earáid eret , dahje cealkin dihtii ahte sii eai 	ádde 	, muhto baicce iskan dihtii ahte rievdá go čilgen ja áddejupmi dainna go sámegiella lea bargoneavvun . ¶
Piera Jovsset orru oaivvildeamen ahte gávdnojit sámit geat eai 	ádde 	man dehálaš lea gáhttet máttarvánhemiid árbeoasi . ¶
Diehtit mii gal dan ge paradovssa ahte dárogiella ge lea odne dohkkehuvvon sámegiellan – goit dan dihtii go eanaš sápmelaččat Norgga bealde eai máhte , eai ge 	ádde 	ovttage namahuvvon váldo sámegielain . ¶
Go geavahuvvojit dakkár sánit , mat máŋgasii dái det leat apmasat nugo omd. suktiisátni , de cealkka galggašii leat hábmejuvvon dainnalágiin ahte lohk ki 	ádde 	iige dárbbaš árvádaddat oaivila . ¶
Musihkkabuvttadeaddjit ja musihkkalágádusat doivot várra dan ahte diet dav vin , lahka davvipola ássi goit ii fuobmá ii ge 	ádde 	mo siviliserejuvvon máilbmi máhttá ruhtan ráhka dit álgoálbmogiid musihka . ¶
In oahppan gal nu ollu , Guro Saniola Bjerk ii 	ádde 	manin ii oktage hálit gul lat sápmelaččaid birra geat lihkostuvvet , ja Ánne Lájlá Utsi fas oaivvildii ahte dál , go mis viimmat lea Sá mi filbmainstituhtta , de ii sáhte oktage šat muitalit jallas leaikkaid min birra , go dál mii áigut ieža stivret , muhto eat fal ” Boazolihkku ” guvlui , go dat gal lea kultuvrralaš ruska ( nu dajai ; cultural trash ) . ¶
Ii hála sámegiela , muhto 	ádde 	 ¶
Ii hála , muhto 	ádde 	 ¶
Ii hála , muhto 	ádde 	 ¶
Ii hála , muhto 	ádde 	 ¶
Gealbogáibádusat leat “ smávvejuvvon ” ulbmilat , vai ulbmilat šattašedje konkrehtaseabbun ja vai áđabut 	ádde 	mihtidit oahppi gealbbu . ¶
áddet oahpa ( go 	ádde 	juoidá , de diehtá maid dat mielddisbuktá . ¶
Dain vástidedje 4797 olbmo ahte eai 	ádde 	sámegiela . ¶
Mii defineriimet sámegielaga dakkár olmmožin mii 	ádde 	giela dan mađe bures ahte sáhttá muhtun muddui gulahallat sámegillii . ¶
58 % ásahusain lea unnimusat okta hálddahusbargi gii máhttá sámegiela ( 	ádde 	dahje buorebut máhttá ) . ¶
mearkkaša dás ahte 	ádde 	dahje buorebut máhttá sámegiela . ¶
Dat mearkkaša ahte 58 % ásahusain gávdno unnimus okta bargi , gii goittotge 	ádde 	sámegiela . ¶
Diagrámmas boahtá ovdan ahte 62 % ásahusain , gos bargit máhttet sámegiela , leat vástidan ahte ii oktage bargi dušše 	ádde 	sámegiela . ¶
Nu ollu go 89 % leat vástidan ahte ii leat ii oktage hálddahusbargi gii dušše 	ádde 	sámegiela , bargit hállet dahje čállet maiddái sámegiela . ¶
Jos lea nu ahte muhtun čoahkkinoassálastit eai 	ádde 	sámegiela , de ferte sidjiide fállat dulkka ja dulkonrusttegiid . ¶
Galggašii go geavahit seammalágan definišuvnna maid mii leat geavahan dán iskkadeamis , nu ahte olmmoš lea sámegielat jos 	ádde 	dábálaš ságastallama ? ¶
Lávdegoddi 	ádde 	gal ahte sámegiella ja dárogiella eai šatta ovttadássásaččat olggobealde sámegiela hálddašanguovllu . ¶
teavstta sisdoalus eai 	ádde 	olus maidege ¶
go buohcci čuovvu mielde ja 	ádde 	dili , ¶
Sii sáhttet čálihit iežaset olggos tiimma maŋŋá eaige 	ádde 	manne sii leat doppe . ¶
Eai sii 	ádde 	olus iežaset dávddas . ¶
ahte buohcci ii 	ádde 	buozalmasvuođas iige ane iežas buohccin . ¶
galgá maid sáhttit dadjat , ahte dál in 	ádde 	manne don nie vástidat , ovdamearkka dihtii ¶
ja dalle 	ádde 	buorebut , ¶
Dat go mu áddejit ja váldet mu bures vuostái , lea buorre dovdu , go raban jurdagiiddán dakkár olbmui , gii 	ádde 	. ¶
Ii galgga vuollánit , muhto gáibidit deaivvadit veahkkeáhsahusain dassá go 	ádde 	ja gulahallá . ¶
Lea omd. váttis giela bokte árvvoštallat ` seahkalas ' - kategoriaid etnisitehta jos álbmotlohkamis daddjo olbmo birra ahte son hállá // 	ádde 	moadde giela . ¶
eai oalle 	ádde 	mii lea sámeduodji , sápmelaš ii rievdat duoji radikaalisti ¶
Geavahehket sániid maid mánná 	ádde 	ja mat eai baldde su , omd. sáhttá dadjat ” bidjat ” dan sadjái go ” čugget ” . ¶
Dat ii 	ádde 	rehkega iige eará ovttage fága maid oahpaheaddji oahpaha dáppe . ¶
Juohke jierpmálaš olmmoš 	ádde 	ahte ferte leat seammaláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege ádde . ¶
Juohke jierpmálaš olmmoš ádde ahte ferte leat seammaláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege 	ádde 	. ¶
