Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	ádden 	ja gudnejahttin . ¶
Go mun smiehtadan dán áiggi , de imaštalan veaháš ahte sámi álbmot munno vuostáiválde ustitlaččat ja oskkáldasat , muhto go dán lean maŋŋá guorahallan , de lean 	ádden 	ahte sii dovde oktavuođa munnuin , go moai leimme sin láganat , smávvadálolaččat seamma eavttuiguin ja seamma beroštumiiguin go sisge ledje . ¶
Go lávdegoddi lea máinnašan Finnmárkku sámi guovlluid sámi váldoguovlun , de leat muhtimat dán 	ádden 	leat seamma go sámi reserváhta , sirrejuvvon muđui servodagas . ¶
Oassi vuolit luohkáid ohppiin eai 	ádden 	olus maidige oahpahusas . ¶
Sii eai 	ádden 	dárogiela sáni . ¶
Muhto mo lei doaibmat oahpaheaddjin dáidda mánáide geat eai 	ádden 	min oahpahusgiela ? ¶
Soittii vel nuge ahte minguinge njálbmo , go mii eat 	ádden 	giela . ¶
Eat mii 	ádden 	dange goas oahppit cielahedje nuppiid . ¶
Jus livččii Vestfoldas , de livččen atnán su heabuheapmen , measta stoaiddasin , muhto dál 	ádden 	ahte ná dáppe čájehit ahte beroštit eará olbmuin . ¶
Ja fertii maid , go mánát ledje buohkat sámegielalaččat , ja eanáš eai 	ádden 	veaháš ge dárogiela . ¶
Anna Mørk oahpahii eanaš dárogillii , muhto čilgii midjiide sámegillii go eat 	ádden 	. ¶
Departemeanttas eai vel oro 	ádden 	dan , go 24.02.1994 čálii ekspedišuvdnahoavda Hanna Marit Jahr : « Čujuhan maiddái čoahkkimii SOR:in Oslos 30.11.1993 , mas čielgasit daddjojuvvui juohkehačča bealis ahte sámi oahppit galge sihkkarastojuvvot seamma máhttovuođu go buot eará oahppit vuođđoskuvllas . ¶
Vuosttaš skuvlabeaivvi jerren muhtin nieiddážis gos hivsset lea , ja suorganin go fuomášin ahte son duođaid ii 	ádden 	sámegiela . ¶
Earát eai 	ádden 	mii dat lei , dat lei sámegillii heivehuvvon « pidestall » . ¶
Ii ge son gal 	ádden 	maidege , mojohalai dušše ja dajai : « De nie fal , stuora mánát eai galgga ruoktot áibbašit » . ¶
Go mun álgen skuvlii , de in máhttán in sánige dárogiela , in 	ádden 	sánige . ¶
Ii leat lohkanleaktu , muhto 	ádden 	mii livččii galgan mihtiduvvot . ¶
Son ii 	ádden 	manne mii vuostálasttiimet . ¶
Radio ja eará mediaid dieđuid vuođul leat 	ádden 	ahte Girko- ja oahpahusdepartemeanta árvvoštallá ásahit sámi gymnása Áltái . ¶
Easkkaa maŋŋá lean 	ádden 	ahte máŋggat mis sáhtášeimmet leat ( ja várra ledjege , várra leat ain ) guovttegielagat , jus sámegielat váhnemat livčče eatnigielaset hállan mánáidasaset . ¶
Lei máilbmi mu birra , mas in 	ádden 	maidege . ¶
Lei aiddo ieš 	ádden 	sámegiela čállinsystema , lei dadjat juo « oaidnán čuovgga » , ja de máhtii dan seammás mu maid láidestit rivttes guvlui . ¶
– Mun muittán uhcit ahte uhcit , muhto 	ádden 	ain muhtin sániid . ¶
Isken dadjat sámegiel sániid , muhto in máhttán álo jietnadit rivttes láhkái , ja dalle eai 	ádden 	mánát maid dadjen . ¶
In 	ádden 	manne sii geavahedje sáni « lese » , ii ge « telle » , go in vel diehtán ahte sámegielsátni « lohkat » mearkkaša sihke « å telle » [ lohkat omd. ruđaid ] ja « å lese » [ lohkat omd. girjji ] dárogillii . ¶
In háliidan ahte nieida galgá dovdat iežas olgguštuvvon iežas bearrašis , ja danin válljejin ahte fertejedje sámástit vaikko mun in 	ádden 	giela . ¶
Go maŋŋá čohkkájin čoahkkimis ja nu mo dábálaččat in 	ádden 	maid hálle , de čohkkájin hui ráfálaččat ja dovden man buorre lei dan diehtit , mun čohkkájin hui oadjebasat doppe , go mun gullen dohko , ja ii oktage sáhttán dadjat ahte don han leat dušše rivgu , ii dus leat makkárge dadjamuš dás . ¶
Eai ge sámegielhálli bearašlahtut leat goassege jurddašan ahte in 	ádden 	mii daddjui , ahte danin lea olu maid in leat diehtán . ¶
Mánát ledje dainna movtta go ledje 	ádden 	maid skuvlaalmmái lei hállan diimmuin . ¶
Muhto i son gal 	ádden 	das galle sáni . ¶
Báhpat galge , vaikko vel eai 	ádden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Sii ledje varra 	ádden 	ahte girji lei čállon amas gillii , sin oainnu mielde , – sámegillii . ¶
In dalle vel gal 	ádden 	siva , muhto mun čihken dan girjji guottavuollái ja guvlen ain go dat earát eai oaidnán . ¶
Mun maiddái suhtten go in diehtán in ge 	ádden 	manne sii dien láhkái munnje barge . ¶
Muhtumin bohte su vánhemat su luhtte fitnat , ja dat háleštedje dakkár giela maid earát eai 	ádden 	. ¶
Muhto son goit ii heahpanan ja mun dan in fas 	ádden 	. ¶
Muhto ii lean somá go rávesolmmoš lei mielde olles áiggi go in 	ádden 	maid earát dadje . ¶
Vuos ledjen sorjavaš dulkkas ja de in sáhttán čuovvut mielde go in lean 	ádden 	man birra sii háleštedje . ¶
In 	ádden 	gosa sii áigo , danin vulgen ruoktut . ¶
– « Ii , mun in 	ádden 	gosa dii áigguidet » , mun vástidin . ¶
Dát gal orru leamen hui buorre ; muhto Stockfleth dahje sii geat dorjo su eai 	ádden 	maid dakkár lahkonanvuohki mielddisbuvttášii , man guhká ádjánivččii olles álbmoga kultiveret dán láhkái . ¶
Sii eai 	ádden 	eai maidege , muhto áhčči lei duhtavaš mo ledje dadjan ! ¶
Álggus go mun álgen skuvlii , de in 	ádden 	nu olu dárogiela . ¶
Muittán ain ahte mii čaimmaimet bures nieiddaža gii vástidii sámegillii oahpaheaddjái guhte ii 	ádden 	giela . ¶
Muhto eai sii 	ádden 	sámegiela , ja danin maid eai ádden maid son belkkii . ¶
Muhto eai sii ádden sámegiela , ja danin maid eai 	ádden 	maid son belkkii . ¶
Muđui golahedje áiggi digaštallat aiddo man garra sániid galge geavahit guovddášeiseválddiid birra « geat eai 	ádden 	sámi diliid . ¶
Muhto go mun jurddašan ahte dát 700 oahpaheaddji livčče sáhttán min beali váldit dán áiggis goas mii livččiimet sakka sin dárbbašan bajásgeassit ođđa buolvvaid , ja ahte sii nággáris vuoiŋŋain baicca válljejedje albmosit vuostáičuožžut min , dalle dat čájeha ahte sii leat boastut 	ádden 	sin oahpaheaddjidoaimma ođđa Norggas , nu ahte velá Girkonjárggas ge orrun lea menddo buorrin sidjiide . ¶
Goaskinvákki skuvlastivra celkkii jagis 1947 ahte sii eai 	ádden 	departemeantta oainnu , go dát oahpaheaddji « lei čájehan dakkár eahpegudnálaš miellaguottu ahte su lei veadjemeahttun doallat oahpaheaddjin dáppe . ¶
Dasa lassin ledje vaikko man olu sánit maid in 	ádden 	. ¶
Nu go mun lean 	ádden 	, de gehččojuvvui dalá Billávuotna viđa- ja guđalotloguin « dáža » guovlun . ¶
Vástádusain oaidnit ahte nu ledje ge skuvlastivrrat 	ádden 	gažaldaga . ¶
Gažaldat 3 – dárbu eambbo « sámi oahpaheddjiide » Skuvlastivrrat leat dán gažaldaga 	ádden 	iešguđetládje . ¶
Dán maŋit gažaldagas orui čoahkkimis šaddamin buori muddui ovttamielalašvuohta , muhto maŋit čoahkkimis leai Departemeanta guođđán daid jurdagiid maid mii leimmet 	ádden 	soahpamuššan . ¶
Maŋŋil lean 	ádden 	ahte ollugat departemeantta iežas ámmátolbmuin atne unohassan go fuomášedje mii leai dáhpáhuvvan . ¶
Eat mii dalle gal 	ádden 	ahte eai gávdnon nu olu girjjit sámegillii . ¶
Mun goittot in 	ádden 	dan go vázzen joatkkaskuvllas , vaikko mu vátnemat ja fuolkkit , ja eará olbmot ge muitaledje munnje dan . ¶
Framtid i Nord-áviisas čálii Eilif Johansen lohkkireivves ahte ii 	ádden 	mo olmmoš sáhtii jáhkkit ahte beasašii suohkanstivrii go lei sámegávtti coggan miessemánu 17. beaivve . ¶
Oassečilgehus dáidda erohusaide lea ahte Gáivuonas leat 	ádden 	ahte giella lea rašši dego glássa . ¶
In 	ádden 	in maidege ¶
Vaikko namma han lea dego váldon Bjørnstjerne Bjørnsona boandamuitalusain , de unna Synnøveš ii báljo 	ádden 	sáni ge dárogielas go álggii skuvlii jagis 1965. – Mun ledjen márkančivga . ¶
Gal mun dihten ahte oahpaheapmi lei dárogillii , muhto jurddašin ahte dan gal mun 	ádden 	go boađán skuvlii . ¶
Mun in 	ádden 	in maidege . ¶
Jus eat 	ádden 	maid dajai dárogillii , de čilgii sámegillii . ¶
Vaikko in 	ádden 	visot diimmuin , lei ollu álkit go lei oahpaheaddji gii áddii min . ¶
Lean maŋŋá 	ádden 	ahte 1980-logus eai lean buot sámi birrasat diehtomielalaččat joatkit sámegielain , muhto dán áiggi gal lea dát fas buoret . ¶
Mun 	ádden 	mealgat sámegiela , mun in leat dadjat hállan sámegiela eará go skuvlaoktavuođain . ¶
Dalle gal nu vuolláneimmet go ii lean 	ádden 	maid mii leimmet viggan muitalit sutnje . ¶
Sáhtta leat sihke uhcan beroštupmi skuvlaeiseváldiin dahje eai leat min lávdegotti evttohusaid riekta 	ádden 	. ¶
Skuvladiimmuin mii Sirpmá mánát eat 	ádden 	nu ollu álggos . ¶
Oahpaimet bajiloaivvi , vaikko eat álo 	ádden 	nu ollu dás maid oahpaimet . ¶
Eaba soai 	ádden 	goassige maid soai čáliiga ja oahpaheaddji maid ii lohkan jitnosit dan mii doppe čuoččui . ¶
Ruovttus gos sudno eadni máhtii vehá dárostit ja livččii 	ádden 	dárogiela , ii son astan veahkehit bihtáiguin go dan áiggi ledje nu ollu eará barggut maid fertii dahkat vai birgejit beaivválaččat , ja ieža maid fertiiga veahkehit váhnemiid bargguiguin . ¶
Beaivvášgiettis lei maiddái sotnabeaiveskuvla gos báhpa eamit Margarethe Wiig oahpahii sin , doppe sii galge diehtit maid sii leat lohkan ja gullan , muhto eai diehtán go eai 	ádden 	maid sii lohke . ¶
Dát oahpahus manai maid dárogillii ja lei hui váivi go ii máhttán giela iige 	ádden 	maid lei lohkan ja oahppan . ¶
Doppe ledje olbmot geat hálle sámegiela , nu ahte doppe lei álkit oahppat dárogiela go doppe sáhtte dulkostit go eaba 	ádden 	maid lohkaba . ¶
Giela eaba 	ádden 	ja eabage oahppan maidige skuvlaáigodagas . ¶
Dalle fertet leat kritihkalaš ja geahččat dárkilit 	ádden 	dihtii ahte dát lea máinnus . ¶
Ja mun 	ádden 	dutno vaikko hállaba iežade sámegielaid ¶
Mun 	ádden 	manin dát eará mánát leat dáppe . ¶
Dan gal dieđusge 	ádden 	, muhto makkár doibmii . ¶
	Ádden 	maid ahte don it sáhte leat guhká dáppe dán háve . ¶
Son ii 	ádden 	, manin reive lei sutnje sáddejuvvon . ¶
Son lei viimmatge 	ádden 	ahte eallin álggii leat su buohta meattá . ¶
- Jearaldat lea árbečilgemis nugo várra lehpet 	ádden 	, dárkileappot dadj at testamenttas . ¶
Árbeáššit ledje máŋgii nu mohkkái čilget , olbmot eai 	ádden 	ahte son dagai dan dušše virggi beales . ¶
- Áibbas riekta leat 	ádden 	, don leat á rbbolaš buot vuoigatvuođaiguin . ¶
- Oainnat go in riekta 	ádden 	, danin jerren , moddjestii Heaika ja vázzilii olggos . ¶
Son ii 	ádden 	manin oppalohkái bođii deike , maid gáttii dáppe gávdnat , ii dát báiki lean iđidisge olus geasuhan , dál vel uhcit . ¶
Son ii 	ádden 	manin Heaika ii vel dihtton , dábálaččat dat lávii boahtit iđidis ja dál lei juo beaivi guhkkin . ¶
Ádjá oktageardán áddejupmi geahččalii gávdnat vástádusaid váttis gažaldagaide , son eahpidii dávjá , buot orui nu eahpečielggas , son ii 	ádden 	manin givssidii iežas diekkár áššiiguin . ¶
Hemmo smiehtai maid nubbi dainna oaivvildii , muhto go ii 	ádden 	, de ii dadjan maidige . ¶
Nuorra heasta ii 	ádden 	ahte isit lei duođas . ¶
Son čuožžilii ja guvrruhii eaddemielas lássagurrii , guovllai olggos ja imaštalai , go Heaika ii 	ádden 	. ¶
- Jos hálat dan sámesearvvis , de áibbas riekta leat 	ádden 	. ¶
Gámis muođuide lei ihtán dearvvas lasseivdni , oppa almmái orui sakka nuorasman , go lei 	ádden 	muhtun áigái guođđit dan gáržžes eallinbirrasa , masa lei vehážiid gártan . ¶
Lean ollu jurddašan dan girjji birra ja 	ádden 	dál ahte máŋga ášši livčče sáhttán dadjat vuohkkaseappotge . ¶
Son ii 	ádden 	, manin Viljo ii šat beroštan dálubargguin . ¶
Dát lei munnje áibbas ođđa diehtu ja dál 	ádden 	, manin Káhtarin diehtá n iege ollu Heargenjár-Lásses . ¶
Risten lei dávjá nu skurvvas , go jurddašii oappás iluhis eallima ja eatn is , Jyrki ii 	ádden 	. ¶
Kauko lei ortnetolmmoš , sus lei fásta bargu , ii juhkan iige garrudan , sis lei čáppa viessu rádjegozáhusas , Risten ii 	ádden 	. ¶
- 	Ádden 	gal ahte dat lea lossat jos dat nie oppa áigge fákte . ¶
Son váccašii ovddos maŋás stobus iige riekta 	ádden 	maid galggai dahka t ja vázzilii gullat vielja oaivila áššis . ¶
Leango riekta 	ádden 	ahte Lauri ii leat šat barggus ? ¶
- 	Ádden 	gal . ¶
Son ii 	ádden 	mii sutnje lei šaddan . ¶
Son ii 	ádden 	mi i lei dáhpáhuvvan . ¶
Sire ii báljo 	ádden 	dálá Heandaraga . ¶
Munge lean juo ollesolmmoš ja 	ádden 	eallimis o llu eanet go don oppa gáttátge . ¶
- Jáá , láhttestii Kristiina iige 	ádden 	mo Hemmo gulai dán áššái . ¶
Son lei goittot dološ olmmoš , gii lea hárjánan čuovvut mearkkaid ja nieguid ja čilget daiguin eallima čiegusvuođaid , áinnas dalle go ii riekta 	ádden 	juoga ášši . ¶
Váldokoahkka geahčastii Heikii iige 	ádden 	mas lei jearaldat . ¶
Gieldda s ledje 	ádden 	, man sakka bargguid gaskkalduhttin čuozášii guovllu ovdáneapmái . ¶
Son doaladii gieđas rukses plakáhta , man ala ledje čállojuvvon moadde sáni , maid sisdoalu son ii ollásit 	ádden 	. ¶
Viljo geahččalii guldalit , muhto ii 	ádden 	olusge . ¶
Son lei dalán 	ádden 	, makkár liiba Issáha evttohus lei eadnái finadit viimmat vehá dobbelis earálágan eallima oaidnimin . ¶
Ja go Heaika lei vel ieš evttohan ahte son sáhtii leat muhtumin Biret-Kárii háleštanskihpárin , de Birgget lei 	ádden 	ahte Turku-mátki áiggui liikkáge ollašuvvat . ¶
Son lei fáhtehallan dán váivves dovdui , sus lei nu váttis orrut , son ii riekta 	ádden 	mii sutnje lei šaddan . ¶
Buot dáhpáhuvai guhkkin Máhtebáikkis ja ollu ledje dakkárge áššit , maid son ii ollásit 	ádden 	. ¶
Heaika ii 	ádden 	. ¶
Son ii 	ádden 	mii su lei boktán . ¶
Birgget ii 	ádden 	, mii Heandaragas lei áhčis vuostá . ¶
- Na 	ádden 	, ádden . ¶
- Na ádden , 	ádden 	. ¶
Bahámus heahpat lei vássán , go lei 	ádden 	ahte ii veadján dasa maidige . ¶
Son ii 	ádden 	ahte ii lean juo ovdal váldán eret . ¶
Leigo Ivvár nu oktageardán ahte ii 	ádden 	? ¶
Dađistaga čoggojedje ođđa golut , maid son ii lean 	ádden 	váldit vuhtii . ¶
- 	Ádden 	gal . ¶
Son ii 	ádden 	maid Issát lei ávvudeamen , eaihan dás liikká nu bures lean áššit . ¶
Ii lean ovdamearkka dihte gárron álgit searvvi stivrii várrelahttun , ii mahká 	ádden 	diekkár áššiid . ¶
Moattis leat barggildišgoahtán diktačoakkáldagain , ja jos in áibbas boastut leačča 	ádden 	, de okta lea čálligoahtán románaráiddu Eanuleagi eallimis . ¶
Birgget ja Ánde leigga máŋgii lohkan reivve ja jáhkiiga iežaska sullii 	ádden 	dan sisdoalu . ¶
Muhto go Máhte-Máhttege lei muhtun beaivve cavgilan bártnis gámmárii ja rehálaččat muitalan mo ášši lei , de Beahkká lei 	ádden 	mas lei jearaldat ja miehtan joatkit dainna bargguin , mii bázášii áhčis gaskan . ¶
Buotlágan joavdelasaid birra gal máhtte šurrat , muhto eai 	ádden 	dan mii dán máilmmis duođaid mearkkašii . ¶
Dál 	ádden 	man ávkkálaš dat lea . ¶
Ándde-guovttos eaba riekta 	ádden 	ja geahčasteigga goabbat guoibmáseaskka . ¶
Barggai eanet go livččii lean dárbu iige 	ádden 	seastit iežas . ¶
Pente dušše vilppastii eamida guvlui dego ii livčče 	ádden 	maid dát dainna oaivvildii . ¶
Son ii 	ádden 	manin vilbealle lei liikká vuolgán máttás , vaikko ii lean dán háve ii bovdejuvvonge . ¶
Muitalii rehálaččat nugo ieš lei 	ádden 	. ¶
Beahkká gal geahččalii , muhto lei vel nuorra iige riekta 	ádden 	mas lei jearaldat . ¶
Son ii 	ádden 	manin nie lei geavvan . ¶
- 	Ádden 	bures maid oaivvildat . ¶
- 	Ádden 	, ádden ! ¶
- Ádden , 	ádden 	! ¶
- 	Ádden 	, ádden . ¶
- Ádden , 	ádden 	. ¶
- 	Ádden 	, ádden . ¶
- Ádden , 	ádden 	. ¶
Olbmot eai 	ádden 	. ¶
Ii oktage dis leat goassige 	ádden 	mu . ¶
Son lei 	ádden 	ahte dákkár mátki galggai dahkkojuvvot . ¶
- Leango riekta 	ádden 	ahte dii giehtadallabehtet dan čoahkkimis daid eanaoamastanrivttiid ? ¶
- Riekta leat 	ádden 	. ¶
	Ádden 	Issáha . ¶
- 	Ádden 	gal . ¶
Son ii 	ádden 	mo galggai láhttet . ¶
Dušše suomastii , ja jos háliidii ahte earát eai 	ádden 	, de dadjalii ain soames sáni ruoŧagillii etniinis . ¶
Son ii 	ádden 	mii su doalahii . ¶
	Ádden 	ollásit du . ¶
- 	Ádden 	ahte dat ii leat sihkkarit dutnje suohtas gullat muhto ná geavai . ¶
Máhte-Máhtte ii 	ádden 	mo ášši guoskkai sutnje , Antero lei álo leamaš hui dolbmi luossabivdui ja Ánde njulgestaga eattui , go sus bohte diekkáriid jearahit . ¶
Jyrki geahčastii eamidii iige 	ádden 	. ¶
- Leango riekta 	ádden 	ahte don leat doppe máddin eret ? ¶
Ii oktage 	ádden 	su . ¶
Dien moai Puttiin ean riekta 	ádden 	. ¶
De boaguste , eai 	ádden 	. ¶
dárus vai mon 	ádden 	 ¶
Munnje duot dáhpáhus daninassii ii šat olus guoskka : das leat juo guoktelogiokta jagi ja ledjen dalle vel nu mánná ahte in 	ádden 	mii dáhpáhuvai aiddo dan čalbmeravkalanbottas , go jápmin bođii ja gesii rájiidis . ¶
In oaivvil dál eretbeassama dakko bokte go das hállet dalle go eai oaivvil maidige erenoamážiid , inge dan láhkai ahte livččen juo dalle 	ádden 	ieš . ¶
Muhto leigo Alttige 	ádden 	váldit vuhtii dan ahte ii lean šat Jussá ? ¶
Muhto uhcimus mánát biehttaledje borramis njárbes lastarievdnesuohkada , maid guokte alitgávttat nuorra nissona goaivvuiga sidjiide , eaige 	ádden 	suohkadii čihkkojuvvon árkkálmastinvuođa . ¶
Son vulggii offiseara ságaide , muhto ii máhttánge šat muitalit maid lei jurddašan ja jierásmuvai oalát ja dušše čuoččui jienajávohaga doaimmahagas , man seinniin ledje buotlágan kárttat ja tabeallat , main son ii 	ádden 	maidige . ¶
Son lei hui leabuheapme iige 	ádden 	mo livččii galgan dás ovddosguvlui . ¶
Gal mun dan 	ádden 	, dajai suvddár ja reškkii njálgát . ¶
jearai Mäkiniska iige 	ádden 	šat iešge mas lei sáhka . ¶
« Dáros , vai mon 	ádden 	, » oaččui gullat vástádussan . ¶
Ii máššan veaháš sniehppulit – « go dan han áinnašat obmon duolljebihtáid – lean nuvt 	ádden 	. ¶
Daid mon ieš 	ádden 	. ¶
Son oahpai bustávaid ja muddui lohkat , muhto ii 	ádden 	maid máksá . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	ádden 	dan dahje - jus álgoáigemearri lea oanehat - seamma guhkes áigái go dát áigemearri . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	ádden 	dan dahje – jus álgoáigemearri lea oanehat – seamma guhkes áigái go dát áigemearri . ¶
Dán oktavuođas 	ádden 	rievtti nu , ahte dasa gullet riektenorpmat - nugo dat leat čállon ovdamearkka dihtii láhkamearrádusain - dasa gullet maiddái riekteásahusat ovdamearkka dihtii duopmostuolut , ja mielde leat maiddái riekteproseassat dahje rituálat . ¶
Riekteproseassaiguin mun 	ádden 	formaliserejuvvon áššemeannudeami nugo dat leat meairiduvvon ovdamearkka dihtii proseassalágain , ja rievttálaš resonnerenproseassaiguin fas nugo dat leat čilgejuvvon davviriikkaid juridihkalaš metodaoahpa váldogirjjiin . ¶
« Identitehta » 	ádden 	nu ahte dat čilge čearddalašvuođa doahpaga , mii lea viidát ja gokčá eanet beliid álbmotjoavkku iešvuođain go « identitehta » doaba , vaikko vel ii dárbbašge dahkat makkárge duohta erohusaid dán oktavuođas . ¶
ï ¾ § 110 a ja álbmotrievttálaš gálduid geavahus , 	ádden 	ja deattuheapmi 3.1.1 . ¶
Dás riektejoavku lea nugo mun 	ádden 	čielgasit hilgon njuolggadusa ja oainnu , mii das lea vuođđun . ¶
Diakrona riektegeavahussan mun 	ádden 	dálá riektedilálašvuođa konklušuvnnaid , mat leat dahkkojuvvon ovddeš jurddašanvuogi mielde , mii lea šaddan áibbas eará dilálašvuođain go dálá , iige dađi mielde nákce doarvái bures fáhtet servodat- ja riekteovdáneami . ¶
Dearvvašvuođabargit fertejit diehtit sihkkarit ahte divššohas nugo namahuvvon vuosttas ja nuppi teakstaoasis lea válddálaš , ja ahte son lea ožžon dohkálaš diehtojuohkima ja lea 	ádden 	iežas dearvvašvuođa váikkuhusaid dikšobiehttaleami oktavuođas . ¶
eanetlohku lea 	ádden 	nu ahte erohus lea biddjon iešdáhtolaččat . ¶
unnitloguin 	ádden 	čielgasit ahte dál ii sáhte roggat ásaiduvvon vuoigatvuođa diliid dan vuođul ahte dát badjel 100 jagi boares áddejupmi lea boastut . ¶
Meinich-Olsen lea nugo riekti lea 	ádden 	oaivvildan ahte doarvái guhkes áigi lei gollan juo 1928:s go čálii girjjis , ja rievtti ovdaolmmoš ii eahpit ahte dál - 30 jagi maŋŋil - lea gollan nu guhkes áigi ahte čuoččuhuvvon boasttoáddejupmi lea šaddan cieggan vuoigatvuođadilálašvuohta ¶
Dás sáhttá Finnmárkku dilálašvuohta leat ahte stáhta áddejupmi lea leamaš báhkkoduvvon almmolaš báhpáriin , maid ii sáhte vuordit ahte sámit leat lohkan dahje 	ádden 	, erenoamážit giela geažil . ¶
Nugo leat dás 	ádden 	, dálá áiggis dát árbevirolaš ealáhusat dahket ávnnaslaš sámi kultuvrra , ja nu gullet 27. art. suodjaleapmái . ¶
Nu leat guoskevaš stáhta ásahusat maid 	ádden 	válddahallama , buo. ee. Od.prp. nr. 33 ( 1986-87 ) s.17,22,25-34 ja 37 , mas Justisdepartemeantta ee. áddejupmi oidno dán oktavuođas . ¶
Dáloniin ii leat vejolaš hálddašit mearrideaddji válddi , muhto dušše vuoigatvuohta gáibidit boaldámuša ja eará ávdnasiid maid soahkevuovdi duhtada , maid vuovdehálddahus fuolaha - dan vuoigatvuođa ii sáhte stáhta váldit eret dáloniin , ja nu ii leatge nugo 	ádden 	, stáhta eiseválddit dás vikkahan . ¶
Nie lean munge dássážii 	ádden 	lága . ¶
Riektejoavku mihtte bealestis ahte ii leat vissis gielddarievtti leat 	ádden 	ovdabargguid boastut , nugo Falch navdá . ¶
Gjelsvik lea fas cealkán ahte mearrideaddjin ferte leat ahte giliin leat 	ádden 	buot meahci ¶
Sihke boazodoalliid iežaset gaskkas ja stáhta orgánain mat hálddašit ealáhusa , Eanadoallodepartemeantage , lea guhká čielgasit 	ádden 	ahte guohtunvuoigatvuohta boazodoallolága mielde gusto olles orohagas , daid ráddjehusaiguin mat bajábealde leat guoskkahuvvon . ¶
Nugo 	ádden 	lágamánnerievtti , leat báhčinguovlluid geavaheapmi seaguhan iežas ja ráddjenge orohaga dábálaš ealáhatvejolašvuođaid ja nu bilidan orohagas boazodoalu ealáhussan . ¶
Ii leat makkárge árta eahpidit sin leat 	ádden 	dán anu lobálažžan . ¶
Dán livčče sii geaidda guoská lunddolaččat 	ádden 	ahte gonagas lei eaiggát ii dušše Finnmárkku vuvddiide , muhto eatnamiiddage , go son sáhtii čujuhit ( sirdit ) eanabihtáid priváhta opmodahkan . ¶
Dakkár jurddašanvuogi mielde mii orru leamen ráđđen lágain ja hálddašeamis , lea árta jáhkkit eiseválddiid ovdalge 	ádden 	dán eaiggátháldun . ¶
Dán gažaldaga orru datte Riektejoavkku eanetlohku boasttut 	ádden 	, go vihkkedallama loahpageahčen 4.1.9.3. oasis dadjá : ¶
Vearroduottarduopmu mielde lea dása boahtán dihto bealit mat mu mielas rievdadit dili sakka - vaikko in dieđe ležžetgo stáhtaválddit dahje duopmostuolutge dan 	ádden 	. ¶
Almennehin 	ádden 	gaskka gos ovtta dahje moatti gilis lága fámus lea geavahanvuoigatvuohta . ¶
Maŋitáiggis lea datte 	ádden 	mearrádusa nu ahte dat nannii Gonagassii olles eaiggáduššanvuoigatvuođa goahccevuovdái . ¶
c ) Ruoŧŧa láve nu , Riikkas doallat Riika-Mihtideddjiid ( 1630-40jagiid rájes , Norgga ektui ] , man bokte ožžot háhkat dárkilis Dieđuid eai dušše iežaset Eatnamiin ja daid Lágážemiin , muhto go dás Davvin rasttildit Rájáid vieris Eatnamiidda ; Go Ii oktage Dáža leat diehtán , man guhkás Dáža Finmárku máddin Giellasii [ namalassii másealgi ) ollá ; sii eai leat Váriide boahtán ( go Mearas geahččalit biepmu háhkat ) eaige Boazosápmelaččaid lusa ; Mii sidjiide lei váttis , ja sin Giela eai 	ádden 	. ¶
II.3 Anus vuoigatvuhtii Sihke sámiin ja dážain Finnmárkkus ferte navdit ahte boarrasamos áiggi ássit leat 	ádden 	anuset lobálažžan . ¶
Árta lea navdit ahte dán áiggis eai leat Københámmanis 	ádden 	( dahje beroštan ) makkár riidu lei riddosápmelaččaid ja badjesápmelaččaid gaskkas . ¶
Badjesápmelaččaid geasseorohat bohccuiguin guovlluin maid riddosámit ovddeš áiggis ledje 	ádden 	leat , ii caggan ahte riddosámit dárbbašedje ain doaimmahit boares anuseaset seamma guovlluin iežaset eallima vuođđun . ¶
Ášši gustui beahceávdnasiid murremii áitái , ja áššálaš lei Alimusriekteduomu referáhta mielde ee. čilgen ahte son ii 	ádden 	dagus leat lobiheapmin . ¶
Olusat leat 	ádden 	stáhtaeatnamiid luđolažžan , mii lei ássiid olles ja luđolaš geavahusas ¶
Nu guhká go dát ii leat dahkkon , orru álgovuorus unnán govttolaš vuordit ahte sápmelaččat galget leat 	ádden 	ja dohkkehan stáhta áddejumi oppalaččat dahje daid dehálaš čuoggáid . ¶
Vaikko ii daddjo čielgasit , 	ádden 	direktoráhta nu ahte dás galggašii čuovvut ahte lága njuolggadusat eaŋkalmearrádusaid ¶
Dearvvašvuođabargit galget nu guhkás go vejolaš sihkarastit ahte divššohas lea 	ádden 	sisdoalu ja dieđuid mearkkašumi . ¶
Dearvvašvuođabargit fertejit diehtit sihkkarit ahte divššohas nugo namahuvvon vuosttas ja nuppi teakstaoasis lea válddálaš , ja ahte son lea ožžon dohkálaš diehtojuohkima ja lea 	ádden 	iežas dearvvašvuođa váikkuhusaid dikšobiehttaleami oktavuođas . ¶
	Min Aigi – ¶
